Time,Price
2014-08-30,146.88
2014-08-31,146.88
2014-09-02,146.88
2014-09-03,147.35
2014-09-03,147.35
2014-09-04,147.35
2014-09-09,147.35
2014-09-20,140.05
2014-09-22,140.05
2014-09-23,147.35
2014-09-24,147.35
2014-09-28,147.35
2014-09-28,147.35
2014-09-30,147.35
2014-09-30,147.35
2014-10-01,147.35
2014-10-02,147.35
2014-10-04,147.35
2014-10-12,147.35
2014-10-14,147.35
2014-10-22,146.98
2014-10-23,125.61
2014-10-23,125.61
2014-10-24,125.61
2014-10-27,147.84
2014-11-04,147.4
2014-11-05,147.4
2014-11-06,147.4
2014-11-08,123.6
2014-11-09,123.6
2014-11-11,147.4
2014-11-11,147.39
2014-11-12,147.38
2014-11-18,146.36
2014-11-18,146.36
2014-11-20,146.36
2014-11-21,146.36
2014-11-22,146.36
2014-11-23,147.35
2014-11-25,147.35
2014-11-25,147.35
2014-11-26,147.39
2014-11-30,147.39
2014-12-02,147.39
2014-12-02,147.39
2014-12-04,147.39
2014-12-07,147.39
2014-12-08,147.39
2014-12-16,147.39
2014-12-25,147.36
2014-12-26,147.34
2014-12-26,147.3
2014-12-27,147.28
2014-12-28,147.25
2014-12-28,147.23
2014-12-29,138.69
2014-12-30,135.64
2015-01-03,132.58
2015-01-06,148.02
2015-01-07,148.02
2015-01-08,145.95
2015-01-09,148.02
2015-01-15,148.02
2015-01-20,148.03
2015-01-20,147.93
2015-01-22,147.93
2015-01-22,147.93
2015-01-28,147.93
2015-01-29,147.93
2015-02-03,147.93
2015-02-04,147.93
2015-02-05,117.58
2015-02-06,120.51
2015-02-12,148.03
2015-02-13,148.03
2015-02-16,148.42
2015-02-23,146.94
2015-02-24,148.41
2015-02-25,144.05
2015-02-26,146.96
2015-02-27,148.02
2015-03-03,148.02
2015-03-10,148.02
2015-03-10,147.19
2015-03-11,147.82
2015-03-12,147.99
2015-03-13,148.02
2015-03-13,147.39
2015-03-14,147.39
2015-03-16,147.39
2015-03-17,147.39
2015-03-18,147.39
2015-03-20,146.84
2015-03-21,142.81
2015-03-22,141.79
2015-03-23,132.63
2015-03-25,147.39
2015-03-27,132.74
2015-03-28,147.39
2015-03-30,146.94
2015-03-31,147.39
2015-04-01,146.84
2015-04-02,146.41
2015-04-03,147.39
2015-04-06,147.39
2015-04-12,147.39
2015-04-13,141.39
2015-04-14,147.39
2015-04-14,142.61
2015-04-15,141.39
2015-04-16,147.39
2015-04-16,146.84
2015-04-17,147.39
2015-04-19,142.37
2015-04-19,141.36
2015-04-20,147.39
2015-04-22,140.22
2015-04-25,140.22
2015-04-26,140.22
2015-04-30,135.13
2015-05-09,135.13
2015-05-14,130.04
2015-05-16,129.45
2015-05-16,129.45
2015-05-17,129.45
2015-05-20,129.45
2015-05-22,134.1
2015-05-28,141.28
2015-06-01,142.57
2015-06-02,143.58
2015-06-03,145.4
2015-06-03,145.4
2015-06-04,141.36
2015-06-04,144.39
2015-06-05,144.39
2015-06-05,143.33
2015-06-08,143.33
2015-06-08,143.38
2015-06-09,143.38
2015-06-10,141.36
2015-06-11,141.36
2015-06-12,127.52
2015-06-13,127.52
2015-06-13,121.14
2015-06-14,121.14
2015-06-15,115.08
2015-06-16,115.08
2015-06-17,115.08
2015-06-18,115.08
2015-06-21,115.08
2015-06-23,141.36
2015-06-23,145.36
2015-06-24,140.35
2015-06-25,140.35
2015-06-25,129
2015-07-09,140.35
2015-07-10,140.36
2015-07-14,131.29
2015-07-18,115.08
2015-07-23,115.08
2015-07-26,115.08
2015-07-30,115.08
2015-08-02,139.68
2015-08-03,139.68
2015-08-06,136.34
2015-08-06,136.34
2015-08-07,136.31
2015-08-07,136.31
2015-08-08,136.31
2015-08-08,136.34
2015-08-09,136.34
2015-08-10,136.34
2015-08-10,136.34
2015-08-11,136.34
2015-08-12,136.31
2015-08-12,137.12
2015-08-14,137.12
2015-08-15,137.12
2015-08-17,136.31
2015-08-18,135.04
2015-08-20,136.25
2015-08-21,136.25
2015-08-21,137.98
2015-08-22,135.04
2015-08-22,137.98
2015-08-23,135.04
2015-08-24,137.98
2015-08-25,134.05
2015-08-26,130.99
2015-08-27,130.99
2015-08-31,134.05
2015-09-01,130.99
2015-09-04,130.99
2015-09-08,129
2015-09-12,129
2015-09-13,129
2015-09-13,129
2015-09-14,129
2015-09-15,129
2015-09-15,129
2015-09-18,129
2015-09-18,129
2015-09-19,129
2015-09-19,129
2015-09-19,129
2015-09-20,129
2015-09-20,129
2015-09-21,129
2015-09-22,129
2015-09-22,129
2015-09-23,129
2015-11-03,133.89
2015-11-04,126.14
2015-11-06,124.87
2015-11-12,124.87
2015-11-13,120
2015-11-14,124.87
2015-11-16,124.87
2015-11-18,124.87
2015-11-18,124.87
2015-11-19,124.87
2015-11-20,121.09
2015-11-21,124.87
2015-11-22,120
2015-11-24,120
2015-11-25,120
2015-11-26,118.99
2015-12-01,118.99
2015-12-01,141.05
2015-12-02,141.05
2015-12-05,136.95
2015-12-08,136.95
2015-12-08,136.95
2015-12-09,137.48
2015-12-10,133.39
2015-12-12,135.01
2015-12-13,141.05
2015-12-14,141.05
2015-12-15,134.99
2015-12-16,141.05
2015-12-18,141.05
2015-12-19,141.05
2015-12-22,141.05
2015-12-31,141.05
2016-01-01,141.05
2016-01-04,141.05
2016-01-06,141.05
2016-01-30,136.95
2016-01-31,136.95
2016-01-31,136.95
2016-02-03,136.95
2016-02-04,136.95
2016-02-07,136.95
2016-02-12,136.95
2016-02-18,136.95
2016-03-03,146.69
2016-03-16,146.4
2016-03-20,140.08
2016-03-25,140.08
2016-03-25,140.08
2016-03-27,140.08
2016-03-30,140.08
2016-03-31,140.08
2016-03-31,140.08
2016-04-04,140.08
2016-04-05,140.08
2016-04-05,140.08
2016-04-08,140.08
2016-04-12,140.08
2016-04-14,140.08
2016-04-15,139.36
2016-04-16,138.56
2016-04-17,137.86
2016-04-17,137.2
2016-04-26,131.44
2016-04-28,131.44
2016-05-01,131.44
