Time,Price
2016-10-26,96.98
2016-10-30,96.98
2016-11-03,96.98
2016-11-05,99
2016-11-09,99
2016-11-09,99
2016-11-13,99
2016-11-13,99
2016-11-17,99
2016-11-17,99
2016-11-20,99
2016-11-21,99
2016-11-23,99
2016-11-25,99
2016-11-26,99
2014-06-09,99.00
2014-06-10,99.00
2014-06-12,99.00
2014-06-15,99.00
2014-06-17,99.00
2014-07-12,99.00
2014-08-05,99.00
2014-08-09,109.99
2014-08-10,109.99
2014-08-16,150.90
2014-08-23,150.90
2014-08-23,150.90
2014-08-26,99.00
2014-09-05,99.00
2014-09-10,150.90
2014-09-13,150.90
2014-09-16,150.90
2014-09-16,150.90
2014-09-17,150.90
2014-09-17,150.90
2014-09-17,150.90
2014-09-18,109.99
2014-09-18,134.37
2014-09-22,99.00
2014-11-15,99.00
2014-11-17,99.00
2014-11-26,99.00
2014-11-28,99.00
2014-12-09,114.99
2014-12-11,99.00
2014-12-11,109.99
2014-12-13,114.99
2014-12-21,99.00
2015-01-14,99.00
2015-02-19,99.99
2015-02-27,99.99
2015-03-04,99.00
2015-04-15,99.00
2015-04-21,99.00
2015-04-22,99.00
2015-04-22,99.00
2015-04-24,99.00
2015-04-26,99.00
2015-04-30,99.00
2015-05-12,99.00
2015-05-23,99.00
2015-05-29,99.00
2015-06-01,99.00
2015-06-05,99.00
2015-06-06,99.00
2015-06-07,99.00
2015-06-08,99.00
2015-06-12,99.00
2015-06-17,99.00
2015-06-22,99.00
2015-06-22,99.00
2015-07-07,89.00
2015-07-08,89.00
2015-07-12,89.00
2015-07-23,89.00
2015-08-01,99.99
2015-08-05,111.99
2015-08-13,111.99
2015-08-18,129.75
2015-08-20,142.75
2015-08-26,120.29
2015-08-29,99.00
2015-09-09,99.00
2015-09-09,99.00
2015-10-07,99.00
2015-12-19,84.15
2015-12-25,84.15
2016-02-03,90.25
2016-02-08,84.15
2016-02-15,84.15
2016-03-05,84.15
2016-03-13,84.15
2016-03-15,84.15
2016-03-20,84.15
2016-04-23,84.15
2016-04-27,84.15
2016-05-04,84.15
2016-05-05,84.15
2016-05-15,99.00
2016-05-16,99.00
2016-05-19,99.00
2016-06-02,99.00
2016-06-10,99.00
2016-06-11,99.00
2016-06-27,99.00
2016-07-15,99.00
2016-07-18,99.00
2016-07-26,99.00
2016-07-28,99.00
2016-07-31,99.00
2016-08-11,99.00
2016-08-14,99.00
2016-08-25,99.00
2016-08-26,99.00
2016-08-26,99.00
2016-08-27,99.00
2016-08-28,99.00
2016-08-29,99.00
2016-08-30,99.00
2016-08-31,99.00
2016-09-02,99.00
2016-09-06,99.00
2016-09-09,99.00
2016-09-13,99.00
2016-09-19,99.00
2016-10-01,96.98
2016-10-02,96.98
2016-10-04,96.98
2016-10-10,96.98
2016-10-25,96.98
2016-10-26,96.98
2016-10-29,96.98
2016-11-05,99.00
2016-11-06,99.00
2016-11-06,99.00
2016-11-08,99.00
2016-11-08,99.00
2016-11-10,99.00
2016-11-27,99.00
