Time,Price
2016-06-01,74.65
2016-06-01,74.99
2016-06-14,79.04
2016-10-27,75.65
2016-10-30,75.65
2016-11-10,75.65
2016-11-11,75.65
2016-11-18,75.65
2016-11-19,75.65
2016-11-22,75.65
2016-11-22,75.65
2016-11-22,75.65
2016-11-23,75.65
2016-11-26,75.65
2014-06-09,78.99
2014-08-17,91.17
2015-04-17,82.99
2015-04-26,85.99
2015-04-26,99.49
2015-04-27,103.00
2015-05-06,82.99
2015-05-12,82.99
2015-05-30,103.00
2015-06-07,82.99
2015-06-15,103.00
2015-06-19,82.99
2015-08-11,82.99
2015-09-15,70.72
2015-09-16,71.19
2015-12-18,68.50
2016-01-03,82.75
2016-02-10,86.99
2016-04-25,71.99
2016-05-09,61.19
2016-05-31,74.65
2016-07-28,93.20
2016-10-09,80.40
2016-11-08,75.65
2016-11-27,75.65
