Time,Price
2014-12-03,13.68
2015-12-09,9.99
2016-10-26,7.59
2016-10-28,7.59
2016-10-30,7.59
2016-11-01,7.59
2016-11-01,7.59
2016-11-01,7.59
2016-11-03,7.59
2016-11-03,7.59
2016-11-05,7.59
2016-11-06,7.59
2016-11-06,7.59
2016-11-07,7.59
2016-11-08,7.59
2016-11-10,7.59
2016-11-11,7.59
2016-11-11,7.59
2016-11-13,7.59
2016-11-14,7.59
2016-11-16,7.59
2016-11-18,7.59
2016-11-20,7.59
2016-11-21,7.59
2016-11-22,7.59
2016-11-22,7.59
2016-11-22,7.59
2016-11-24,8.07
2016-11-24,8.07
