Time,Price
2014-06-09,
2014-08-27,3.49
2014-09-29,4.19
2014-11-11,5.34
2014-11-18,5.24
2014-11-25,3.49
2015-01-12,3.86
2015-01-17,4.89
2015-02-10,4.38
2015-04-02,4.89
2015-04-18,4.38
2015-05-15,4.19
2015-09-14,3.91
2015-11-28,3.79
2015-12-04,3.49
2016-03-07,4.19
2016-03-22,6.79
2016-04-08,6.79
2016-04-09,6.54
2016-04-09,3.86
2016-04-13,4.19
2016-07-27,4.41
2016-08-06,4.64
2016-08-10,4.88
2016-08-13,5.13
2016-08-17,5.39
2016-08-21,5.59
2016-09-07,5.59
2016-09-12,5.58
2016-09-13,5.56
2016-09-14,5.55
2016-09-16,5.54
2016-09-16,5.53
2016-09-16,5.52
2016-09-17,5.51
2016-09-17,6.49
2016-09-18,5.99
2016-09-18,6.00
2016-09-19,6.85
2016-09-19,5.59
2016-09-20,6.79
2016-09-21,6.85
2016-09-22,6.96
2016-09-23,5.58
2016-09-26,8.20
2016-09-26,8.60
2016-09-27,8.60
2016-10-01,6.95
2016-10-01,8.40
2016-10-03,6.95
2016-10-04,6.80
2016-10-04,6.95
2016-10-05,6.88
2016-10-06,7.30
2016-10-06,7.46
2016-10-07,7.30
2016-10-07,7.54
2016-10-07,7.23
2016-10-08,5.24
2016-10-09,7.23
2016-10-09,7.23
2016-10-10,7.23
2016-10-10,6.88
2016-10-11,7.23
2016-10-11,7.22
2016-10-12,7.23
2016-10-17,5.99
2016-10-19,7.23
2016-10-19,6.88
2016-10-19,7.23
2016-10-23,7.22
2016-10-24,7.40
2016-10-24,7.20
2016-10-25,7.25
2016-10-26,7.29
2016-11-13,5.24
2016-11-14,5.23
2016-11-15,4.78
2016-11-16,4.20
2016-11-17,4.78
2016-11-18,4.20
2016-11-19,4.78
2016-11-22,4.64
2016-11-23,4.78
2016-11-27,4.78
