Time,Price
2016-10-27,6.29
2016-10-28,6.29
2016-10-30,6.99
2016-11-01,6.29
2016-11-02,6.29
2016-11-03,5.35
2016-11-04,5.35
2016-11-04,5.35
2016-11-05,5.35
2016-11-05,5.35
2016-11-07,5.35
2016-11-07,6.29
2016-11-08,6.29
2016-11-09,6.29
2016-11-10,6.29
2016-11-11,6.29
2016-11-12,6.29
2016-11-13,6.29
2016-11-14,6.29
2016-11-15,6.29
2016-11-16,6.29
2016-11-16,6.29
2016-11-17,6.29
2016-11-17,6.29
2016-11-19,6.29
2016-11-19,6.29
2016-11-20,6.29
2016-11-21,6.29
2016-11-22,6.29
2016-11-22,6.27
2016-11-23,6.27
2016-11-24,6.27
2016-11-25,6.27
2016-11-26,6.27
