Time,Price
2012-07-14,21.95
2012-07-17,22.82
2012-07-17,22.82
2012-07-19,22.82
2012-07-20,20.99
2012-07-20,20.99
2012-07-21,22.82
2012-07-22,22.82
2012-07-26,20.99
2012-07-27,22.82
2012-08-02,24.09
2012-08-02,23.99
2012-08-05,28.29
2012-08-07,22.82
2012-08-08,20.99
2012-08-17,21.13
2012-08-18,21.27
2012-08-19,21.41
2012-08-19,22
2012-08-19,22.15
2012-08-20,22.19
2012-08-21,22.58
2012-08-25,22.18
2012-08-26,21.98
2012-08-31,21.47
2012-09-02,22.41
2012-09-04,20.57
2012-09-10,19.35
2012-09-13,18.71
2012-09-14,18.85
2012-09-14,19.35
2012-09-18,18.85
2012-09-19,18.85
2012-09-20,18.85
2012-09-21,18.64
2012-09-21,18.54
2012-09-21,19.35
2012-09-22,18.35
2012-09-22,19.35
2012-10-02,19.35
2012-10-03,19.25
2012-10-05,18.35
2012-10-06,18.35
2012-10-06,18.65
2012-10-07,18.75
2012-10-08,18.85
2012-10-09,19.25
2012-10-10,18.24
2012-10-10,18.24
2012-10-11,18.16
2012-10-16,17.66
2012-10-16,17.78
2012-10-17,17.78
2012-10-17,17.67
2012-10-17,17.67
2012-10-18,17.97
2012-10-18,17.97
2012-10-19,18.06
2012-10-19,17.96
2012-10-24,19.25
2012-10-24,17.85
2012-10-25,17.77
2012-10-26,17.77
2012-10-26,17.61
2012-10-29,19.25
2012-11-02,18.05
2012-11-02,18.63
2012-11-02,18.63
2012-11-03,19.25
2012-11-07,18.08
2012-11-07,18.08
2012-11-08,17.99
2012-11-17,18.17
2012-11-17,18.17
2012-11-18,18.17
2012-11-19,18.33
2012-11-21,19.11
2012-11-22,19.25
2012-11-28,18.44
2012-11-29,18.23
2012-11-29,18.47
2012-11-30,18.75
2012-11-30,19.25
2012-12-05,18.44
2012-12-05,18.57
2012-12-06,18.57
2012-12-06,19.25
2012-12-06,19.25
2012-12-07,18.52
2012-12-07,18.52
2012-12-08,19.25
2012-12-14,18.47
2012-12-15,19.25
2012-12-16,19.25
2012-12-18,18.37
2012-12-19,18.68
2012-12-19,19.25
2012-12-20,19.56
2012-12-20,18.67
2012-12-21,18.77
2012-12-21,18.85
2012-12-22,20.21
2012-12-22,20.54
2012-12-22,21.94
2012-12-22,22.31
2012-12-23,23.41
2012-12-23,23.36
2012-12-24,23
2012-12-24,22.9
2012-12-25,22.54
2012-12-25,22.54
2012-12-25,22.13
2012-12-25,22.13
2012-12-27,18.85
2012-12-29,19.25
2013-01-01,23.07
2013-01-01,23.46
2013-01-03,20.21
2013-01-03,20.21
2013-01-04,18.85
2013-01-04,19.56
2013-01-06,18.85
2013-01-06,23.46
2013-01-09,21.75
2013-01-09,21.59
2013-01-10,21.29
2013-01-10,21.19
2013-01-11,20.57
2013-01-11,20.57
2013-01-12,20.47
2013-01-13,19.99
2013-01-14,19.99
2013-01-15,19.25
2013-01-16,18.55
2013-01-17,18.15
2013-01-17,18.15
2013-01-18,19.39
2013-01-19,19.66
2013-01-19,19.55
2013-01-20,18.89
2013-01-21,19.25
2013-01-22,18.15
2013-01-22,19.25
2013-01-25,19.05
2013-01-26,19.25
2013-01-28,19.25
2013-01-28,19.05
2013-01-29,19.05
2013-01-29,18.54
2013-01-30,18.45
2013-01-30,18.25
2013-01-31,18.15
2013-02-01,18.17
2013-02-02,18.15
2013-02-07,18.15
2013-02-07,25.98
2013-02-08,22.41
2013-02-15,26.64
2013-02-15,26.45
2013-02-16,18.15
2013-02-18,26.45
2013-02-19,26.96
2013-02-20,27.48
2013-02-20,27.33
2013-02-21,27.86
2013-02-22,28.4
2013-02-23,28.19
2013-02-23,28.19
2013-02-23,28.73
2013-02-24,28.79
2013-02-24,28.79
2013-03-05,26.24
2013-03-05,26.22
2013-03-06,26.24
2013-03-08,27.25
2013-03-09,28.32
2013-03-10,26.24
2013-03-11,27.01
2013-03-11,32.26
2013-03-12,27.01
2013-03-13,27.53
2013-03-15,28.75
2013-03-17,24.22
2013-03-18,23.34
2013-03-18,24.33
2013-03-19,23.82
2013-03-19,23.55
2013-04-01,22.59
2013-04-02,23.55
2013-04-07,26.09
2013-04-08,26.23
2013-04-09,26.47
2013-04-10,26.73
2013-04-11,26.13
2013-04-12,26.13
2013-04-13,25.48
2013-04-17,24.72
2013-04-17,24.52
2013-04-17,22.6
2013-04-17,22.5
2013-04-18,22.2
2013-04-18,21.08
2013-04-22,21.08
2016-11-08,26.99
2016-11-08,28.51
2016-11-17,26.99
2016-11-25,26.73
2016-11-26,26.73
2014-06-09,25.77
2014-07-12,25.98
2014-10-21,20.29
2014-11-04,23.16
2014-12-04,25.57
2014-12-08,24.99
2015-04-27,24.95
2015-05-18,23.02
2015-05-22,21.74
2015-06-12,20.18
2015-09-01,21.96
2016-09-15,20.79
2016-11-06,26.99
2016-11-26,26.73
2016-11-27,26.73
