Time,Price
2012-06-12,89.75
2012-06-14,89.75
2012-06-16,97.99
2012-06-26,97.99
2012-06-27,97.99
2012-06-29,97.99
2012-07-03,97.99
2012-07-08,97.99
2012-08-01,97.99
2012-08-03,88.09
2012-08-03,88.09
2012-08-04,78.09
2012-08-06,78.09
2012-08-07,78.09
2012-08-08,97.99
2012-08-13,100.99
2012-08-21,102.99
2012-08-28,92.09
2012-09-02,114.39
2012-09-05,115.99
2012-09-10,118.99
2012-09-11,117.22
2012-09-13,117.22
2012-09-13,117.22
2012-09-14,115.99
2012-09-19,115.99
2012-09-21,117.22
2012-09-28,117.22
2012-09-28,112.77
2012-10-02,102.99
2012-10-03,102.99
2012-10-08,102.99
2012-11-01,112.77
2012-11-02,115.99
2012-11-07,118.99
2012-11-07,100.91
2012-11-09,100.91
2012-11-10,104.22
2012-11-13,99.91
2012-11-16,118.99
2012-11-16,101.49
2012-11-20,101.49
2012-11-22,101.49
2012-11-24,101.49
2012-11-27,81.09
2012-11-28,101.49
2012-12-11,86.42
2012-12-12,85.99
2012-12-14,101.49
2012-12-22,101.49
2013-01-07,101.49
2013-01-14,101.49
2013-01-18,96.42
2013-01-21,96.42
2013-01-22,91.6
2013-01-22,101.49
2013-01-23,101.49
2013-02-13,107.49
2013-02-14,107.49
2013-02-21,109.98
2013-02-22,109.98
2013-02-23,109.98
2013-02-24,118.99
2013-02-25,107.49
2013-03-07,104.27
2013-03-08,107.49
2013-03-15,104.99
2013-03-18,109.98
2013-03-20,108.74
2013-03-22,109.98
2013-04-06,109.98
2013-04-09,109.98
2013-04-11,109.98
2013-04-17,109.98
2013-04-22,109.98
2016-10-26,129.95
2016-11-01,99.99
2016-11-01,99.99
2016-11-06,99.99
2016-11-06,99.99
2016-11-07,99.99
2016-11-08,99.99
2016-11-11,99.99
2016-11-12,99.99
2016-11-15,99.99
2016-11-16,99.99
2016-11-17,99.99
2016-11-18,99.99
2016-11-19,99.99
2016-11-20,99.99
2016-11-21,99.99
2016-11-24,99.99
2016-11-25,99.99
2016-11-25,99.99
2016-11-26,99.99
