Time,Price
2012-06-08,15.69
2012-06-08,15.69
2012-06-09,15.69
2012-06-12,15.69
2012-06-12,15.69
2012-06-13,15.69
2012-06-14,12.93
2012-06-14,12.31
2012-06-16,15.69
2012-06-18,14.78
2012-06-19,15.69
2012-06-20,15.69
2012-06-21,15.69
2012-06-22,15.22
2012-06-23,14.88
2012-06-25,15.69
2012-06-27,15.69
2012-06-28,15.67
2012-06-29,15.99
2012-06-29,15.67
2012-06-29,15.67
2012-07-02,15.69
2012-07-09,15.69
2012-07-12,13.08
2012-07-12,15.69
2012-07-13,15.69
2012-07-14,15.69
2012-07-17,15.69
2012-07-19,15.69
2012-07-25,13.08
2012-07-26,13.08
2012-07-26,15.69
2012-07-29,15.69
2012-08-02,15.35
2012-08-04,13.39
2012-08-07,13.39
2012-08-08,13.39
2012-08-11,13.39
2012-08-12,13.39
2012-08-18,13.12
2012-08-18,13.39
2012-08-19,15.69
2012-08-21,15.69
2012-08-25,15.79
2012-08-27,15.99
2012-08-27,15.99
2012-08-29,15.81
2012-08-30,15.99
2012-08-31,15.35
2012-09-01,15.35
2012-09-02,15.99
2012-09-04,15.99
2012-09-04,15.99
2012-09-10,15.99
2012-09-11,15.99
2012-09-13,15.99
2012-09-21,15.99
2012-09-25,15.94
2012-09-28,15.94
2012-09-28,15
2012-09-29,15.57
2012-10-02,14.73
2012-10-02,14.73
2012-10-03,14.16
2012-10-05,12.9
2012-10-05,12.63
2012-10-06,12.41
2012-10-06,12.24
2012-10-06,12.24
2012-10-07,11.8
2012-10-08,11.69
2012-10-08,11.57
2012-10-09,11.54
2012-10-10,15.94
2012-10-11,15.94
2012-10-12,15.94
2012-10-18,15.94
2012-10-25,12.7
2012-10-28,12.7
2012-11-11,12.7
2012-11-14,12.7
2012-11-16,12.7
2012-11-17,12.7
2012-11-29,12.7
2012-11-30,12.3
2012-12-01,12.7
2012-12-04,12.7
2012-12-04,11.7
2012-12-05,11.7
2012-12-06,12.7
2012-12-16,12.7
2012-12-16,12.7
2012-12-18,12.61
2012-12-19,12.61
2012-12-19,12.7
2012-12-23,13.1
2013-01-09,13.1
2013-01-10,13.1
2013-01-13,12.11
2013-01-13,13.1
2013-01-25,13.14
2013-01-27,13.14
2013-01-28,12.75
2013-01-29,12.32
2013-01-30,11.8
2013-01-31,11.34
2013-02-01,13.14
2013-02-07,13.14
2013-02-08,12.14
2013-02-09,12.14
2013-02-12,12.14
2013-02-14,13.14
2013-02-16,14.99
2013-02-20,15.28
2013-02-25,15.64
2013-03-07,15.06
2013-03-10,15.06
2013-03-11,15.64
2013-03-15,15.99
2013-03-17,15.99
2013-03-19,15.99
2013-03-19,15.99
2013-03-26,15.9
2013-03-27,15.99
2013-03-28,15.99
2013-03-29,15.99
2013-03-30,15.99
2013-04-01,12.65
2013-04-02,12.65
2013-04-02,12.65
2013-04-03,15.99
2013-04-04,15.99
2013-04-07,15.99
2013-04-08,15.99
2013-04-08,15.99
2013-04-09,15.99
2013-04-10,15.99
2013-04-11,15.99
2013-04-13,15.99
2013-04-18,15.99
2013-04-21,15.99
2016-10-27,15.99
2016-10-30,14.74
2016-11-02,14.74
2016-11-07,12.22
2016-11-12,14.82
2016-11-12,14.82
2016-11-15,13.26
2016-11-19,10.97
2016-11-20,10.97
2016-11-22,10.97
2016-11-24,10.92
2016-11-25,10.71
2016-11-26,10.71
2014-06-09,11.19
2014-07-31,15.99
2014-08-14,11.19
2014-12-08,13.59
2015-01-21,13.59
2015-02-26,13.59
2015-02-27,13.59
2015-03-28,13.59
2015-04-02,13.19
2015-04-22,13.15
2015-05-01,13.09
2015-05-25,13.09
2015-07-13,15.99
2015-09-06,15.75
2015-09-08,15.99
2015-09-23,15.75
2015-09-24,15.99
2015-09-25,15.78
2015-09-27,15.64
2015-09-29,15.62
2015-09-30,15.60
2015-10-01,15.52
2015-10-02,15.50
2015-10-03,14.99
2015-10-05,15.48
2015-10-06,15.45
2015-10-07,15.44
2015-10-07,14.99
2015-10-08,14.95
2015-10-08,14.93
2015-10-10,14.90
2015-10-10,14.70
2015-10-11,14.50
2015-10-14,13.98
2015-10-14,13.90
2015-10-15,13.89
2015-10-16,13.88
2015-10-18,13.50
2015-10-19,13.40
2015-10-19,12.99
2015-10-20,12.09
2015-10-20,11.99
2015-10-25,11.09
2015-10-26,11.99
2015-11-02,14.99
2015-11-03,11.99
2015-11-04,14.99
2015-11-07,15.75
2015-11-10,15.60
2015-11-12,15.55
2015-11-16,11.09
2015-11-16,15.55
2015-11-19,14.92
2015-11-21,15.55
2015-12-08,15.40
2015-12-10,15.00
2015-12-10,14.50
2015-12-11,14.95
2016-01-05,15.99
2016-01-21,14.95
2016-01-22,15.99
2016-01-23,14.95
2016-01-23,14.97
