Time,Price
2012-06-12,26.15
2012-06-21,26.27
2012-07-04,26.27
2012-07-05,26.27
2012-07-12,26.27
2012-07-19,26.15
2012-08-24,29
2012-08-25,26.03
2012-09-24,25.67
2012-10-24,25.79
2012-11-16,25.67
2012-12-13,25.67
2012-12-15,24.71
2013-01-17,34.8
2013-01-19,22.94
2013-01-27,34.8
2013-01-29,23.94
2013-02-25,24.22
2013-02-25,23.94
2013-03-07,23.83
2013-03-11,23.94
2013-03-21,23.83
2013-04-04,23.94
2016-10-30,29.09
2016-11-03,29.09
2016-11-10,29.09
2016-11-13,30.59
2016-11-15,30.59
2016-11-22,30.62
2016-11-25,30.62
2016-11-26,30.62
