Time,Price
2012-06-04,22.14
2012-07-12,22.14
2012-07-28,22.41
2012-07-30,17.71
2012-08-21,22.41
2012-12-15,22.41
2013-01-16,24.5
2013-02-01,24.5
2013-02-07,24.09
2013-02-24,24.09
2013-03-07,24.5
2013-03-17,24.44
2013-03-23,24.5
2013-03-26,20.99
2013-03-29,24.5
2013-04-10,21.59
2013-04-14,21.59
2013-04-17,23.99
2013-04-22,21.59
2013-04-22,21.59
2016-10-29,12.99
2016-10-31,12.99
2016-11-02,12.99
2016-11-04,12.99
2016-11-05,12.99
2016-11-08,12.99
2016-11-08,12.99
2016-11-26,12.99
2014-06-09,23.99
2014-10-30,13.98
2016-02-29,13.99
2016-10-06,12.99
2016-11-14,13.69
2016-11-27,13.69
