Time,Price
2012-06-03,18.58
2012-06-09,18.55
2012-06-12,18.56
2012-06-13,18.55
2012-06-14,18.54
2012-06-17,18.55
2012-06-20,18.54
2012-06-23,18.55
2012-06-25,18.24
2012-07-03,18.21
2012-07-07,18.23
2012-07-12,18.2
2012-07-14,18.23
2012-07-20,18.25
2012-07-23,18.56
2012-07-24,18.54
2012-07-26,18.61
2012-07-27,18.55
2012-07-28,18.56
2012-07-28,18.56
2012-07-30,18.58
2012-08-03,18.6
2012-08-04,18.61
2012-08-06,18.32
2012-08-07,18.34
2012-08-10,18.37
2012-08-11,18.36
2012-08-13,18.37
2012-08-14,18.39
2012-08-14,18.39
2012-08-22,18.3
2012-08-23,18.41
2012-08-24,18.4
2012-08-24,18.4
2012-08-25,18.42
2012-08-27,18.43
2012-08-31,18.45
2012-09-02,18.46
2012-09-03,18.45
2012-09-04,18.43
2012-09-05,18.22
2012-09-05,18.22
2012-09-10,17.82
2012-09-19,18.5
2012-09-19,18.96
2012-09-20,17.76
2012-09-21,18.32
2012-09-22,19.3
2012-09-23,18.71
2012-09-24,18.59
2012-09-25,17.68
2012-09-26,18.12
2012-09-28,18.1
2012-09-29,18.93
2012-10-02,17.9
2012-10-03,18.25
2012-10-05,18.3
2012-10-05,17.59
2012-10-06,18.1
2012-10-07,18.91
2012-10-08,18.54
2012-10-09,17.73
2012-10-10,17.81
2012-10-11,18.12
2012-10-12,18.39
2012-10-16,18.45
2012-10-16,18.3
2012-10-18,19.36
2012-10-24,17.28
2012-10-25,18.2
2012-10-29,17.97
2012-11-01,17.59
2012-11-02,17.53
2012-11-02,18.75
2012-11-03,17.98
2012-11-04,17.36
2012-11-04,17.36
2012-11-06,17.58
2012-11-06,17.43
2012-11-06,17.43
2012-11-15,16.3
2012-11-15,16.3
2012-11-20,16.3
2012-11-24,16.3
2012-11-25,18.78
2012-11-27,18.45
2012-11-28,18.45
2012-11-30,14.69
2012-12-01,15.36
2012-12-01,15.36
2012-12-06,15.36
2012-12-08,15.36
2012-12-09,17.49
2013-01-03,17.49
2013-01-09,18.25
2013-01-09,20.13
2013-01-10,23.19
2013-01-13,24.21
2013-01-16,24.99
2013-01-23,24.46
2013-02-17,18.95
2013-02-22,18.35
2013-02-23,19.28
2013-02-24,18.09
2013-02-25,18.52
2013-02-27,18.8
2013-02-28,17.43
2013-02-28,17.28
2013-03-10,18.71
2013-03-11,18.42
2013-03-11,18.02
2013-03-12,18.06
2013-03-20,17.43
2013-03-20,18.06
2013-03-21,22.98
2013-03-25,22.83
2013-03-25,22.98
2013-04-17,22.98
2016-11-01,24.94
2016-11-12,24.94
2016-11-21,24.94
