Time,Price
2016-10-25,10.32
2016-10-26,10.35
2016-10-29,10.35
2016-10-31,11.52
2016-11-01,11.52
2016-11-02,11.52
2016-11-05,9.99
2016-11-06,9.99
2016-11-06,9.99
2016-11-06,9.27
2016-11-08,9.27
2016-11-10,9.27
2016-11-11,9.27
2016-11-11,9.27
2016-11-12,9.27
2016-11-13,9.27
2016-11-14,9.27
2016-11-15,9.27
2016-11-15,9.27
2016-11-16,9.27
2016-11-17,9.27
2016-11-18,9.27
2016-11-18,9.27
2016-11-19,9.27
2016-11-20,9.27
2016-11-21,9.27
2016-11-21,9.27
2016-11-23,9.27
2016-11-24,9.27
2016-11-24,9.27
2016-11-25,9.27
2016-11-25,9.27
