Time,Price
2014-06-09,30.67
2014-06-20,29.76
2014-07-25,29.50
2014-07-26,29.76
2014-07-28,29.50
2014-07-30,29.76
2014-07-31,29.50
2014-08-01,29.76
2014-08-03,29.50
2014-08-04,29.76
2014-08-07,29.50
2014-08-23,29.76
2014-08-30,29.76
2014-09-05,31.01
2014-10-03,30.99
2014-10-03,31.01
2014-10-14,31.00
2014-10-29,31.00
2014-11-11,28.67
2014-11-15,32.07
2014-11-18,31.77
2014-11-19,32.07
2014-11-25,31.79
2014-11-26,31.01
2014-12-03,32.07
2014-12-04,34.44
2014-12-05,27.04
2014-12-06,34.44
2014-12-11,35.71
2014-12-11,35.71
2014-12-14,29.50
2014-12-15,31.01
2015-01-13,31.01
2015-01-14,31.01
2015-01-14,31.01
2015-01-15,31.01
2015-01-16,31.01
2015-01-17,31.01
2015-01-17,31.01
2015-01-19,31.01
2015-01-21,31.59
2015-01-22,31.01
2015-01-22,31.01
2015-01-26,31.01
2015-01-26,31.01
2015-01-27,31.01
2015-01-28,30.98
2015-01-28,31.01
2015-01-28,31.01
2015-01-30,30.98
2015-01-31,30.98
2015-02-01,30.98
2015-02-02,30.98
2015-02-02,30.98
2015-02-23,31.49
2015-03-16,31.49
2015-04-16,31.49
2015-05-30,31.49
2015-06-27,27.63
2015-07-15,35.06
2015-07-22,32.94
2015-07-24,32.94
2015-09-15,35.06
2015-09-16,35.06
2015-09-25,33.51
2015-09-26,33.51
2015-10-05,33.00
2015-11-05,31.44
2015-11-12,24.90
2015-12-04,31.44
2015-12-16,31.49
2015-12-28,33.00
2016-02-13,33.61
2016-05-13,31.49
2016-11-27,31.49
