Time,Price
2012-06-12,55.84
2012-06-13,56.26
2012-07-12,56.26
2012-07-13,52.55
2012-07-15,56.26
2012-07-19,58
2012-07-20,56.26
2012-07-20,56.26
2012-08-04,56.26
2012-08-21,56.26
2012-09-19,56.26
2012-10-03,54.6
2012-10-05,54.6
2012-10-16,58.95
2012-10-16,58.55
2012-10-17,58.15
2012-10-18,57.74
2012-10-24,59.23
2012-10-31,55.29
2012-11-04,57.24
2012-11-09,57.94
2012-11-12,59.86
2012-11-13,59.95
2012-11-14,58.67
2012-11-15,58.39
2012-11-24,54.6
2012-11-25,58.22
2012-11-27,54.6
2012-11-28,57.96
2012-12-13,53.99
2012-12-15,54.6
2012-12-16,54.6
2012-12-19,54.6
2012-12-27,60.72
2013-01-06,54.6
2013-01-22,63.81
2013-02-08,54.6
2013-02-12,61.94
2013-02-21,54.6
2013-03-07,66.23
2013-03-08,65.18
2013-03-20,66.32
2013-03-21,67.87
2013-03-31,61.98
2013-04-06,54.6
2013-04-09,65.18
2013-04-10,54.6
2013-04-15,65.18
2013-04-15,64.71
2013-04-17,64.21
2013-04-17,63.7
2013-04-18,54.6
2013-04-21,65.52
2013-04-23,65.01
2013-04-28,54.6
2013-05-25,65.22
2013-05-26,54.6
2013-06-04,54.6
2013-06-10,54.6
2013-06-13,54.6
2013-06-17,54.6
2013-06-20,54.6
2013-06-29,54.6
2013-07-09,54.6
2013-07-10,54.6
2013-07-12,54.6
2013-07-27,67.26
2013-07-29,67.61
2013-07-30,69.42
2013-08-01,69.42
2013-08-02,69.42
2013-08-04,68.81
2013-08-05,67.19
2013-08-07,68.95
2013-08-08,67.49
2013-08-10,65.21
2013-08-11,66.33
2013-08-13,64.77
2013-08-13,64.07
2013-08-21,59.74
2013-08-23,63.31
2013-08-25,63.31
2013-08-25,56.59
2013-08-27,56.59
2013-09-05,56.59
2013-09-13,56.59
2013-09-17,56.59
2013-09-21,56.59
2013-09-23,56.59
2013-09-28,55.99
2013-10-01,55.99
2013-10-11,55.99
2013-10-28,56.59
2013-10-30,55.99
2013-10-31,56.59
2013-11-01,55.99
2013-11-05,55.99
2013-11-12,55.99
2013-12-08,54.88
2013-12-22,53.76
2013-12-28,55.42
2014-01-13,56.59
2014-01-17,56.59
2014-01-21,65.1
2014-01-25,63.39
2014-01-28,63.39
2014-02-05,63.39
2014-02-06,62.18
2014-02-08,61.19
2014-02-09,61.19
2014-02-11,62.07
2014-02-12,61.97
2014-02-14,61.37
2014-02-14,64.89
2014-02-20,65.21
2014-02-25,65.21
2014-03-01,65.21
2014-03-11,65.21
2014-03-16,65.21
2014-03-25,62.66
2014-04-01,60.59
2014-04-03,61.04
2014-04-04,61.09
2014-04-06,61.48
2014-04-08,61.14
2014-04-16,64.59
2014-05-02,62.96
2014-06-06,57.59
2014-06-21,57.59
2014-08-30,58.85
2014-09-09,63.59
2014-09-12,58.85
2014-09-16,58.85
2014-10-01,45.7
2014-10-14,54.82
2014-10-15,54.56
2014-12-08,55.95
2014-12-09,55.95
2014-12-11,55.95
2015-02-22,55.95
2015-02-25,55.95
2015-03-24,55.95
2015-04-14,55.95
2015-04-17,55.95
2015-04-18,55.95
2015-04-19,55.95
2015-04-23,55.95
2015-05-04,55.95
2015-05-08,55.95
2015-05-14,55.95
2015-05-18,55.81
2015-05-26,54.09
2015-05-28,54.09
2015-06-04,54
2015-06-10,54
2015-08-13,71.57
2015-09-01,54
2015-09-10,54
2015-09-14,54
2015-10-03,54
2015-10-05,54
2015-11-02,54
2015-11-16,54
2015-12-04,55.75
2015-12-09,55.75
2015-12-10,55.75
2015-12-10,55.75
2015-12-13,55.75
2015-12-14,55.75
2015-12-15,58.84
2015-12-16,58.84
2015-12-18,58.84
2015-12-19,59.29
2016-01-02,59.29
2016-01-04,59.29
2016-04-11,58.9
2016-10-26,65.77
2016-10-26,65.77
2016-10-27,65.77
2016-10-31,65.77
2016-11-09,65.93
2016-11-10,65.93
2016-11-12,65.93
2016-11-16,65.93
2016-11-17,65.93
2016-11-18,65.93
2016-11-20,65.93
2016-11-23,65.93
2016-11-25,65.93
2016-11-25,65.93
2016-11-26,65.93
