Time,Price
2012-06-11,17.05
2012-06-12,17.04
2012-06-14,17.02
2012-06-15,17.07
2012-06-16,17.04
2012-06-17,17.89
2012-06-25,17.14
2012-07-02,17.89
2012-07-11,17.89
2012-07-14,17.89
2012-07-16,17.89
2012-07-18,19.99
2012-07-18,17.89
2012-07-19,17.89
2012-07-25,17.89
2012-08-12,17.89
2012-08-15,17.89
2012-08-19,17.89
2012-09-02,17.89
2012-09-11,17.89
2012-09-23,16.39
2012-09-24,16.4
2012-09-25,16.51
2012-09-25,16.53
2012-09-27,16.44
2012-09-30,16.6
2012-10-02,16.63
2012-10-03,16.55
2012-10-06,15.88
2012-10-07,15.92
2012-10-09,15.84
2012-10-10,15.41
2012-10-11,15.42
2012-10-11,15.86
2012-10-12,15.42
2012-10-14,16.13
2012-10-16,15.83
2012-10-18,16.11
2012-10-19,15.46
2012-10-21,15.62
2012-10-23,15.49
2012-10-25,15.46
2012-10-26,15.24
2012-10-28,15.33
2012-10-29,15.13
2012-11-03,15.32
2012-11-04,14.71
2012-11-06,14.99
2012-11-09,15.42
2012-11-11,15.42
2012-11-12,15.37
2012-11-13,15.56
2012-11-14,15.56
2012-11-16,15.56
2012-11-17,15.98
2012-11-17,16.11
2012-11-20,15.66
2012-11-21,15.66
2012-11-21,15.16
2012-11-23,15.18
2012-11-24,14.99
2012-11-28,15.75
2012-12-01,16.25
2012-12-01,16.03
2012-12-03,16
2012-12-05,16.58
2012-12-07,16.63
2012-12-07,15.61
2012-12-09,15.28
2012-12-10,15.25
2012-12-10,15.38
2012-12-14,15.27
2012-12-15,15.27
2012-12-16,16.87
2012-12-17,16.93
2012-12-18,16.93
2012-12-18,16.53
2012-12-19,16.53
2012-12-23,16.51
2012-12-23,16.5
2012-12-24,16.5
2012-12-25,16.73
2012-12-26,16.91
2012-12-26,16.76
2012-12-28,16.76
2012-12-31,15.75
2013-01-02,16.53
2013-01-03,15.74
2013-01-05,17.52
2013-01-07,17.52
2013-01-10,16.64
2013-01-11,16.09
2013-01-12,16.3
2013-01-14,16.98
2013-01-15,16.98
2013-01-17,16.68
2013-01-18,16.81
2013-01-20,16.81
2013-01-20,17.53
2013-01-21,17.53
2013-01-22,17.54
2013-01-23,17.2
2013-01-23,17.2
2013-01-25,17.84
2013-01-26,17.39
2013-01-27,17.39
2013-01-28,16.9
2013-01-28,16.55
2013-01-29,16.55
2013-01-30,16.17
2013-01-31,15.58
2013-01-31,15.58
2013-02-01,15.58
2013-02-02,15.51
2013-02-02,15.51
2013-02-08,15.72
2013-02-09,15.66
2013-02-10,16.3
2013-02-10,16.3
2013-02-11,16.09
2013-02-12,16.81
2013-02-14,16.7
2013-02-16,16.31
2013-02-17,16.9
2013-02-18,16.48
2013-02-20,16.26
2013-02-21,16.41
2013-02-22,16.35
2013-02-23,16.73
2013-02-24,15.92
2013-02-28,17.95
2013-03-04,19.89
2013-03-06,19.89
2013-03-08,17.95
2013-03-09,17.95
2013-03-09,19.79
2013-03-09,19.79
2013-03-10,19.79
2013-03-11,19.79
2013-03-12,17.38
2013-03-13,17.99
2013-03-17,17.67
2013-03-18,17.51
2013-03-21,17.09
2013-03-23,17.35
2013-03-26,17.06
2013-03-26,16.92
2013-03-27,15.95
2013-03-29,15.95
2013-03-30,17.42
2013-03-31,17.42
2013-04-01,17.24
2013-04-02,16.95
2013-04-04,15.99
2013-04-06,17.51
2013-04-07,17.43
2013-04-08,17.19
2013-04-10,16.4
2013-04-12,16.87
2013-04-14,16.8
2013-04-15,16.43
2013-04-16,17.45
2013-04-17,17.38
2013-04-18,19.88
2013-04-21,17.09
2013-04-23,17.95
2013-04-24,17.95
2013-04-27,17.95
2013-04-29,17.95
2013-05-03,16.37
2013-05-04,16.37
2013-05-05,16.37
2013-05-06,15.96
2013-05-07,17.95
2013-05-14,17.95
2013-05-15,17.95
2013-05-16,17.99
2013-05-17,17.95
2013-05-22,17.95
2013-05-24,18.29
2013-06-04,18.29
2013-07-09,18.28
2013-07-31,18.86
2013-08-02,19.18
2013-08-06,19.42
2013-08-09,18.58
2013-08-14,18.58
2013-08-21,18.58
2013-08-27,18.58
2013-08-31,19.53
2013-09-03,19.7
2013-09-05,20.09
2013-09-13,19.67
2013-09-15,19.41
2013-09-19,19.61
2013-09-22,19.26
2013-10-02,19.3
2013-10-05,18.83
2013-10-06,19.15
2013-10-08,19.43
2013-10-12,19.45
2013-10-16,19.7
2013-10-17,19.7
2013-10-28,19.19
2013-11-04,19.92
2013-11-06,19.56
2013-11-07,19.56
2013-11-10,19.92
2013-11-21,19.42
2013-11-23,19.59
2013-11-24,20.05
2013-12-02,18.12
2013-12-14,19.79
2013-12-25,18.21
2014-01-06,15.8
2014-01-16,18.81
2014-01-18,19.61
2014-01-19,19.63
2014-01-22,19.38
2014-01-31,19.98
2014-02-04,19.32
2014-02-05,19.65
2014-02-07,19.56
2014-02-10,18.84
2014-02-13,19.15
2014-02-14,18.97
2014-02-17,18.8
2014-02-20,18.8
2014-03-02,20.06
2014-03-05,19.57
2014-03-07,18.88
2014-03-09,19.31
2014-03-14,19.89
2014-03-17,19.12
2014-03-21,19.35
2014-04-06,19.45
2014-04-11,19.94
2014-04-16,19.7
2014-05-09,14.99
2014-05-20,18.49
2014-07-13,16.49
2014-08-03,16.59
2014-08-18,18.99
2014-09-09,15.39
2014-09-20,15.39
2014-10-31,15.99
2014-12-02,14.99
2015-01-22,14.99
2015-02-17,14.99
2015-02-22,14.99
2015-03-02,14.99
2015-03-11,14.99
2015-03-16,14.99
2015-03-21,14.99
2015-04-04,15.99
2015-04-14,15.99
2015-05-02,13.99
2015-05-05,13.99
2015-05-09,13.99
2015-05-12,13.99
2015-05-15,13.99
2015-05-19,13.99
2015-05-28,13.99
2015-06-03,15.99
2015-06-04,15.99
2015-06-07,15.99
2015-06-14,15.99
2015-07-06,15.99
2015-07-09,15.99
2015-08-01,15.99
2015-08-05,15.99
2015-08-25,13.99
2016-11-21,18.96
2016-11-23,18.95
2016-11-26,18.95
2014-06-09,
2014-07-15,14.99
2014-07-15,14.99
2014-10-04,18.21
2014-10-06,15.39
2014-10-08,15.39
2014-10-09,15.99
2014-11-29,14.99
2015-02-04,15.99
2015-02-06,19.58
2015-03-09,14.99
2015-04-23,15.99
2015-04-29,13.99
2015-06-07,15.99
2015-09-24,13.99
2015-12-07,14.44
2016-01-21,15.24
2016-05-16,13.99
2016-07-24,15.99
2016-08-16,13.99
2016-09-02,14.69
2016-10-11,15.51
2016-11-20,18.96
2016-11-26,18.95
2016-11-27,18.95
