Time,Price
2014-06-09,14.69
2014-06-23,11.97
2014-07-04,11.97
2014-07-04,11.97
2014-07-10,11.97
2014-07-29,14.99
2014-08-05,11.97
2014-09-25,9.99
2014-10-13,11.97
2014-11-06,11.97
2015-01-18,20.00
2015-01-22,17.43
2015-01-23,20.00
2015-01-23,17.43
2015-01-26,16.93
2015-01-26,20.00
2015-01-26,16.93
2015-01-27,20.00
2015-01-27,16.93
2015-01-31,20.00
2015-02-01,16.93
2015-02-01,19.94
2015-02-02,20.00
2015-02-03,16.93
2015-02-04,19.49
2015-02-04,19.89
2015-02-05,19.63
2015-02-05,19.89
2015-02-05,19.63
2015-02-07,19.89
2015-02-08,19.63
2015-02-08,19.89
2015-02-09,19.63
2015-02-11,21.13
2015-02-11,19.23
2015-02-13,26.71
2015-02-13,24.49
2015-02-14,24.50
2015-02-15,22.14
2015-02-18,16.19
2015-02-18,22.14
2015-02-19,16.19
2015-02-20,16.22
2015-02-20,22.14
2015-02-23,23.67
2015-02-23,22.14
2015-02-23,23.66
2015-02-24,22.14
2015-02-25,23.67
2015-02-25,22.14
2015-02-26,22.89
2015-02-27,22.14
2015-02-28,23.67
2015-02-28,22.43
2015-02-28,23.68
2015-03-01,23.70
2015-03-01,23.73
2015-03-01,23.76
2015-03-02,23.80
2015-03-02,22.43
2015-03-03,28.50
2015-03-03,16.73
2015-03-03,23.68
2015-03-04,23.72
2015-03-04,23.75
2015-03-04,23.79
2015-03-05,25.17
2015-03-05,25.12
2015-03-05,23.70
2015-03-06,23.73
2015-03-06,23.74
2015-03-06,23.77
2015-03-07,26.04
2015-03-08,11.97
2015-03-08,19.99
2015-03-09,23.80
2015-03-09,24.42
2015-03-10,20.00
2015-03-10,24.42
2015-03-11,23.84
2015-03-11,23.87
2015-03-12,25.46
2015-03-12,23.73
2015-03-12,23.77
2015-03-13,23.82
2015-03-13,23.85
2015-03-14,23.89
2015-03-14,23.93
2015-03-14,23.96
2015-03-15,23.98
2015-03-15,24.01
2015-03-15,24.04
2015-03-16,24.09
2015-03-16,24.12
2015-03-16,24.16
2015-03-17,24.18
2015-03-17,24.21
2015-03-17,22.90
2015-03-18,22.93
2015-03-18,22.43
2015-03-19,22.59
2015-03-19,22.89
2015-03-20,22.59
2015-03-21,22.89
2015-03-21,22.90
2015-03-22,22.93
2015-03-22,22.96
2015-03-22,22.89
2015-03-23,22.59
2015-03-23,22.90
2015-03-23,22.94
2015-03-24,22.99
2015-03-24,23.01
2015-03-25,23.05
2015-03-25,23.08
2015-03-25,23.11
2015-03-26,23.15
2015-03-26,23.19
2015-03-26,23.22
2015-03-27,23.24
2015-03-27,23.27
2015-03-27,23.29
2015-03-28,23.32
2015-03-28,23.36
2015-03-28,23.39
2015-03-28,23.40
2015-03-29,23.41
2015-03-29,23.44
2015-03-29,23.47
2015-03-30,23.50
2015-03-30,23.98
2015-03-30,24.42
2015-04-01,20.00
2015-04-01,24.42
2015-04-11,22.90
2015-04-13,22.89
2015-04-15,22.90
2015-04-17,19.99
2015-04-17,22.90
2015-04-21,23.53
2015-04-23,23.40
2015-04-24,23.53
2015-04-25,23.15
2015-04-25,23.53
2015-04-30,22.89
2015-05-12,23.53
2015-05-30,23.95
2015-06-05,23.75
2015-06-06,17.50
2015-06-06,20.00
2015-06-07,17.50
2015-06-07,23.67
2015-06-07,23.70
2015-06-08,23.73
2015-06-08,23.76
2015-06-08,23.78
2015-06-09,23.81
2015-06-09,23.83
2015-06-09,23.86
2015-06-10,23.90
2015-06-10,23.92
2015-06-12,17.95
2015-06-15,23.99
2015-06-25,23.53
2015-06-29,19.19
2015-06-29,22.89
2015-07-01,16.53
2015-07-05,16.97
2015-07-06,23.53
2015-07-07,23.54
2015-07-08,23.53
2015-07-08,23.54
2015-07-09,23.53
2015-07-10,23.54
2015-07-10,23.53
2015-07-10,23.54
2015-07-11,23.53
2015-07-12,23.12
2015-07-12,23.54
2015-07-13,23.53
2015-07-13,23.54
2015-07-15,23.53
2015-07-15,23.54
2015-07-15,24.66
2015-07-16,24.42
2015-07-16,23.54
2015-07-16,23.53
2015-07-17,23.77
2015-07-18,23.54
2015-07-18,24.42
2015-07-19,23.53
2015-07-20,23.54
2015-07-20,23.77
2015-07-20,23.76
2015-07-21,23.98
2015-07-21,24.42
2015-07-21,24.77
2015-07-22,17.90
2015-07-22,17.88
2015-07-22,23.94
2015-07-23,24.35
2015-07-23,23.94
2015-07-23,23.75
2015-07-24,23.54
2015-07-25,23.53
2015-07-25,23.54
2015-07-26,23.53
2015-07-26,23.54
2015-07-27,23.53
2015-07-29,23.54
2015-07-29,23.53
2015-07-29,23.54
2015-07-30,19.89
2015-07-30,23.53
2015-07-31,23.67
2015-08-05,23.53
2015-08-07,23.54
2015-08-07,23.53
2015-08-09,23.54
2015-08-09,23.53
2015-08-10,23.54
2015-08-10,23.53
2015-08-10,23.54
2015-08-11,17.54
2015-08-11,23.54
2015-08-12,23.53
2015-08-12,23.54
2015-08-13,23.53
2015-08-13,23.54
2015-08-14,11.97
2015-08-14,23.54
2015-08-15,23.53
2015-08-16,23.54
2015-08-16,23.53
2015-08-19,23.54
2015-08-24,23.74
2015-08-24,23.76
2015-08-25,23.66
2015-08-25,23.72
2015-08-26,23.71
2015-09-03,23.59
2015-09-06,23.99
2015-09-08,14.00
2015-09-08,22.20
2015-09-10,23.53
2015-09-17,25.25
2015-09-19,23.53
2015-09-23,17.54
2015-09-23,23.53
2015-09-25,23.77
2015-09-26,23.71
2015-09-26,23.63
2015-09-26,23.59
2015-09-27,23.53
2015-09-27,24.42
2015-09-28,23.53
2015-09-30,24.42
2015-09-30,23.53
2015-10-01,24.42
2015-10-01,23.64
2015-10-02,23.60
2015-10-03,23.53
2015-10-08,19.89
2015-10-08,16.81
2015-10-09,23.53
2015-10-10,17.54
2015-10-11,17.66
2015-10-12,23.53
2015-10-21,22.40
2015-10-21,23.49
2015-10-22,22.76
2015-10-23,22.43
2015-10-24,23.35
2015-10-24,23.49
2015-10-24,23.53
2015-10-25,22.93
2015-10-26,16.81
2015-10-26,23.53
2015-10-27,16.81
2015-10-27,19.39
2015-10-28,16.39
2015-10-29,22.93
2015-10-30,22.92
2015-10-30,17.54
2015-10-31,23.53
2015-11-11,23.34
2015-11-11,23.38
2015-11-12,16.89
2015-11-12,23.66
2015-11-13,16.89
2015-11-14,17.29
2015-11-14,16.72
2015-11-14,15.96
2015-11-14,15.99
2015-11-15,16.99
2015-11-16,22.98
2015-11-16,16.99
2015-11-16,23.66
2015-11-18,23.67
2015-11-19,23.66
2015-11-21,23.63
2015-11-23,23.66
2015-11-26,23.67
2015-11-27,23.66
2015-11-28,23.64
2015-11-28,25.99
2015-11-30,25.95
2015-12-05,23.53
2015-12-05,23.66
2015-12-07,23.71
2015-12-07,23.54
2015-12-08,16.89
2015-12-08,23.54
2015-12-09,16.89
2015-12-10,23.54
2015-12-11,16.89
2015-12-12,23.54
2015-12-12,20.09
2015-12-14,23.53
2015-12-14,16.73
2015-12-14,16.78
2015-12-15,23.76
2015-12-15,23.54
2015-12-15,23.66
2015-12-16,23.53
2015-12-17,23.66
2015-12-17,23.53
2015-12-17,23.66
2015-12-18,23.71
2015-12-18,23.53
2015-12-19,23.76
2015-12-19,23.91
2015-12-20,24.01
2015-12-20,23.53
2015-12-22,8.98
2015-12-22,14.97
2016-11-27,14.97
