Time,Price
2013-01-30,16.79
2013-02-19,16.5
2013-02-25,14.52
2013-02-25,14.98
2013-02-27,15.19
2013-03-17,14.61
2013-03-17,15.19
2013-03-18,15.19
2013-03-18,15.04
2013-03-19,15.04
2013-03-19,15.19
2013-04-05,16.29
2013-04-05,16.29
2013-04-07,16.39
2013-04-08,16.39
2013-04-08,16.39
2013-04-09,16.52
2013-04-10,16.79
2013-04-15,16.62
2013-04-16,16.66
2013-04-17,16.32
2013-04-17,16.32
2013-04-18,16.14
2013-04-18,16.14
2013-04-21,16.27
2013-04-21,16.34
2013-04-22,16.47
2013-04-24,16
2013-05-01,15.11
2013-05-02,15.08
2013-05-02,14.94
2013-05-03,14.58
2013-05-03,14.37
2013-05-03,14.4
2013-05-04,14.38
2013-05-04,14.32
2013-05-04,14.26
2013-05-05,14.52
2013-05-05,14.48
2013-05-05,14.42
2013-05-05,14.4
2013-05-05,14.2
2013-05-06,14.19
2013-05-06,14.48
2013-05-06,15.08
2013-05-06,15.05
2013-05-07,15.06
2013-05-07,15.08
2013-05-09,14.92
2013-05-09,14.92
2013-05-10,15.08
2013-05-10,15.08
2013-05-10,15.08
2013-05-12,15.08
2013-05-13,14.97
2013-05-13,15.08
2013-05-13,14.97
2013-05-14,14.91
2013-05-14,15.08
2013-05-14,14.91
2013-05-15,15.08
2013-05-15,15.08
2013-05-16,14.96
2013-05-16,14.69
2013-05-16,14.69
2013-05-27,14.69
2013-06-08,14.69
2013-06-09,14.69
2013-06-13,14.69
2013-06-15,14.69
2013-06-16,15.5
2013-06-22,15.5
2013-06-28,15.58
2013-06-29,15.56
2013-07-01,15.86
2013-07-02,16.51
2013-07-02,16.77
2013-07-04,16.52
2013-07-07,15.5
2013-07-08,15.19
2013-07-10,15.44
2013-07-13,15.88
2013-07-14,15.89
2013-07-14,16.11
2013-07-14,16.06
2013-07-16,16.24
2013-07-17,16.19
2013-07-17,16.05
2013-07-18,15.95
2013-07-19,15.68
2013-07-21,16.77
2013-07-21,16.12
2013-07-22,16.31
2013-07-23,15.97
2013-07-27,15.33
2013-07-29,15.77
2013-07-29,15.27
2013-07-30,15.27
2013-08-01,15.27
2013-08-11,15.42
2013-08-28,15.42
2013-08-30,16.79
2013-08-31,16.79
2013-09-02,16.79
2013-09-03,16.79
2013-09-05,16.79
2013-09-05,16.79
2013-09-06,16.79
2013-09-14,16.72
2013-09-17,16.28
2013-09-19,15.37
2013-09-19,15.22
2013-09-21,16.79
2013-09-30,15.85
2013-10-02,15.68
2013-10-03,16.59
2013-10-05,16.79
2013-10-11,15.96
2013-10-12,16.79
2013-10-22,16.59
2013-10-24,16.79
2013-10-25,16.61
2013-10-27,16.79
2013-10-28,16.68
2013-10-28,16.04
2013-10-30,16.79
2013-11-03,16.67
2013-11-03,16.79
