Time,Price
2012-06-01,25.27
2012-06-03,25.37
2012-06-06,25.57
2012-06-07,25.78
2012-06-08,25.88
2012-06-11,25.98
2012-06-13,26.08
2012-06-14,26.19
2012-06-15,26.29
2012-06-17,25.61
2012-06-18,23
2012-06-26,26.18
2012-06-26,26.29
2012-07-03,23
2012-07-17,23
2012-07-19,23
2012-07-25,23
2012-07-27,23
2012-07-29,23.93
2012-07-29,23.93
2012-08-02,23.93
2012-08-07,23
2012-08-08,25.47
2012-08-13,25.47
2012-08-14,25.47
2012-08-19,26.29
2012-08-28,26.29
2012-08-29,26.29
2012-09-10,26.29
2012-09-21,26.29
2012-10-02,26.29
2012-10-04,26.29
2012-10-06,26.29
2012-10-08,25.47
2012-10-19,25.47
2012-10-24,25.47
2012-10-29,25.47
2012-10-31,25.47
2012-11-03,25.47
2012-11-10,25.47
2012-11-13,25.47
2012-11-14,25.47
2012-11-17,25.47
2012-11-20,24.92
2012-11-22,24.96
2012-11-24,25.06
2012-11-27,25.27
2012-11-28,25.37
2012-11-29,25.47
2012-12-02,25.47
2012-12-04,25.47
2012-12-06,25.47
2012-12-08,21.07
2012-12-09,21.89
2012-12-10,25.27
2012-12-13,22.85
2012-12-15,25.37
2012-12-17,25.46
2012-12-18,25.46
2012-12-22,25.46
2012-12-28,25.46
2012-12-29,25.46
2013-01-01,25.47
2013-01-03,25.47
2013-01-04,25.46
2013-01-07,25.47
2013-01-10,25.06
2013-01-11,24.66
2013-01-13,24.14
2013-01-15,25.47
2013-01-17,25.47
2013-01-22,25.67
2013-01-23,25.78
2013-01-24,25.88
2013-01-25,25.98
2013-01-26,25.98
2013-01-27,25.98
2013-01-29,22.02
2013-01-30,22.02
2013-01-30,22.02
2013-02-07,22.02
2013-02-21,22.02
2013-02-23,24.73
2013-02-24,25.31
2013-02-25,26.29
2013-02-28,24.45
2013-03-01,25.63
2013-03-02,26.29
2013-03-04,23.53
2013-03-07,20.66
2013-03-09,24.53
2013-03-10,26.29
2013-03-11,26.29
2013-03-13,23.97
2013-03-14,24.81
2013-03-15,24.81
2013-03-18,23.49
2013-03-19,23.49
2013-03-22,23.81
2013-03-23,23.84
2013-03-23,23.84
2013-03-25,23.94
2013-03-26,23.94
2013-03-27,26.29
2013-03-28,26.29
2013-03-28,26.29
2013-03-29,25.6
2013-03-30,25.19
2013-04-01,26.29
2013-04-02,26.29
2013-04-04,26.29
2013-04-05,26.29
2013-04-06,26.29
2013-04-08,26.29
2013-04-09,25.28
2013-04-10,24.21
2013-04-11,24.32
2013-04-14,26.73
2013-04-15,26.76
2013-04-16,26.72
2013-04-17,25.38
2013-04-18,25.76
2013-04-21,26.51
2013-04-22,26.33
2013-08-31,22.4
2014-02-26,21.84
2014-03-20,21.33
2014-04-06,20.43
2014-04-10,20.43
2014-04-15,22.53
2014-04-25,23.86
2014-05-19,23.86
2014-05-25,23.86
2014-06-07,23.86
2014-07-13,22.92
2014-07-27,18.49
2014-08-03,18.39
2014-09-10,18.39
2014-09-13,18.39
2014-09-18,18.39
2014-11-07,17.78
2014-11-10,17.78
2014-11-19,17.78
2014-11-22,17.78
2015-02-17,21.99
2015-02-26,21.99
2015-03-02,21.99
2015-03-09,21.99
2015-03-15,21.99
2015-03-29,21.37
2015-03-30,21.37
2015-04-03,20.99
2015-04-07,20.99
2015-04-22,20.99
2015-05-01,20.99
2015-05-07,20.99
2015-06-13,20.99
2015-06-27,20.99
2015-07-06,20.99
2015-08-29,17.84
2015-09-06,17.84
2015-09-11,17.84
2015-09-21,17.84
2015-09-25,17.99
2015-09-28,17.84
2015-10-02,17.84
2015-11-06,17.99
2015-11-17,20.99
2015-11-24,20.99
2015-11-28,17.84
2015-12-13,17.36
2015-12-17,25.56
2015-12-20,17.84
2016-01-14,18.33
2016-02-22,18.93
2016-10-27,17.99
2016-11-09,17.99
2016-11-10,17.99
2016-11-18,17.99
2016-11-21,17.99
2016-11-26,17.99
