Time,Price
2012-06-01,193.99
2012-06-03,193.99
2012-06-08,193.99
2012-06-08,194.99
2012-06-10,194.99
2012-06-12,194.99
2012-06-22,194.99
2012-06-23,194.99
2012-06-30,194.99
2012-07-03,194.99
2012-07-03,194.99
2012-07-04,193.99
2012-07-05,193.99
2012-07-07,149.99
2012-07-08,193.99
2012-07-08,193.99
2012-07-09,193.99
2012-07-11,193.99
2012-07-25,193.99
2012-07-30,193.99
2012-08-03,193.99
2012-08-04,193.44
2012-08-05,166.32
2012-08-06,193.99
2012-08-07,193.99
2012-08-08,171.53
2012-08-09,171.53
2012-08-09,193.99
2012-08-11,193.99
2012-08-12,193.99
2012-08-13,193.99
2012-08-16,166.32
2012-08-17,166.32
2012-08-23,193.99
2012-08-24,193.99
2012-08-24,193.76
2012-08-25,193.76
2012-08-27,189.98
2012-08-29,189.98
2012-08-30,189.98
2012-08-31,188.68
2012-09-02,188.68
2012-09-03,188.68
2012-09-04,188.68
2012-09-11,188.68
2012-09-12,188.68
2012-09-15,189.98
2012-09-18,188.68
2012-09-21,188.68
2012-09-22,185
2012-09-23,188
2012-09-23,188
2012-09-25,188
2012-09-26,188
2012-09-26,188
2012-09-27,188
2012-09-29,189.98
2012-09-30,189.98
2012-10-02,189.98
2012-10-06,189.98
2012-10-07,189.98
2012-10-08,189
2012-10-09,189.98
2012-10-10,189
2012-10-12,187.99
2012-10-12,187.99
2012-10-17,146.98
2012-10-18,146.98
2012-10-18,187.99
2012-10-19,187.99
2012-10-20,187.99
2012-10-21,187.99
2012-10-23,187.99
2012-10-26,187.99
2012-10-28,163.99
2012-10-29,187.98
2012-10-30,187.98
2012-10-31,199.94
2012-11-01,199.94
2012-11-02,199.94
2012-11-03,199.94
2012-11-06,170.09
2012-11-06,171.09
2012-11-09,189.99
2012-11-11,189.99
2012-11-12,189.99
2012-11-14,189.99
2012-11-15,189.99
2012-11-16,189.99
2012-11-17,189.99
2012-11-24,189.99
2012-11-26,189.99
2012-11-27,189.99
2012-11-28,189.99
2012-12-04,189.99
2012-12-05,189.99
2012-12-07,189.99
2012-12-08,189.99
2012-12-09,189.99
2012-12-10,189.99
2012-12-10,189.99
2012-12-12,189.99
2012-12-14,189
2012-12-15,189
2012-12-19,189.98
2012-12-20,189
2012-12-21,189.98
2012-12-21,189.98
2012-12-28,189
2012-12-28,189
2012-12-29,189.98
2013-01-02,189.98
2013-01-03,189.98
2013-01-04,189
2013-01-05,189.98
2013-01-06,189
2013-01-07,189.98
2013-01-10,189.98
2013-01-11,189
2013-01-12,189.98
2013-01-28,189.98
2013-01-29,199.99
2013-01-30,199.99
2013-01-31,199.99
2013-01-31,199.99
2013-02-02,199.99
2013-02-13,199.99
2013-02-13,201.81
2013-02-15,201.81
2013-02-19,214.99
2013-02-22,214.99
2013-02-28,214.99
2013-03-07,199.99
2013-03-08,214.99
2013-03-11,199.99
2013-03-13,190.19
2013-03-14,195.61
2013-03-14,199.49
2013-03-15,195.62
2013-03-17,199.99
2013-03-21,199.99
2013-03-23,199.99
2013-03-24,199.99
2013-03-26,199.99
2013-03-26,194.79
2013-03-26,199.99
2013-03-28,188.24
2013-03-29,193.77
2013-04-01,199.99
2013-04-07,199.99
2013-04-08,199.99
2013-04-08,195.99
2013-04-10,199.99
2013-04-12,214.99
2013-04-13,214.99
2013-04-13,214.99
2013-04-14,214.99
2013-04-15,214.99
2013-04-17,214.99
2013-04-17,214.99
2013-04-18,214.99
2013-04-18,214.99
2013-04-19,208.5
2013-04-21,210.52
2013-04-22,214.99
2013-04-24,214.99
2013-04-25,214.99
2013-04-26,199.99
2013-04-27,199.99
2013-05-03,214.99
2013-05-04,214.99
2013-05-05,214.99
2013-05-06,214.99
2013-05-07,199.99
2013-05-07,199.37
2013-05-08,199.37
2013-05-12,189.98
2013-05-12,189.98
2013-05-13,189.98
2013-05-13,189.98
2013-05-14,189.98
2013-05-22,189.98
2013-05-23,186.76
2013-05-24,189.98
2013-05-24,189.98
2013-05-26,189.98
2013-05-27,189.98
2013-05-28,188.33
2013-05-29,189.98
2013-05-29,189.98
2013-05-30,189.98
2013-06-02,189.49
2013-06-03,189.49
2013-06-06,189.49
2013-06-06,189.49
2013-06-08,188.99
2013-06-09,188.99
2013-06-12,189.98
2013-06-16,189.49
2013-06-17,189.98
2013-06-19,189.49
2013-06-25,189.49
2013-06-29,188.99
2013-06-29,188.99
2013-06-30,189.49
2013-06-30,189.49
2013-07-01,189.49
2013-07-03,186.93
2013-07-03,186.93
2013-07-04,189.49
2013-07-05,189.49
2013-07-07,188.99
2013-07-08,188.99
2013-07-08,189.49
2013-07-09,189.49
2013-07-13,189.49
2013-07-14,185.49
2013-07-14,185.49
2013-07-15,185.49
2013-07-16,185.49
2013-07-20,185.49
2013-07-21,149.99
2013-07-21,149.99
2013-07-21,149.99
2013-07-22,185.48
2013-07-24,185.48
2013-07-25,185.48
2013-07-26,185.48
2013-07-26,185.48
2013-07-27,185.48
2013-07-27,185.48
2013-07-28,185.48
2013-07-29,185.48
2013-07-29,185.48
2013-07-30,185.48
2013-07-31,185.48
2013-08-07,185.48
2013-08-07,185.48
2013-08-08,185.48
2013-08-09,185.48
2013-08-11,185.48
2013-08-12,185.48
2013-08-13,185.48
2013-08-16,185.48
2013-08-21,185.48
2013-08-24,185.98
2013-08-25,185.98
2013-08-26,185.98
2013-08-27,185.98
2013-08-28,189.68
2013-08-29,189.68
2013-08-30,189.98
2013-08-31,186.85
2013-09-01,188.99
2013-09-02,188.99
2013-09-03,188.39
2013-09-04,186.98
2013-09-05,182.75
2013-09-06,182.6
2013-09-07,186.38
2013-09-07,186.38
2013-09-08,186.38
2013-09-13,182.98
2013-09-14,182.99
2013-09-18,182.13
2013-09-19,182.34
2013-09-19,182.99
2013-09-20,182.99
2013-09-24,182.99
2013-09-25,182.99
2013-09-26,182.99
2013-09-26,182.99
2013-09-26,182.99
2013-09-28,182.99
2013-09-29,182.99
2013-09-30,182.99
2013-10-01,182.99
2013-10-02,182.99
2013-10-02,182.99
2013-10-03,182.99
2013-10-04,182.99
2013-10-05,182.99
2013-10-05,182.99
2013-10-06,182.99
2013-10-07,182.99
2013-10-08,182.99
2013-10-08,182.99
2013-10-08,186.63
2013-10-09,186.63
2013-10-10,184.99
2013-10-10,182.99
2013-10-12,182.99
2013-10-16,177.3
2013-10-17,177.3
2013-10-17,182.99
2013-10-18,182.99
2013-10-19,182.99
2013-10-20,182.99
2013-10-21,182.99
2013-10-23,182.99
2013-10-25,182.99
2013-10-26,182.99
2013-10-27,182.99
2013-10-28,182.99
2013-10-29,182.99
2013-10-30,182.99
2013-10-31,182.99
2013-11-01,182.99
2013-11-01,182.99
2013-11-02,182.99
2013-11-03,177.38
2013-11-03,177.38
2013-11-04,173.29
2013-11-05,149.99
2013-11-06,172.37
2013-11-06,159.51
2013-11-07,159.51
2013-11-08,160.97
2013-11-08,163.15
2013-11-10,176.98
2013-11-10,176.98
2013-11-12,176.98
2013-11-13,176.98
2013-11-19,176.98
2013-11-20,176.98
2013-11-21,176.98
2013-11-24,176.98
2013-11-29,176.98
2013-11-30,176.98
2013-12-02,161.48
2013-12-02,161.48
2013-12-03,161.48
2013-12-04,161.48
2013-12-05,161.48
2013-12-08,161.58
2013-12-09,163.75
2013-12-11,176.98
2013-12-11,176.98
2013-12-12,176.98
2013-12-14,176.98
2013-12-16,176.98
2013-12-17,154.99
2013-12-18,176.98
2013-12-18,154.99
2013-12-22,176.98
2013-12-26,176.98
2014-01-05,176.98
2014-01-07,171.95
2014-01-08,176.98
2014-01-09,171.95
2014-01-09,171.95
2014-01-12,171.95
2014-01-13,171.95
2014-01-18,176.98
2014-01-19,176.98
2014-01-20,171.95
2014-01-25,176.98
2014-01-27,176.98
2014-01-27,176.98
2014-01-29,176.98
2014-01-30,176.98
2014-02-01,176.98
2014-02-03,176.98
2014-02-11,176.98
2014-02-12,176.98
2014-02-15,176.98
2014-02-19,176.98
2014-02-22,176.98
2014-02-23,176.98
2014-02-24,176.98
2014-02-26,176.98
2014-02-26,176.98
2014-02-28,176.98
2014-03-05,176.98
2014-03-19,169.99
2014-03-22,169.99
2014-03-24,169.99
2014-03-27,170
2014-03-28,170
2014-03-29,170
2014-03-29,170
2014-03-31,170
2014-04-01,170
2014-04-02,170
2014-04-03,170
2014-04-13,170
2014-04-15,170
2014-04-16,170
2014-04-16,170
2014-04-19,170
2014-04-20,170
2014-04-21,170
2014-04-24,169.99
2014-04-24,169.98
2014-04-25,169.97
2014-04-25,169.97
2014-04-27,169.96
2014-04-28,169.95
2014-05-06,169.95
2014-05-11,169.95
2014-05-15,169.9
2014-05-16,169.95
2014-05-17,169.9
2014-05-21,169.9
2014-05-28,169.9
2014-05-30,169.9
2014-05-31,169.9
2014-05-31,169.9
2014-06-02,169.9
2014-06-03,169.9
2014-06-04,169.9
2014-06-07,169.9
2014-06-08,169.9
2014-06-09,169.9
2014-06-10,169.9
2014-06-13,169.9
2014-06-19,169.9
2014-06-20,169.9
2014-06-22,169.9
2014-06-23,169.9
2014-06-23,169.9
2014-06-24,169.9
2014-07-08,170
2014-07-09,170
2014-07-09,169.9
2014-07-10,169.9
2014-07-12,169.9
2014-07-18,169.9
2014-07-22,169.9
2014-07-23,169.9
2014-07-24,169.9
2014-07-26,169.9
2014-07-26,169.9
2014-07-27,139.99
2014-07-28,169.9
2014-07-28,169.9
2014-07-29,151.18
2014-07-30,151.18
2014-07-30,169.9
2014-07-30,151.18
2014-08-04,151.18
2014-08-04,151.18
2014-08-06,151.18
2014-08-06,151.18
2014-08-18,152.71
2014-08-19,152.71
2014-08-19,152.71
2014-08-20,151.18
2014-08-21,152.71
2014-08-22,152.71
2014-08-26,152.71
2014-08-27,152.71
2014-09-02,152.71
2014-09-03,169.99
2014-09-04,169.99
2014-09-04,169.99
2014-09-04,169.99
2014-09-05,169.99
2014-09-05,151.18
2014-09-06,151.18
2014-09-11,151.18
2014-09-12,151.18
2014-09-12,151.18
2014-09-16,151.18
2014-09-21,151.18
2014-09-22,151.18
2014-09-25,151.18
2014-09-26,151.18
2014-09-26,151.18
2014-10-03,151.18
2014-10-05,151.18
2014-10-06,151.18
2014-10-06,151.18
2014-10-07,151.18
2014-10-07,163.31
2014-10-07,163.31
2014-10-08,167.96
2014-10-09,167.96
2014-10-09,167.96
2014-10-10,167.96
2014-10-10,167.96
2014-10-11,167.96
2014-10-11,167.96
2014-10-12,167.96
2014-10-12,167.96
2014-10-12,167.96
2014-10-13,167.96
2014-10-13,167.96
2014-10-14,167.96
2014-10-14,167.96
2014-10-14,167.96
2014-10-15,167.96
2014-10-15,167.96
2014-10-16,167.96
2014-10-16,167.96
2014-10-16,167.96
2014-10-16,167.96
2014-10-21,167.96
2014-10-23,167.96
2014-10-23,167.96
2014-10-23,167.96
2014-10-24,167.96
2014-10-24,167.96
2014-10-25,167.96
2014-10-25,167.96
2014-10-25,167.96
2014-10-26,167.96
2014-10-26,167.96
2014-10-27,167.96
2014-10-27,167.96
2014-10-28,167.96
2014-10-30,167.96
2014-10-31,167.96
2014-10-31,167.96
2014-11-01,167.96
2014-11-01,167.96
2014-11-03,167.96
2014-11-05,167.96
2014-11-06,167.96
2014-11-06,167.96
2014-11-06,167.96
2014-11-06,167.96
2014-11-07,167.96
2014-11-07,167.96
2014-11-07,167.96
2014-11-08,167.96
2014-11-08,167.96
2014-11-08,167.96
2014-11-09,167.96
2014-11-10,167.96
2014-11-11,167.96
2014-11-11,167.96
2014-11-11,167.96
2014-11-12,167.96
2014-11-12,167.96
2014-11-17,167.96
2014-11-18,167.96
2014-11-19,167.96
2014-11-20,167.96
2014-11-20,167.96
2014-11-22,167.96
2014-11-24,167.96
2014-11-24,159.99
2014-11-25,167.96
2014-11-25,167.96
2014-11-25,167.96
2014-11-26,167.96
2014-11-28,167.96
2014-11-29,166.99
2014-11-30,166.99
2014-11-30,166.99
2014-12-01,166.99
2014-12-02,159.99
2014-12-02,159.99
2014-12-03,166.99
2014-12-03,167.96
2014-12-03,167.96
2014-12-03,159.99
2014-12-04,159.99
2014-12-05,159.99
2014-12-06,159.99
2014-12-07,166.99
2014-12-07,166.99
2014-12-08,149.99
2014-12-08,149.99
2014-12-08,167.96
2014-12-09,149.99
2014-12-09,149.99
2014-12-10,149.99
2014-12-11,142.97
2014-12-12,142.97
2014-12-12,142.97
2014-12-12,142.97
2014-12-14,142.97
2014-12-17,142.97
2014-12-20,142.97
2014-12-23,177.85
2014-12-25,177.85
2014-12-25,177.85
2014-12-26,179.99
2014-12-26,179.99
2014-12-26,177.85
2014-12-26,177.85
2014-12-27,177.85
2014-12-27,177.85
2014-12-29,177.85
2014-12-31,185.99
2015-01-01,177.85
2015-01-02,185.99
2015-01-03,177.85
2015-01-06,189.98
2015-01-06,189.98
2015-01-06,177.85
2015-01-08,177.85
2015-01-08,169.95
2015-01-09,169.95
2015-01-09,169.95
2015-01-09,175
2015-01-21,175
2015-01-29,175
2015-02-12,175
2015-02-20,175
2015-02-21,175
2015-02-22,176.44
2015-02-26,175
2015-03-09,174.49
2015-03-10,175
2015-03-10,174.99
2015-03-10,174.49
2015-03-11,174.49
2015-03-12,174.49
2015-03-12,139.99
2015-03-23,160.06
2015-03-23,160.06
2015-03-24,177.85
2015-03-24,177.85
2015-03-25,177.85
2015-03-26,177.85
2015-03-27,177.85
2015-03-28,177.85
2015-03-28,177.85
2015-04-01,149.99
2015-04-02,177.85
2015-04-02,177.85
2015-04-02,177.85
2015-04-03,177.85
2015-04-05,177.85
2015-04-05,177.85
2015-04-06,177.85
2015-04-11,177.85
2015-04-13,177.49
2015-04-14,177.49
2015-04-15,177.49
2015-04-17,177.49
2015-04-17,177.49
2015-04-18,177.49
2015-04-20,177.49
2015-04-23,177.49
2015-04-23,177.49
2015-04-29,178.74
2015-04-30,177.85
2015-05-01,177.85
2015-05-02,178.51
2015-05-03,177.85
2015-05-08,178.95
2015-05-08,178.95
2015-05-10,178.95
2015-05-11,178.95
2015-05-16,178.95
2015-05-17,178.49
2015-05-19,178.95
2015-05-27,178.49
2015-05-28,178.49
2015-05-30,178.49
2015-05-31,178.49
2015-06-02,174.99
2015-06-03,174.99
2015-06-04,174.99
2015-06-05,174.99
2015-06-06,174.99
2015-06-08,174.99
2015-06-08,174.99
2015-06-09,174.99
2015-06-10,174.99
2015-06-10,174.99
2015-06-12,174.99
2015-06-13,174.99
2015-06-14,174.99
2015-06-14,174.99
2015-06-15,174.99
2015-06-16,174.99
2015-06-19,174.99
2015-06-20,174.99
2015-06-21,174.99
2015-06-24,174.99
2015-06-26,174.99
2015-06-26,174.99
2015-06-28,174.99
2015-06-28,174.99
2015-07-04,174.99
2015-07-05,174.99
2015-07-06,174.99
2015-07-07,174.99
2015-07-16,174.99
2015-07-17,174.49
2015-07-18,174.99
2015-07-20,174.49
2015-07-21,174.99
2015-07-23,174.99
2015-07-24,173.99
2015-07-28,173.99
2015-07-29,173.99
2015-08-01,173.99
2015-08-03,173.99
2015-08-04,174.99
2015-08-07,174.99
2015-08-07,174.99
2015-08-09,174.99
2015-08-17,174.99
2015-08-18,174.99
2015-08-22,174.99
2015-08-23,184.49
2015-08-23,184.49
2015-08-25,184.49
2015-08-26,184.49
2015-08-27,184.49
2015-08-28,179.99
2015-09-13,179.99
2015-09-17,179.99
2015-09-18,179.99
2015-09-19,179.99
2015-09-20,179.99
2015-09-21,179.99
2015-09-22,179.99
2015-09-25,179.99
2015-09-26,179.99
2015-09-28,179.99
2015-09-29,179.99
2015-09-29,184.49
2015-10-01,179.99
2015-10-02,179.21
2015-10-03,179.21
2015-11-03,161.54
2015-11-03,161.54
2015-11-06,161.54
2015-11-07,161.54
2015-11-09,161.54
2015-11-09,161.54
2015-11-10,147.49
2015-11-10,159.99
2015-11-10,159.99
2015-11-11,147.49
2015-11-11,147.49
2015-11-11,152.02
2015-11-11,159.99
2015-11-13,159.99
2015-11-13,159.99
2015-11-14,159.99
2015-11-14,158.45
2015-11-15,159.99
2015-11-16,159.99
2015-11-20,159.99
2015-11-21,159.99
2015-12-06,161.96
2015-12-06,169.99
2015-12-07,169.99
2015-12-07,149.99
2015-12-09,168.42
2015-12-10,168.42
2015-12-10,168.42
2015-12-10,161.96
2015-12-10,161.96
2015-12-10,169.99
2015-12-11,159.99
2015-12-11,169.99
2015-12-12,159.99
2015-12-17,169.99
2015-12-18,169.99
2015-12-18,174.99
2015-12-19,179.95
2015-12-20,179.95
2015-12-21,159.99
2015-12-21,179.95
2015-12-22,179.95
2015-12-23,179.95
2015-12-23,179.95
2015-12-30,184.95
2015-12-31,169.6
2016-01-01,165
