Time,Price
2014-06-09,21.20
2014-06-12,21.95
2014-06-18,21.20
2014-08-07,16.68
2014-08-07,16.68
2014-08-16,21.20
2014-08-20,19.80
2014-08-24,21.89
2014-08-24,21.95
2014-08-25,21.89
2014-08-30,19.80
2014-09-05,16.68
2014-09-06,19.80
2014-09-08,21.89
2014-09-09,21.95
2014-09-16,21.20
2014-09-29,21.95
2014-10-06,21.90
2014-10-08,21.20
2014-10-23,21.95
2014-10-26,21.25
2014-10-27,19.80
2014-10-30,20.17
2014-10-30,20.30
2014-10-30,20.31
2014-10-31,21.95
2014-11-15,21.20
2014-12-04,19.99
2014-12-06,21.02
2014-12-21,20.71
2014-12-23,20.98
2015-01-03,21.20
2015-03-13,19.80
2015-03-17,18.99
2015-03-25,19.80
2015-03-27,20.17
2015-03-27,21.95
2015-04-01,21.20
2015-05-18,20.17
2015-05-19,19.80
2015-05-22,20.17
2015-05-26,21.20
2015-06-06,21.95
2015-06-07,17.96
2015-06-25,17.06
2015-07-23,19.80
2015-07-27,17.49
2015-07-29,16.99
2015-07-30,19.80
2015-08-05,16.99
2015-08-06,19.80
2015-08-10,16.95
2015-08-14,19.80
2015-08-24,21.23
2015-08-25,20.88
2015-08-26,21.23
2015-09-06,19.80
2015-09-08,21.69
2015-09-11,21.95
2015-09-17,17.36
2015-09-22,16.49
2015-09-25,16.21
2015-09-28,15.94
2015-10-28,14.27
2015-10-30,15.94
2015-12-15,19.80
2015-12-19,16.99
2015-12-19,14.99
2015-12-21,19.80
2015-12-30,14.99
2015-12-31,28.88
2016-01-05,15.94
2016-01-11,21.95
2016-01-13,21.23
2016-01-27,20.91
2016-01-30,21.23
2016-02-01,15.94
2016-05-04,20.94
2016-05-25,15.94
2016-08-12,15.94
2016-08-22,20.94
2016-09-13,15.94
2016-10-13,21.50
2016-10-15,15.94
2016-10-29,15.94
2016-11-16,23.11
2016-11-17,15.94
2016-11-24,11.16
2016-11-27,11.16
