Time,Price
2012-06-01,79.97
2012-06-07,79.97
2012-06-13,79.97
2012-06-14,79.97
2012-06-14,79.97
2012-06-16,79.97
2012-06-18,79.97
2012-06-19,79.97
2012-06-19,79.97
2012-06-20,79.97
2012-06-21,79.97
2012-06-22,79.97
2012-06-25,79.97
2012-06-27,79.97
2012-06-29,79.97
2012-07-03,79.97
2012-07-03,79.97
2012-07-05,79.97
2012-07-06,79.97
2012-07-07,79.97
2012-07-09,79.97
2012-07-10,79.97
2012-07-14,79.97
2012-07-15,79.97
2012-07-17,79.97
2012-07-21,79.97
2012-07-26,79.97
2012-07-30,79.97
2012-08-02,79.97
2012-08-03,79.97
2012-08-06,74.89
2012-08-07,74.89
2012-08-08,74.89
2012-08-10,74.89
2012-08-11,79.97
2012-08-12,79.97
2012-08-13,79.97
2012-08-14,79.97
2012-08-15,79.97
2012-08-16,79.97
2012-08-16,79.97
2012-08-18,79.97
2012-08-20,79.97
2012-08-20,79.97
2012-08-22,79.97
2012-08-24,79.97
2012-08-24,79.97
2012-08-25,79.97
2012-08-26,79.97
2012-08-26,79.97
2012-08-27,79.97
2012-08-28,79.97
2012-08-29,79.97
2012-08-30,79.97
2012-08-31,79.97
2012-09-10,79.97
2012-09-11,79.97
2012-09-12,79.97
2012-09-14,79.97
2012-09-15,79.97
2012-09-18,79.97
2012-09-21,79.97
2012-09-22,79.97
2012-09-23,79.97
2012-09-23,79.97
2012-09-25,79.97
2012-09-26,79.97
2012-10-24,79.97
2012-10-25,79.97
2012-10-26,74.97
2012-10-29,74.97
2012-11-27,59.44
2012-11-27,74.79
2012-11-28,74.79
2012-11-29,74.79
2012-11-30,74.79
2012-12-06,74.79
2012-12-08,74.79
2012-12-09,74.79
2012-12-11,74.79
2012-12-13,74.79
2012-12-16,74.79
2012-12-17,74.79
2013-02-02,79.97
2013-03-19,79.97
2013-03-22,79.97
2013-04-08,79.97
2013-04-09,79.97
2013-04-09,79.97
2013-04-10,79.97
2013-04-13,79.97
2013-04-14,79.97
2013-04-18,79.97
2013-04-24,79.97
2013-04-25,79.97
2013-05-03,79.97
2013-05-04,79.97
2013-06-04,79.97
2013-06-07,79.97
2013-06-09,79.97
2013-06-13,79.97
2013-07-01,79.97
2013-07-03,79.97
2013-07-06,79.97
2013-07-08,78
2013-07-08,77.19
2013-07-09,79.97
2013-07-09,79.97
2013-07-09,79.97
2013-07-14,79.97
2013-07-15,79.97
2013-07-27,69.73
2013-07-29,79.97
2013-08-04,79.97
2013-08-21,79.97
2013-08-27,79.97
2013-09-13,79.97
2013-09-19,79.97
2013-09-22,79.97
2013-09-25,79.97
2013-09-28,79.97
2013-10-02,79.97
2013-10-05,79.97
2013-10-12,79.97
2013-10-17,79.97
2013-10-19,84.99
2013-10-23,84.99
2013-10-26,84.99
2013-10-28,84.99
2013-10-29,84.99
2013-11-01,84.99
2013-11-04,84.99
2013-11-06,84.99
2013-11-07,84.99
2013-11-10,84.99
2013-11-21,85.99
2013-11-23,85.99
2013-11-24,85.99
2013-11-27,82.99
2013-11-30,82.99
2013-12-02,82.99
2013-12-03,82.99
2013-12-06,82.99
2013-12-14,89.79
