Time,Price
2014-09-09,11.24
2014-09-18,11.2
2014-10-26,11.4
2014-11-30,11.2
2015-02-16,12.61
2015-03-21,12.61
2015-04-07,12.61
2015-06-03,15.98
2015-06-25,15.98
2015-08-19,15.98
2015-11-05,13.42
2015-11-28,13.42
2016-01-04,13.02
2016-02-02,15.98
2016-03-18,15.74
2016-03-27,15.98
2016-04-28,15.98
2016-05-12,15.98
2016-09-21,15.98
2016-11-25,14.79
2016-11-26,14.79
2014-06-09,11.45
2014-08-12,11.25
2014-09-06,11.24
2014-10-14,11.19
2014-11-15,11.40
2014-12-08,11.20
2014-12-13,11.00
2014-12-19,12.61
2015-05-30,8.35
2015-10-28,13.42
2016-02-24,15.98
2016-11-04,15.96
2016-11-15,14.79
2016-11-27,14.79
