Time,Price
2014-11-07,41.23
2014-11-11,41.23
2014-11-18,41.23
2014-11-20,40.52
2014-11-23,40.4
2014-11-27,40.4
2016-11-18,38.91
2014-06-09,49.95
2014-06-28,36.98
2014-06-29,37.28
2014-07-19,33.96
2014-07-22,32.71
2014-11-23,40.40
2014-12-07,40.40
2014-12-30,41.25
2015-01-18,46.23
2015-01-20,47.36
2015-01-30,41.23
2015-02-05,40.40
2015-02-13,40.41
2015-06-10,39.25
2015-07-07,38.84
2015-07-08,38.84
2015-07-11,38.84
2015-08-12,36.70
2015-08-14,37.45
2015-08-17,38.84
2015-08-18,38.49
2015-09-30,38.48
2015-10-06,38.50
2015-11-11,42.65
2015-11-23,42.95
2015-11-30,49.95
2015-11-30,44.99
2015-12-03,44.99
2015-12-05,42.95
2015-12-05,48.75
2015-12-06,56.99
2015-12-09,49.99
2015-12-26,49.99
2015-12-29,39.95
2016-01-05,49.18
2016-01-06,37.66
2016-02-05,41.90
2016-02-07,40.91
2016-02-29,48.99
2016-03-22,49.99
2016-07-09,43.50
2016-07-12,47.00
2016-07-20,39.95
2016-07-25,45.49
2016-07-26,49.99
2016-08-04,41.34
2016-08-25,42.65
2016-09-04,40.49
2016-09-11,39.50
2016-09-15,39.89
2016-10-24,38.95
2016-11-02,38.93
2016-11-21,39.49
2016-11-26,39.33
2016-11-27,39.33
