Time,Price
2014-01-19,27.02
2014-01-22,27.29
2014-01-31,27.01
2014-02-04,27.69
2014-02-07,27.42
2014-02-10,27.72
2014-02-13,22.8
2014-02-17,27.37
2014-02-20,26.84
2014-02-23,26.68
2014-02-27,26.4
2014-03-02,26.33
2014-03-05,26.89
2014-03-09,26.51
2014-03-14,26.4
2014-03-17,27.14
2014-03-21,25.69
2014-04-06,26.67
2014-04-11,26.78
2014-04-15,26.8
2014-04-25,26.57
2014-04-28,26.54
2014-05-05,26.38
2014-05-09,26.69
2014-05-13,26.57
2014-05-17,26.48
2014-05-21,26.02
2014-05-26,26.28
2014-06-21,26.13
2016-11-05,24.95
2016-11-06,24.95
2016-11-10,24.95
2016-11-11,24.95
2016-11-13,24.95
2016-11-15,24.95
2016-11-26,24.95
