Time,Price
2012-06-04,18.3
2012-06-22,18.23
2012-06-23,18.17
2012-06-24,18.17
2012-06-24,18.21
2012-06-25,18.16
2012-06-26,18.16
2012-06-27,18.09
2012-06-28,18.07
2012-06-28,18.07
2012-07-02,18.09
2012-07-02,18.09
2012-07-03,18.11
2012-07-06,18.13
2012-07-06,18.14
2012-07-07,18.13
2012-07-08,18.21
2012-07-10,18.16
2012-07-11,18.16
2012-07-12,18.14
2012-07-14,18.18
2012-07-15,18.21
2012-07-16,18.26
2012-07-18,18.24
2012-07-19,18.27
2012-07-21,18.19
2012-07-22,18.22
2012-07-23,18.23
2012-07-25,18.27
2012-07-26,18.31
2012-07-27,18.28
2012-07-28,18.33
2012-08-01,18.39
2012-08-04,18.46
2012-08-05,18.3
2012-08-08,18.36
2012-08-10,18.29
2012-08-12,18.23
2012-08-13,18.21
2012-08-15,18.04
2012-08-16,18.04
2012-08-17,18
2012-08-18,17.91
2012-08-20,17.89
2012-08-22,17.9
2012-08-23,17.89
2012-08-24,17.91
2012-08-26,15.98
2012-08-31,17.71
2012-09-02,17.79
2012-09-05,17.75
2012-09-11,17.78
2012-09-11,17.73
2012-09-13,17.73
2012-09-14,17.76
2012-09-18,17.85
2012-09-19,17.86
2012-09-20,17.93
2012-09-21,17.93
2012-09-22,17.94
2012-09-23,18
2012-09-23,18
2012-09-24,18.04
2012-09-25,18.04
2012-09-25,18
2012-09-26,18
2012-09-27,18
2012-09-28,18
2012-09-30,17.99
2012-10-02,18.03
2012-10-03,18.01
2012-10-04,18.01
2012-10-06,18
2012-10-07,18.01
2012-10-08,18.01
2012-10-09,18
2012-10-10,18
2012-10-11,18
2012-10-14,17.99
2012-10-16,17.99
2012-10-19,17.96
2012-10-21,17.91
2012-10-25,17.86
2012-10-27,17.84
2012-10-28,17.8
2012-10-30,17.8
2012-10-30,17.78
2012-11-01,17.81
2012-11-03,17.81
2012-11-03,17.84
2012-11-04,17.84
2012-11-06,17.78
2012-11-07,17.76
2012-11-09,17.76
2012-11-09,17.84
2012-11-10,17.84
2012-11-14,17.85
2012-11-14,17.89
2012-11-15,17.89
2012-11-17,17.86
2012-11-17,17.86
2012-11-19,17.85
2012-11-19,17.85
2012-11-20,17.84
2012-11-21,17.8
2012-11-23,17.8
2012-11-24,17.8
2012-11-25,17.89
2012-11-25,17.95
2012-11-28,15.98
2012-11-30,17.98
2012-12-04,18.18
2012-12-06,18.3
2012-12-07,18.25
2012-12-08,18.25
2012-12-08,18.21
2012-12-09,18.09
2012-12-09,18.14
2012-12-10,18.15
2012-12-14,18.08
2012-12-14,18.08
2012-12-15,18.11
2012-12-18,18.1
2012-12-19,18.08
2012-12-22,18.05
2012-12-23,18.06
2013-01-06,18.03
2013-01-11,18.01
2013-01-16,18.08
2013-01-17,18.04
2013-01-23,18.41
2013-01-25,19.86
2013-01-27,19.61
2013-01-28,19.4
2013-01-29,19.63
2013-01-31,18.51
2013-02-01,18.51
2013-02-02,18.18
2013-02-08,18.98
2013-02-10,18.89
2013-02-11,18.98
2013-02-13,18.95
2013-02-16,18.64
2013-02-17,18.98
2013-02-28,18.98
2013-03-01,18.98
2013-03-06,18.88
2013-03-08,18.59
2013-03-09,18.78
2013-03-09,18.78
2013-03-10,18.76
2013-03-11,18.89
2013-03-12,18.73
2013-03-13,18.83
2013-03-14,18.91
2013-03-18,18.26
2013-03-19,18.73
2013-03-21,18.38
2013-03-21,18.28
2013-03-23,18.1
2013-03-25,18.19
2013-03-26,17.98
2013-03-26,17.97
2013-03-27,17.97
2013-03-30,17.97
2013-03-31,17.97
2013-06-15,17.79
2013-06-19,17.82
2013-06-22,17.64
2013-06-25,18.28
2013-06-28,18.44
2013-07-01,16.34
2013-07-04,17.26
2013-07-06,18.32
2013-07-07,18.42
2013-07-10,18.38
2013-07-13,18.48
2013-07-16,17.94
2013-07-19,16.65
2013-07-23,17.59
2013-07-26,20.26
2013-07-29,20.85
2013-08-01,20.77
2013-08-04,21.54
2013-08-07,18.98
2013-08-22,20.23
2013-09-02,18.98
2013-09-21,18.98
2013-09-24,18.98
2013-09-27,21.54
2013-09-28,21.54
2013-09-30,21.54
2013-10-03,21.54
2013-10-06,20.99
2013-10-10,21.41
2013-10-13,19.96
2013-10-18,20.53
2013-10-21,21.1
2013-10-24,22.05
2013-10-27,21.59
2013-10-30,21.4
2013-11-05,20.38
2013-11-08,19.35
2013-11-10,19.69
2013-11-12,20.28
2013-11-22,20.51
2013-11-25,21.22
2013-11-28,20.99
2013-12-01,20.55
2013-12-02,20.39
2013-12-05,21.47
2013-12-06,21.75
2013-12-11,21.6
2013-12-14,21.9
2013-12-17,21.24
2013-12-22,20.83
2013-12-23,23
2013-12-26,20.39
2013-12-29,20.34
2014-01-01,21.75
2014-01-05,21.19
2014-01-08,22.58
2014-01-12,21.99
2014-01-17,21.16
2014-01-20,21.26
2014-01-22,20.63
2014-01-29,21.07
2014-01-30,20.95
2014-02-02,21.57
2014-02-02,21.57
2014-02-05,21.13
2014-02-05,21.13
2014-02-08,22.09
2014-02-12,21.97
2014-02-15,21.45
2014-02-18,22.55
2014-02-21,22.72
2014-02-25,21.7
2014-02-28,21.94
2014-03-03,22.09
2014-03-07,21.4
2014-03-12,18.32
2014-03-23,19.17
2014-04-09,17.17
2014-04-13,18.63
2014-04-26,16.99
2014-05-03,16.99
2014-05-11,18.63
2014-05-15,17.17
2014-05-24,17.17
2014-06-03,16.77
2014-06-05,17.17
2014-06-10,17.17
