Time,Price
2012-12-06,5.95
2014-07-24,6.63
2014-07-28,5.94
2014-08-27,6.13
2014-09-03,6.13
2015-06-03,6.16
2015-06-04,5.39
2015-06-07,6.57
2015-06-10,5.39
2015-06-10,6.16
2015-06-11,6.16
2015-06-13,5.39
2015-06-16,6.16
2015-06-18,5.39
2015-06-24,5.86
2015-06-24,5.39
2015-06-27,6.62
2015-06-27,6.62
2015-07-04,6.16
2015-07-06,5.39
2015-07-07,5.39
2015-07-09,5.39
2015-07-13,6.16
2015-07-14,6.16
2015-07-17,6.16
2015-07-18,5.39
2015-07-25,6.16
2015-07-28,5.39
2015-08-04,6.39
2015-08-08,5.39
2015-08-11,6.39
2015-08-17,5.86
2015-08-18,5.39
2015-08-21,6.25
2015-08-22,6.36
2015-08-25,5.86
2015-08-26,5.86
2015-08-29,6.46
2015-08-30,5.86
2015-09-03,6.25
2015-09-04,6.25
2015-09-18,5.59
2015-09-21,6.25
2015-09-23,6.19
2015-09-25,5.99
2015-09-28,5.39
2015-09-30,5.99
2015-10-02,5.39
2015-10-02,6.25
2015-11-03,5.39
2015-11-06,5.39
2015-11-10,5.6
2015-11-14,6.37
2015-11-17,5.39
2015-11-24,5.35
2015-11-27,5.39
2015-11-28,5.85
2015-12-04,6.84
2015-12-05,7.15
2015-12-06,7.15
2015-12-08,6.15
2015-12-09,7.22
2015-12-10,6.22
2015-12-11,6.22
2015-12-12,6.22
2015-12-14,7.22
2015-12-15,6.22
2015-12-15,6.25
2015-12-17,6.22
2015-12-21,6.22
2015-12-30,6
2016-01-02,7.33
2016-01-07,6
2016-01-14,5.96
2016-01-30,6.75
2016-02-05,5.83
2016-02-07,7.33
2016-02-14,8.01
2016-02-18,6
2016-02-22,7.25
2016-02-29,8.27
2016-03-16,5.74
2016-03-19,6.38
2016-03-22,5
2016-03-23,5.74
2016-03-26,8.99
2016-04-01,9.23
2016-04-02,8.99
2016-04-04,8.82
2016-04-05,8.65
2016-04-08,6.56
2016-04-08,6.6
2016-04-11,6.6
2016-04-16,7.45
2016-04-26,8.99
2016-04-30,6.6
2016-05-10,8.73
2016-10-27,5.82
2016-11-02,6.77
2016-11-04,10.42
2016-11-05,10.4
2016-11-06,10.4
2016-11-06,10.54
2016-11-07,11.81
2016-11-09,11.81
2016-11-10,11.14
2016-11-10,11.14
2016-11-10,11.14
2016-11-10,11.14
2016-11-11,11.14
2016-11-11,11.14
2016-11-12,10.83
2016-11-12,10.83
2016-11-13,10.21
2016-11-14,10.21
2016-11-14,8.76
2016-11-15,10.62
2016-11-16,10.82
2016-11-17,10.24
2016-11-17,10.24
2016-11-18,10.21
2016-11-18,10.21
2016-11-18,10.21
2016-11-19,10.21
2016-11-19,10.21
2016-11-20,10.83
2016-11-20,10.83
2016-11-21,10.83
2016-11-21,10.83
2016-11-21,10.83
2016-11-21,10.83
2016-11-22,10.83
2016-11-23,10.83
2016-11-24,10.83
2016-11-24,10.83
2016-11-24,10.83
2016-11-25,10.83
