Time,Price
2012-06-03,9.18
2012-06-04,9.19
2012-06-05,9.18
2012-06-09,9.22
2012-06-10,7.11
2012-06-11,9.24
2012-06-12,9.3
2012-06-13,9.31
2012-06-14,9.29
2012-06-15,9.28
2012-06-16,9.27
2012-06-17,9.26
2012-06-19,9.25
2012-06-20,9.24
2012-06-21,9.25
2012-06-23,9.3
2012-06-26,9.29
2012-07-01,9.3
2012-07-02,9.29
2012-07-03,9.28
2012-07-04,9.26
2012-07-05,9.24
2012-07-06,9.23
2012-07-07,9.22
2012-07-10,9.2
2012-07-11,9.39
2012-07-12,9.37
2012-07-14,9.27
2012-07-25,9.28
2012-07-26,9.27
2012-08-02,9.27
2012-08-03,9.27
2012-08-11,9.3
2012-08-12,9.34
2012-08-13,9.28
2012-08-15,9.28
2012-08-15,9.27
2012-08-16,9.27
2012-08-16,9.28
2012-08-16,9.28
2012-08-25,9.28
2012-08-26,7.1
2012-08-27,9.28
2012-08-28,9.2
2012-08-28,9.2
2012-08-30,9.19
2012-08-31,9.18
2012-09-04,9.17
2012-09-05,9.18
2012-09-11,9.13
2012-09-12,9.15
2012-09-14,9.16
2012-09-15,9.14
2012-09-18,9.14
2012-09-19,9.26
2012-09-20,9.26
2012-09-20,8.98
2012-09-20,8.98
2012-09-21,9.71
2012-09-21,9.71
2012-09-22,9.74
2012-09-23,10.03
2012-09-26,9.83
2012-09-28,9.88
2012-09-29,10.12
2012-09-30,10.83
2012-10-02,11.13
2012-10-03,11.09
2012-10-04,11.09
2012-10-07,11.59
2012-10-08,11.02
2012-10-09,10.78
2012-10-10,10.97
2012-10-15,10.85
2012-10-20,11.06
2012-10-25,11.52
2012-10-27,11.34
2012-10-28,11.74
2012-10-29,11.82
2012-11-01,11.57
2012-11-02,11.03
2012-11-03,10.69
2012-11-06,9.71
2012-11-07,9.56
2012-11-09,10.05
2012-11-09,9.66
2012-11-10,9.37
2012-11-11,8.7
2012-11-12,8.32
2012-11-14,8.86
2012-11-16,9.76
2012-11-17,9.99
2012-11-18,9.45
2012-11-19,9.31
2012-11-20,9.16
2012-11-21,9.15
2012-11-23,9.07
2012-11-24,9.14
2012-11-27,8.95
2012-11-30,9.4
2012-12-01,9
2012-12-02,9.24
2012-12-03,8.94
2012-12-04,8.75
2012-12-06,8.8
2012-12-07,8.9
2012-12-09,9.03
2012-12-10,8.92
2012-12-12,8.9
2012-12-15,8.67
2012-12-16,8.67
2012-12-17,8.86
2012-12-18,8.86
2012-12-21,8.86
2012-12-21,9.52
2012-12-22,10.11
2012-12-23,9.5
2012-12-24,8.91
2012-12-25,8.42
2012-12-26,8.41
2012-12-28,9.58
2012-12-29,10.51
2012-12-31,9.79
2013-01-02,9.75
2013-01-02,10.15
2013-01-03,10.22
2013-01-05,10.01
2013-01-06,9.9
2013-01-07,10.55
2013-01-10,10.34
2013-01-11,10.68
2013-01-11,9.92
2013-01-12,8.65
2013-01-12,8.65
2013-01-17,8.65
2013-01-18,8.92
2013-01-19,9.39
2013-01-20,9.02
2013-01-21,8.52
2013-01-22,8.75
2013-01-24,8.93
2013-01-25,9.82
2013-01-26,9.15
2013-01-27,8.72
2013-01-28,9.71
2013-01-29,9.41
2013-01-30,9.54
2013-02-01,9.21
2013-02-02,9.21
2013-02-02,9.21
2013-02-07,9.26
2013-02-08,9.26
2013-02-09,9.08
2013-02-10,9.05
2013-02-11,8
2013-02-12,8.37
2013-02-13,9.6
2013-02-15,8.68
2013-02-16,9.4
2013-02-17,9.21
2013-02-21,8.7
2013-02-22,9.66
2013-02-23,10.2
2013-02-24,10.41
2013-02-25,9.4
2013-02-27,8.85
2013-02-28,8.94
2013-03-01,8.92
2013-03-02,9.24
2013-03-03,8.64
2013-03-04,8.84
2013-03-05,8.94
2013-03-06,9.22
2013-03-08,8.37
2013-03-09,8.52
2013-03-10,8.53
2013-03-11,8.78
2013-03-12,8.76
2013-03-13,9.45
2013-03-14,9.35
2013-03-14,9.35
2013-03-17,9.35
2013-03-18,9.77
2013-03-19,9.77
2013-03-20,8.22
2013-03-22,8.1
2013-03-23,9.02
2013-03-25,9.02
2013-03-25,8.72
2013-03-26,8.61
2013-03-27,8.52
2013-03-29,9.4
2013-03-30,8.19
2013-03-31,8.84
2013-04-01,8.65
2013-04-03,9.24
2013-04-04,8.74
2013-04-06,8.31
2013-04-07,8.95
2013-04-09,8.95
2013-04-10,8.91
2013-04-11,9.72
2013-04-14,8.91
2013-04-15,9.16
2013-04-16,9.17
2013-04-18,9.18
2013-04-21,9.07
2013-04-22,8.97
2013-04-23,8.65
2013-04-23,8.65
2013-04-24,8.43
2013-04-25,9.15
2013-04-25,9.15
2013-04-26,9.61
