Time,Price
2012-07-30,179.25
2012-08-16,179.25
2012-08-16,179.25
2012-08-17,179.25
2012-08-21,179.25
2012-08-23,179.25
2012-08-31,179.25
2012-09-02,179.25
2012-09-12,179.99
2012-09-19,179.99
2012-09-20,179.99
2012-09-25,179.99
2012-09-28,179.99
2012-10-05,179.99
2012-10-06,179.99
2012-10-07,179.99
2012-10-11,174.99
2012-10-26,174.99
2012-10-27,174.99
2012-10-28,174.99
2012-10-29,174.99
2012-11-03,178.15
2012-11-06,174.99
2012-11-09,170.99
2012-11-10,170.99
2012-11-13,167.72
2012-11-15,167.72
2012-11-15,167.72
2012-11-17,160.45
2012-11-17,153.18
2012-11-21,145.91
2012-11-25,145.91
2012-11-28,167.99
2012-11-29,167.99
2012-12-01,167.99
2012-12-02,167.99
2012-12-02,167.99
2012-12-24,167.99
2012-12-24,167.99
2012-12-25,167.99
2012-12-26,167.99
2012-12-26,167.99
2012-12-28,167.99
2012-12-28,167.99
2012-12-29,178.15
2012-12-30,178.15
2012-12-31,178.15
2013-01-02,179.99
2013-01-03,179.99
2013-01-05,179.99
2013-01-15,174.99
2013-01-16,174.99
2013-01-24,174.99
2013-01-28,179.99
2013-02-08,179.99
2013-02-14,179.99
2013-02-17,179.99
2013-02-21,179.99
2013-03-01,174.99
2013-03-02,169.99
2013-03-08,164.99
2013-03-09,174.99
2013-03-10,161.63
2013-03-11,174.99
2013-03-13,171.73
2013-03-13,174.99
2013-03-13,171.73
2013-03-14,174.99
2013-03-18,174.99
2013-03-19,174.99
2013-03-25,179.99
2013-03-29,179.99
2013-03-30,179.99
2013-04-04,179.99
2013-04-11,179.99
2013-04-17,179.99
2013-04-19,179.99
2013-05-02,179.99
2013-05-03,179.99
2013-05-07,179.99
2013-05-09,179.99
2013-05-10,179.99
2013-05-14,179.99
2013-05-27,179.99
2013-06-08,179.99
2013-06-18,179.99
2013-06-22,179.99
2013-06-28,179.99
2013-06-29,179.99
2013-07-05,179.99
2013-07-08,179.99
2013-07-08,179.99
2013-07-09,185
2013-07-10,179.87
2013-07-10,174.74
2013-07-11,169.14
2013-07-12,179.88
2013-07-13,179.88
2013-07-15,179.86
2013-07-18,168.72
2013-07-20,163.72
2013-07-23,157.59
2013-07-23,185
2013-07-24,185
2013-07-24,187.99
2013-07-29,187.99
2013-08-01,187.99
2013-08-30,187.99
2013-09-07,187.99
2013-09-16,187.99
2013-09-20,187.99
2013-09-20,187.99
2013-09-21,187.99
2013-09-22,187.99
2013-09-24,187.99
2013-09-29,187.99
2013-10-02,187.99
2013-10-02,187.99
2013-10-03,187.99
2013-10-04,187.99
2013-10-17,187.99
2013-10-24,187.99
2013-10-27,187.99
2013-10-30,187.99
2013-10-30,187.99
2013-10-31,187.99
2013-11-01,187.99
2013-11-02,187.99
2013-11-05,187.99
2013-11-06,187.99
2013-11-06,187.99
2013-11-13,187.99
2013-11-19,187.99
2013-12-09,189
2013-12-25,189
2014-01-01,199
2014-01-18,199
2014-01-31,199
2014-02-14,199
2014-02-21,199
2014-03-08,199
2014-03-17,199
2014-04-16,199
2014-04-26,192.65
2014-05-03,190.57
2014-05-03,190.57
2014-05-15,179
2014-05-17,179
2014-05-18,179
2014-05-23,179
2014-06-08,179
2014-06-23,179
2014-06-30,179
2014-07-04,179
2014-07-11,179
2014-07-18,179
2014-07-23,179
2014-08-02,179
2014-08-02,179
2014-08-28,179
2014-09-05,179
2014-09-12,179
2014-10-03,189.55
2014-10-04,188.68
2014-10-05,199
2014-10-06,199
2014-10-11,180.23
2014-11-05,199
2014-12-04,199
2015-01-17,199
2015-02-05,179
2015-02-20,179
2015-04-10,179
2015-05-18,194.68
2015-05-27,159
2015-05-29,159
2015-06-01,159
2015-06-25,180.86
2015-06-26,193.65
2015-07-28,193.62
2015-08-06,178.71
2015-08-23,165.74
2015-08-26,179
2015-09-18,179
2015-09-27,179
2015-10-05,179
2015-11-08,199
2015-11-17,199
2015-11-26,199
2015-12-01,199
2015-12-15,199
2015-12-25,199
2016-02-06,175
2016-03-02,179
2016-03-21,178.99
2016-03-25,179
2016-03-28,179
2016-05-01,179
2016-05-15,189.72
2016-06-01,189.2
2016-06-06,167.7
2016-06-15,167.7
2016-06-17,167.7
2016-06-17,180.96
2016-06-18,193.44
2016-06-19,193.54
2016-06-19,199
2016-06-28,167.7
2016-06-30,167.7
2016-07-03,167.7
2016-07-04,167.7
2016-07-08,167.7
2016-07-09,178.42
2016-07-11,167.7
2016-07-12,167.7
2016-08-18,179
2016-08-19,179
2016-09-20,179
2016-10-26,178
2016-10-27,178
2016-10-28,178
2016-10-28,178
2016-10-29,178
2016-10-30,178
2016-11-01,176
2016-11-01,176
2016-11-01,176
2016-11-02,176
2016-11-03,193.5
2016-11-03,193.5
2016-11-04,178.99
2016-11-06,169.99
2016-11-06,158.99
2016-11-07,154.99
2016-11-08,154.99
2016-11-09,149.99
2016-11-09,149.99
2016-11-11,149.46
2016-11-11,178.99
2016-11-12,178.99
2016-11-12,178.99
2016-11-12,178.99
2016-11-13,179
2016-11-14,179
2016-11-14,179
2016-11-15,179
2016-11-15,179
2016-11-16,179
2016-11-17,179
2016-11-18,179
2016-11-19,169
2016-11-19,169
2016-11-20,169
2016-11-21,169
2016-11-21,193.5
2016-11-22,193.5
2016-11-22,193.5
2016-11-23,193.5
2016-11-24,175.24
2016-11-24,193.5
2016-11-25,154.99
2016-11-26,154.99
2016-11-26,154.99
2014-06-09,179.00
2014-08-09,179.00
2014-09-03,179.00
2014-09-27,179.00
2014-10-10,180.22
2014-10-24,199.00
2014-11-07,194.99
2014-11-16,180.23
2014-11-25,180.23
2014-11-28,179.00
2014-12-08,189.55
2015-01-13,190.86
2015-03-08,179.00
2015-05-06,181.77
2015-05-22,159.00
2015-06-06,159.00
2015-06-28,193.65
2015-07-07,193.65
2015-07-07,199.00
2015-08-05,199.00
2015-10-01,179.00
2015-10-11,198.00
2015-11-06,199.00
2016-01-30,179.00
2016-03-04,179.00
2016-04-25,175.27
2016-06-03,167.70
2016-08-03,179.00
2016-10-07,178.00
2016-11-05,178.99
2016-11-23,193.50
2016-11-23,193.50
2016-11-24,175.24
2016-11-26,154.99
2016-11-27,154.99
