Time,Price
2012-06-01,8.77
2012-07-07,8.77
2012-07-08,8.77
2012-07-24,8.77
2012-08-01,8.77
2012-08-11,8.77
2012-08-14,8.77
2012-08-14,7.92
2012-08-14,7.92
2012-08-14,8.77
2012-08-27,8.77
2012-08-27,8.77
2012-09-03,8.77
2012-09-03,8.77
2012-09-12,8.77
2012-09-14,8.77
2012-09-19,8.77
2012-09-21,8.77
2012-09-22,8.77
2012-09-24,8.77
2012-09-28,8.77
2012-09-29,8.77
2012-10-02,8.77
2012-10-02,8.77
2012-10-08,8.99
2012-10-08,8.99
2012-10-10,8.77
2012-11-16,8.77
2012-11-17,8.77
2012-11-19,8.77
2012-12-01,8.76
2012-12-01,8.77
2012-12-03,8.75
2012-12-06,8.74
2012-12-07,8.73
2012-12-09,8.73
2012-12-10,8.72
2012-12-11,8.72
2012-12-13,8.71
2012-12-14,8.7
2012-12-15,8.69
2012-12-17,8.68
2012-12-18,8.67
2012-12-21,8.67
2012-12-22,8.66
2012-12-22,8.66
2012-12-23,8.66
2012-12-24,8.64
2012-12-25,8.65
2012-12-25,8.65
2012-12-26,8.64
2012-12-27,8.64
2012-12-29,8.62
2012-12-30,8.56
2012-12-31,8.61
2013-01-01,8.61
2013-01-03,8.61
2013-01-06,8.6
2013-01-06,8.6
2013-01-07,8.59
2013-01-12,8.61
2013-01-17,8.61
2013-01-18,8.62
2013-01-18,8.62
2013-01-19,8.68
2013-01-20,8.69
2013-01-21,8.7
2013-01-22,8.72
2013-01-23,8.73
2013-01-25,10.15
2013-01-26,10.24
2013-01-27,9.47
2013-01-28,9.08
2013-01-29,9.24
2013-01-30,9.92
2013-02-01,10.53
2013-02-07,10.09
2013-02-09,8.89
2013-02-11,9.03
2013-02-12,8.88
2013-02-13,9.23
2013-02-15,9.16
2013-02-16,8.94
2013-02-17,9.11
2013-02-21,8.67
2013-02-22,9.05
2013-02-23,10.01
2013-02-24,8.49
2013-02-25,8.92
2013-02-27,8.77
2013-03-01,9.5
2013-03-02,9
2013-03-04,8.57
2013-03-04,8.53
2013-03-05,8.74
2013-03-05,8.74
2013-03-09,9.19
2013-03-10,9.56
2013-03-11,8.95
2013-03-12,8.49
2013-03-13,9.69
2013-03-14,9.69
2013-03-14,9.08
2013-03-17,9.08
2013-03-18,8.8
2013-03-20,8.53
2013-03-20,8.53
2013-03-21,8.53
2013-03-22,10.01
2013-03-23,8.87
2013-03-25,8.76
2013-03-26,8.75
2013-03-27,9.52
2013-03-29,9.52
2013-03-29,9.16
2013-03-30,8.36
2013-03-31,8.23
2013-04-01,8.13
2013-04-01,8.13
2013-04-03,8.13
2013-04-03,9.24
2013-04-04,7.63
2013-04-05,8.93
2013-04-07,8.53
2013-04-09,8.53
2013-04-10,8.05
2013-04-11,9.14
2013-04-12,9.14
2013-04-14,8.54
2013-04-15,8.54
2013-04-15,8.37
2013-04-16,8.78
2013-04-17,8.78
2013-04-18,8.49
2013-04-18,8.49
2013-04-18,8.49
2013-04-21,8.51
2013-04-22,8.77
2013-05-02,8.47
2013-05-06,8.46
2013-05-09,8.47
2013-05-10,8.47
2013-05-10,8.47
2013-05-15,8.47
2013-05-18,8.19
2013-05-18,8.19
2013-05-21,8.47
2013-05-22,8.47
2013-05-23,8.19
2013-05-28,8.19
2013-05-28,8.47
2013-05-28,8.19
2013-06-05,8.19
2013-06-06,8.19
2013-06-08,8.19
2013-06-08,8.19
2013-06-20,8.47
2013-06-22,8.19
2013-06-22,8.47
2013-06-23,8.47
2013-06-26,8.19
2013-06-28,8.19
2013-06-30,8.47
2013-06-30,8.47
2013-07-01,8.47
2013-07-01,8.19
2013-07-02,8.19
2013-07-04,8.19
2013-07-09,8.19
2013-07-26,8.19
2013-07-26,8.19
2013-07-27,8.19
2013-08-04,8.19
2013-08-05,8.19
2013-08-07,8.19
2013-08-23,8.14
2013-08-25,8.14
2013-09-02,8.19
2013-09-17,8.19
2013-09-26,8.19
2013-12-29,9.99
2014-01-09,9.99
2014-01-28,9.99
2014-02-02,9.99
2014-02-07,9.99
2014-02-12,9.99
2014-02-17,9.99
2014-02-18,9.99
2014-02-28,9.36
2014-03-01,9.99
2014-03-07,9.99
2014-03-08,9.99
2014-03-08,9.99
2014-03-16,9.99
2014-03-19,9.99
