Time,Price
2012-06-02,12.41
2012-06-03,12.42
2012-06-04,12.43
2012-06-04,12.45
2012-06-05,12.43
2012-06-09,12.46
2012-06-10,12.46
2012-06-11,12.43
2012-06-13,12.43
2012-06-14,12.43
2012-06-15,12.41
2012-06-16,12.39
2012-06-16,12.39
2012-06-17,11.29
2012-06-19,11.29
2012-07-03,12.22
2012-07-04,10.99
2012-07-04,11.29
2012-07-05,9.69
2012-07-05,9.69
2012-07-06,10.41
2012-07-06,10.41
2012-07-07,10.42
2012-07-08,10.41
2012-07-10,10.41
2012-07-12,11.88
2012-07-12,11.9
2012-07-13,12.16
2012-07-13,10.42
2012-07-14,10.41
2012-07-14,11.83
2012-07-15,9.25
2012-07-16,10.42
2012-07-16,10.42
2012-07-16,10.99
2012-07-17,9.32
2012-07-17,11.29
2012-07-18,11.29
2012-07-18,10.69
2012-07-19,10.69
2012-07-20,9.31
2012-07-20,11.29
2012-07-21,10.42
2012-07-21,10.69
2012-07-22,10.42
2012-07-22,10.69
2012-07-23,12.13
2012-07-23,10.41
2012-07-23,10.42
2012-07-24,8.81
2012-07-25,8.81
2012-07-25,8.81
2012-07-27,10.41
2012-07-28,10.42
2012-07-28,9.16
2012-07-29,9.16
2012-07-30,9.16
2012-07-31,10.42
2012-08-01,10.41
2012-08-03,10.41
2012-08-04,11.29
2012-08-04,10.99
2012-08-05,10.42
2012-08-05,9.15
2012-08-06,9.15
2012-08-06,11.29
2012-08-06,10.99
2012-08-06,10.42
2012-08-07,10.99
2012-08-07,10.69
2012-08-08,10.42
2012-08-09,10.41
2012-08-10,11.29
2012-08-11,10.41
2012-08-12,10.42
2012-08-13,11.29
2012-08-13,11.29
2012-08-17,11.29
2012-08-23,11
2012-08-24,11.29
2012-08-29,10.99
2012-08-30,10.7
2012-08-30,10.71
2012-08-31,11.29
2012-09-01,11.29
2012-09-02,10.42
2012-09-02,11.29
2012-09-03,10.41
2012-09-05,11.29
2012-09-05,11.29
2012-09-11,11.29
2012-09-12,11.29
2012-09-21,10.61
2012-09-21,11.29
2012-09-22,11.03
2012-09-22,9.6
2012-09-22,10.61
2012-09-23,11.29
2012-09-23,11.29
2012-09-23,10.69
2012-09-24,10.99
2012-09-24,11.29
2012-09-25,10.99
2012-09-26,10.69
2012-09-26,11.29
2012-09-26,9.6
2012-09-28,10.61
2012-09-28,11.29
2012-09-28,10.69
2012-09-28,10.6
2012-09-29,11.29
2012-09-29,10.7
2012-09-29,10.69
2012-09-30,10.61
2012-10-02,11.29
2012-10-02,10.69
2012-10-02,10.6
2012-10-03,10.69
2012-10-03,11.29
2012-10-03,10.99
2012-10-04,10.69
2012-10-04,10.61
2012-10-05,10.43
2012-10-06,10.17
2012-10-07,11.29
2012-10-07,10.99
2012-10-08,10.6
2012-10-08,11.29
2012-10-08,10.69
2012-10-08,10.6
2012-10-09,11.29
2012-10-09,10.69
2012-10-10,11.36
2012-10-10,10.6
2012-10-11,10.99
2012-10-11,11.29
2012-10-12,10.61
2012-10-15,10.61
2012-10-17,11.29
2012-10-17,11.29
2012-10-18,11.29
2012-10-21,11.68
2012-10-23,11.29
2012-10-25,11.29
2012-10-25,11.29
2012-10-26,11.29
2012-10-26,10.6
2012-10-26,10.69
2012-10-27,10.6
2012-10-28,10.61
2012-10-28,10.6
2012-10-29,10.6
2012-10-30,10.61
2012-10-30,10.69
2012-10-31,10.61
2012-10-31,9.31
2012-11-01,10.6
2012-11-01,10.61
2012-11-02,8.74
2012-11-03,10.61
2012-11-04,9.31
2012-11-06,9.49
2012-11-07,8.45
2012-11-07,8.19
2012-11-09,10.6
2012-11-09,10.6
2012-11-10,10.6
2012-11-11,10.6
2012-11-12,10.61
2012-11-13,11.29
2012-11-13,10.99
2012-11-14,10.61
2012-11-15,10.6
2012-11-15,10.69
2012-11-16,8.74
2012-11-17,8.3
2012-11-18,10.61
2012-11-18,10.69
2012-11-19,10.6
2012-11-20,10.6
2012-11-21,10.61
2012-11-21,10.6
2012-11-24,10.61
2012-11-24,10.6
2012-11-25,10.61
2012-11-26,10.61
2012-11-27,10.61
2012-11-28,11.29
2012-11-29,10.6
2012-11-30,10.61
2012-11-30,10.99
2012-11-30,10.69
2012-12-01,10.61
2012-12-02,10.6
2012-12-02,10.99
2012-12-03,10.61
2012-12-04,10.6
2012-12-04,11.29
2012-12-05,11.29
2012-12-05,10.7
2012-12-06,10.6
2012-12-07,10.61
2012-12-07,10.69
2012-12-08,10.6
2012-12-09,10.61
2012-12-10,11.29
2012-12-10,10.61
2012-12-11,10.69
2012-12-11,10.6
2012-12-11,10.7
2012-12-12,11.29
2012-12-12,10.99
2012-12-12,10.7
2012-12-12,10.7
2012-12-15,10.6
2012-12-15,10.61
2012-12-16,10.61
2012-12-17,10.6
2012-12-18,10.6
2012-12-19,10.61
2012-12-19,11.33
2012-12-20,10.6
2012-12-21,10.61
2012-12-21,10.6
2012-12-22,10.61
2012-12-22,10.6
2012-12-23,10.6
2012-12-24,10.61
2012-12-24,10.69
2012-12-24,10.7
2012-12-25,10.6
2012-12-25,10.61
2012-12-26,10.61
2012-12-28,10.61
2012-12-28,11.29
2013-01-02,10.99
2013-01-02,10.69
2013-01-03,10.61
2013-01-04,10.61
2013-01-06,10.61
2013-01-06,10.61
2013-01-10,10.61
2013-01-10,10.61
2013-01-11,10.6
2013-01-12,10.7
2013-01-14,10.5
2013-01-17,10.4
2013-01-20,10.3
