Time,Price
2012-06-10,99
2012-08-03,99
2012-09-02,99
2012-09-19,99
2012-10-16,99
2012-11-20,99
2012-11-21,99
2012-11-24,99
2012-11-26,99
2013-01-20,99
2013-01-22,99
2013-01-29,99
2013-01-31,99
2013-02-01,99
2013-03-02,99
2013-03-08,99
2013-03-11,99
2013-03-13,99
2013-03-13,99
2013-03-20,99
2013-03-21,99
2013-03-30,99
2013-04-03,99
2013-04-04,99
2013-04-24,99
2013-04-28,99
2013-05-30,99
2013-06-07,99
2013-06-09,99
2013-06-30,99
2013-07-15,99
2013-07-18,99
2013-07-29,99
2013-08-02,99
2013-08-21,99
2013-09-03,99
2013-09-13,99
2013-09-16,99
2013-09-19,99
2013-09-28,99
2013-09-29,99
2013-10-05,99
2013-10-08,99
2013-10-16,99
2013-10-19,99
2013-11-01,99
2013-11-04,99
2013-11-10,99
2013-11-20,96.99
2013-11-22,99
2013-12-04,99
2013-12-05,99
2013-12-08,99
2013-12-11,99
2013-12-24,99
2013-12-25,99
2013-12-26,99
2013-12-28,99
2013-12-28,96.58
2013-12-30,98.54
2013-12-31,99
2014-01-03,99
2014-01-04,99
2014-01-14,99
2014-01-17,98
2014-01-18,98.02
2014-01-19,98
2014-01-22,98
2014-01-25,98
2014-01-27,97.18
2014-01-28,97.65
2014-01-29,97.08
2014-01-30,97.99
2014-01-31,97.99
2014-02-02,99
2014-02-05,99
2014-02-06,99
2014-02-10,99
2014-02-11,99
2014-02-13,99
2014-02-19,99
2014-02-26,99
2014-02-26,99
2014-03-06,98.99
2014-03-07,98.98
2014-03-08,98.97
2014-03-09,98.96
2014-03-10,98.95
2014-03-12,98.94
2014-03-14,99
2014-03-20,98.92
2014-03-21,98.91
2014-03-22,98.9
2014-03-23,98.9
2014-03-24,98.89
2014-03-25,98.88
2014-03-26,98.87
2014-03-27,99
2014-04-04,96.47
2014-04-05,99
2014-04-08,99
2014-04-08,99
2014-04-12,98.98
2014-04-19,99
2014-04-20,98.98
2014-04-23,98.98
2014-04-24,98.98
2014-04-25,98.98
2014-04-28,98.96
2014-04-28,98.98
2014-05-05,98.98
2014-05-06,99
2014-05-07,98.96
2014-05-11,98.98
2014-05-12,98.96
2014-05-13,98.98
2014-05-21,98.98
2014-06-04,98.94
2014-06-07,99
2014-06-20,98.98
2014-06-21,96.19
2014-06-27,94.39
2014-06-30,94.7
2014-07-08,98.98
2014-07-10,87.42
2014-07-15,98.96
2014-07-16,99
2014-07-19,98.98
2014-07-20,99
2014-07-28,99
2014-07-30,94.78
2014-08-01,97.74
2014-08-01,99
2014-08-01,99
2014-08-04,99
2014-08-06,98.98
2014-08-19,98.55
2014-08-19,98.98
2014-08-20,99
2014-08-26,99
2014-09-03,98.98
2014-09-03,98.98
2014-09-04,97.9
2014-09-11,99
2014-10-08,94.9
2014-10-13,94.89
2014-10-24,99
2014-11-03,99
2014-11-20,98.93
2014-11-23,99
2014-11-25,98.94
2014-11-26,84.99
2014-11-28,98.94
2014-11-30,97.93
2014-12-01,98.94
2014-12-03,84.99
2014-12-05,84.99
2014-12-07,84.99
2014-12-16,99
2014-12-17,99
2014-12-18,99
2014-12-23,99
2014-12-25,99
2014-12-25,99
2014-12-29,99
2014-12-29,99
2014-12-30,99
2014-12-31,99
2015-01-01,93.96
2015-01-02,93.96
2015-01-04,93.96
2015-01-13,98.94
2015-01-14,93.96
2015-01-15,98.94
2015-01-16,98.94
2015-01-17,98.94
2015-01-18,98.94
2015-01-18,98.94
2015-01-19,99
2015-01-22,98.94
2015-01-23,98.94
2015-01-24,99
2015-01-26,99
2015-01-28,99
2015-01-29,99
2015-02-04,98.94
2015-02-10,98.94
2015-02-11,98.94
2015-02-11,99
2015-02-12,98.94
2015-02-13,98.94
2015-02-16,99
2015-02-18,99
2015-02-19,99
2015-03-04,99
2015-03-09,97.92
2015-03-10,97.42
2015-03-10,96.91
2015-03-21,95.9
2015-03-23,99
2015-03-28,98.22
2015-03-28,98.94
2015-03-29,98.22
2015-03-30,98.94
2015-04-05,99
2015-04-08,99
2015-04-13,99
2015-04-14,99
2015-04-14,99
2015-04-17,99
2015-04-22,98.94
2015-04-24,99
2015-04-24,99
2015-04-26,99
2015-05-02,95.9
2015-05-05,99
2015-05-06,98.94
2015-05-07,99
2015-05-13,99
2015-05-22,99
2015-05-28,99
2015-05-28,99
2015-05-31,98.99
2015-06-03,96.88
2015-06-04,98.99
2015-06-07,98.6
2015-06-10,98.99
2015-06-17,98.6
2015-06-19,98.99
2015-06-20,89.1
2015-06-23,98.99
2015-06-24,98.99
2015-06-24,98.99
2015-06-27,98.99
2015-07-03,98.99
2015-07-05,97
2015-07-07,98.99
2015-07-13,98.47
2015-07-17,99
2015-07-21,98.99
2015-07-28,98.99
2015-08-01,99
2015-08-09,99
2015-08-11,99
2015-08-13,98.78
2015-08-17,99
2015-08-21,98.99
2015-08-25,98
2015-08-29,81.67
2015-09-03,99
2015-09-07,99
2015-09-08,99
2015-09-11,99
2015-09-13,99
2015-09-15,99
2015-09-21,99
2015-10-05,99
2015-11-03,99
2015-11-05,99
2015-11-11,99
2015-11-12,99
2015-11-13,99
2015-11-14,99
2015-11-14,99
2015-11-16,99
2015-11-18,99
2015-11-22,99
2015-11-22,99
2015-12-01,99
2015-12-02,99
2015-12-03,99
2015-12-04,99
2015-12-07,99
2015-12-07,99
2015-12-09,99
2015-12-10,99
2015-12-10,99
2015-12-11,99
2015-12-13,99
2015-12-13,99
