Time,Price
2012-06-08,29.99
2012-07-01,38.99
2012-07-10,34.95
2012-07-14,34.95
2012-07-27,34.95
2012-07-28,34.95
2012-08-08,34.95
2012-08-13,34.95
2012-09-11,34.95
2012-09-22,34.95
2012-09-25,34.95
2012-10-02,34.95
2012-10-10,34.95
2012-11-06,31.46
2012-11-07,31.46
2012-11-07,31.46
2012-11-11,31.46
2012-11-13,34.95
2012-11-14,34.95
2012-11-20,27.56
2012-11-21,31.46
2012-11-30,29.99
2012-12-05,29.99
2012-12-11,29.99
2012-12-12,29.99
2012-12-16,29.99
2012-12-18,22.49
2012-12-19,29.99
2012-12-29,31.46
2013-01-14,31.46
2013-01-15,27.9
2013-01-17,25.39
2013-01-18,25.39
2013-01-19,31.46
2013-02-14,31.46
2013-02-21,31.46
2013-03-09,23.96
2013-03-13,27.48
2013-03-13,25.6
2013-03-14,25.6
2013-03-17,25.95
2013-03-19,25.95
2013-03-22,25.95
2013-03-24,25.95
2013-03-27,25.95
2013-03-29,25.95
2013-04-01,25.73
2013-04-02,25.95
2013-04-03,20.85
2013-04-04,25.95
2013-04-14,25.13
2013-04-16,25.53
2013-04-17,25.95
2013-04-18,25.95
2013-04-22,25.58
2013-04-24,25.95
2013-05-02,25.93
2013-05-03,25.95
2013-05-10,25.95
2013-05-11,25.95
2013-05-13,25.84
2013-05-14,25.84
2013-05-15,27.05
2013-05-16,25.95
2013-05-23,27.43
2013-05-24,26.06
2013-05-25,25.95
2013-05-25,25.95
2013-05-26,26.94
2013-05-27,27.5
2013-05-28,27.21
2013-05-29,34.95
2013-05-29,34.95
2013-05-30,39.99
2013-05-30,39.99
2013-05-31,39.99
2013-06-09,27.67
2013-06-13,25.7
2013-06-17,26.9
2013-06-20,26.8
2013-06-23,26.67
2013-06-26,25.95
2013-06-30,25.01
2013-07-03,39.99
2013-07-24,26.64
2013-07-27,30.01
2013-07-29,28.06
2013-07-30,28.57
2013-08-02,25.95
2013-08-05,25.95
2013-08-08,30.01
2013-08-11,25.95
2013-08-21,25.95
2013-08-28,27.57
2013-08-31,29.99
2013-09-06,30.1
2013-09-13,31.26
2013-09-16,30.17
2013-09-25,30.57
2013-09-29,29.99
2013-10-05,29.19
2013-10-08,29.01
2013-10-11,28.97
2013-10-16,29.4
2013-10-19,29.9
2013-10-21,29.71
2013-10-31,29.71
2013-11-07,29.99
2013-11-20,29.99
2013-11-24,29.57
2013-12-24,30.32
2013-12-28,29.67
2013-12-29,29.64
2014-01-03,29.57
2014-01-07,29.22
2014-01-10,27.86
2014-01-15,29.57
2014-01-19,29.76
2014-01-22,29.8
2014-01-28,29.57
2014-01-31,29.74
2014-02-01,29.78
2014-02-04,29.93
2014-02-05,29.99
2014-02-10,30.31
2014-02-12,30.87
2014-02-13,29.99
2014-02-17,26.8
2014-02-18,29.99
2014-02-19,29.99
2014-02-20,30.4
2014-02-21,29.99
2014-03-08,30.13
2014-03-12,29.99
2014-03-19,29.99
2014-03-21,29.99
2014-03-21,29.99
2014-03-31,30.18
2014-04-02,29.99
2014-05-03,29.99
2014-05-05,29.99
2014-05-09,29.68
2014-05-13,29.99
2014-05-21,29.99
2014-05-26,29.99
2014-07-08,30.34
2014-07-12,29.99
2014-09-09,29.99
2014-09-11,29.99
2014-09-29,29.99
2014-10-04,29.99
2014-10-24,29.99
2014-10-27,29.99
2014-11-18,29.99
2014-11-22,29.99
2014-11-23,29.99
2014-12-09,29.99
2014-12-30,29.99
