Time,Price
2012-06-13,31.79
2012-06-16,32.38
2012-06-17,32.38
2012-06-18,32.38
2012-06-18,31.29
2012-06-19,30.79
2012-06-20,22.4
2012-06-21,22.4
2012-06-21,32.29
2012-06-22,31.79
2012-06-23,32.38
2012-06-23,32.38
2012-06-27,29.21
2012-06-27,29.21
2012-06-28,32.06
2012-06-28,32.06
2012-06-28,32.06
2012-06-29,28.96
2012-06-29,32.06
2012-06-29,32.06
2012-07-02,32.06
2012-07-03,28.18
2012-07-04,28.18
2012-07-05,31.49
2012-07-05,30.99
2012-07-06,30.49
2012-07-07,28.18
2012-07-09,28.18
2012-07-11,28.18
2012-07-12,32.06
2012-07-13,31.49
2012-07-14,32.06
2012-07-16,32.06
2012-07-17,29.87
2012-07-18,29.87
2012-07-24,26.21
2012-09-03,28.99
2012-09-04,28.99
2012-09-05,28.99
2013-01-01,29.27
2013-01-14,29.27
2013-01-27,29.27
2013-01-27,29.04
2013-02-14,28.87
2013-02-18,28.87
2013-03-04,28.86
2013-03-18,27.74
2013-03-25,27.74
2013-04-04,28.01
2013-04-08,29.04
2013-04-13,28.81
2013-04-29,28.81
2013-06-26,28.81
2013-07-06,29.02
2013-07-22,25.04
2013-07-29,29.37
2013-08-11,30.41
2013-09-03,33.36
2013-09-22,33.35
2013-09-28,29.19
2013-10-13,29.19
2013-10-21,29.19
2013-11-04,29.19
2013-11-10,29.19
2013-12-06,27.99
2013-12-23,22.99
2014-02-12,22.99
2014-02-18,22.99
2014-03-05,22.99
2014-03-14,22.99
2014-04-13,22.99
2014-04-27,31.95
2014-06-03,29.98
2014-09-28,32.05
2014-12-23,23.99
2015-01-01,32.79
2015-03-23,31.38
2015-03-31,34.46
2015-04-09,31.79
2015-04-16,32.4
2015-05-02,32.4
2015-05-17,30.53
2015-06-05,32.4
2015-06-11,29.87
2015-06-18,27.95
2015-06-27,27.95
2015-07-17,29.97
2015-07-26,29.97
2015-08-11,29.97
2015-08-21,29.97
2015-09-07,29.97
2015-09-16,29.97
2015-11-07,33.9
2016-11-19,29.72
2016-11-26,29.72
