Time,Price
2012-06-06,109
2012-06-18,109
2012-06-22,109
2012-07-03,109
2012-07-03,91.39
2012-07-05,89.69
2012-07-07,89.69
2012-07-08,85.69
2012-07-10,89.69
2012-07-12,109
2012-07-23,114.29
2012-07-23,114.29
2012-07-31,109
2012-08-07,109
2012-08-12,109
2012-08-14,109
2012-08-15,109
2012-08-16,108
2012-08-19,108
2012-08-19,108
2012-08-27,108
2012-08-30,106
2012-08-31,106
2012-09-13,105
2012-09-19,105
2012-09-19,105
2012-09-21,105
2012-09-22,105
2012-09-24,105
2012-09-25,105
2012-09-26,105
2012-09-28,105
2012-09-29,105
2012-09-29,105
2012-10-02,105
2012-10-03,105
2012-10-08,105
2012-10-09,105
2012-10-12,87.9
2012-10-16,102.81
2012-10-17,105
2012-10-17,105
2012-10-18,102.95
2012-10-19,94.24
2012-10-24,102.95
2012-10-29,82.9
2012-10-30,98.97
2012-10-31,98.97
2012-11-21,98.97
2012-11-24,98.97
2012-12-05,98.97
2012-12-06,98.9
2012-12-06,98.9
2012-12-08,98.97
2012-12-09,98.97
2012-12-15,98.97
2012-12-16,95.84
2012-12-16,95.84
2012-12-17,89.04
2013-01-01,94.98
2013-01-09,96.86
2013-01-10,96.86
2013-01-12,94.98
2013-01-13,94.98
2013-01-24,94.98
2013-01-25,96.86
2013-01-26,94.98
2013-01-28,94.98
2013-02-07,94.98
2013-02-08,94.98
2013-02-11,94.98
2013-02-13,94.98
2013-02-17,88.91
2013-02-18,94.98
2013-02-21,94.98
2013-02-24,87.95
2013-02-28,94.98
2013-03-07,94.98
2013-03-08,83.5
2013-03-12,83.5
2013-03-13,94.98
2013-03-17,94.98
2013-03-20,94.98
2013-03-23,94.98
2013-03-25,96.86
2013-03-28,98.97
2013-03-31,98.97
2013-04-02,98.97
2013-04-05,82.99
2013-04-06,98.97
2013-04-10,99.93
2013-04-26,98.97
2013-04-27,98.97
2013-04-28,99.93
2013-05-05,98.97
2013-05-06,98.97
2013-05-08,98.97
2013-05-09,98.97
2013-05-10,98.97
2013-05-10,98.97
2013-05-11,99.93
2013-05-14,98.97
2013-05-14,98.97
2013-05-15,98.97
2013-05-16,98.97
2013-05-17,98.97
2013-05-19,98.97
2013-05-19,98.97
2013-05-22,98.97
2013-05-23,98.97
2013-05-23,98.97
2013-05-24,98.97
2013-05-26,98.97
2013-05-27,98.97
2013-05-28,98.97
2013-06-01,98.97
2013-06-06,98.97
2013-06-08,98.97
2013-06-16,98.97
2013-06-19,96.86
2013-06-22,98.97
2013-06-28,98.97
2013-07-02,98.97
2013-07-05,98.97
2013-07-13,98
2013-07-28,98
2013-07-31,98
2013-08-06,98
2013-08-10,98.97
2013-08-14,98
2013-08-23,86.66
2013-08-25,86.66
2013-08-26,86.66
2013-08-28,87.69
2013-08-31,87.66
2013-09-01,86.66
2013-09-04,89
2013-09-06,85.4
2013-09-07,85.4
2013-09-13,98
2013-09-15,98
2013-09-16,98
2013-09-18,98
2013-09-19,98
2013-09-24,98
2013-09-29,98
2013-10-04,98
2013-10-09,89
2013-10-10,89
2013-10-10,89
2013-10-11,89
2013-10-12,84.18
2013-10-13,89
2013-10-18,89
2013-10-19,89
2013-10-22,89
2013-10-25,89.81
2013-10-26,89.81
2013-10-29,89.81
2013-10-30,89.81
2013-11-02,90.77
2013-11-03,91.69
2013-11-05,91.69
2013-11-09,98
2013-11-09,98
2013-11-10,98
2013-11-12,98
2013-11-12,98
2013-11-21,98
2013-11-22,98
2013-11-24,98
2013-11-27,98
2013-11-30,94
2013-12-01,94
2013-12-05,94
2013-12-08,93.72
2013-12-09,93.72
2013-12-10,93.72
2013-12-12,92.76
2013-12-15,92.76
2013-12-17,84.15
2013-12-19,98
2013-12-21,98
2013-12-22,98
2013-12-25,98
2013-12-28,98
2013-12-29,98
2013-12-31,98
2014-01-02,98
2014-01-03,98
2014-01-09,98
2014-01-12,98
2014-01-16,87.67
2014-01-26,98
2014-01-27,98
2014-01-29,98
2014-01-30,98
2014-02-02,98
2014-02-04,98
2014-02-08,98
2014-02-10,88.06
2014-02-12,88.19
2014-02-12,88.19
2014-02-13,98
2014-02-15,87.59
2014-02-16,98
2014-02-18,87.61
2014-02-19,94
2014-02-21,87.2
2014-02-22,94
2014-02-24,86.92
2014-02-25,98
2014-02-28,85.62
2014-03-01,85.18
2014-03-02,98
2014-03-03,98
2014-03-04,98
2014-03-05,90.96
2014-03-07,90.96
2014-03-08,90.96
2014-03-12,90.96
2014-03-12,90.96
2014-03-16,86.21
2014-03-19,90.72
2014-03-23,90.72
2014-03-26,88.64
2014-03-29,90.72
2014-04-02,84.97
2014-04-04,96.78
2014-04-05,96.78
2014-04-07,96.78
2014-04-08,96.78
2014-04-10,96.78
2014-04-21,89.99
2014-04-25,89.99
2014-05-02,89.99
2014-05-04,89.99
2014-05-05,89.99
2014-05-08,89.99
2014-05-10,89.99
2014-05-11,89.99
2014-05-12,94.87
2014-05-13,94.87
2014-05-15,94.87
2014-05-15,98
2014-05-16,94.87
2014-05-18,94
2014-05-21,94
2014-05-26,94
2014-05-28,94.87
2014-05-30,94.87
2014-06-02,94.87
2014-06-04,98
2014-06-05,98
2014-06-07,97.93
2014-06-09,97.22
2014-06-13,97.22
2014-06-14,97.22
2014-06-17,97.22
2014-06-25,94.99
2014-06-28,84.5
2014-07-02,83.76
2014-07-03,83.77
2014-07-05,85.01
2014-07-07,91.82
2014-07-23,88.68
2014-07-27,86.23
2014-07-27,86.57
2014-07-28,88.68
2014-07-30,88.68
