Time,Price
2012-06-02,39.99
2012-06-07,38.99
2012-06-07,38.99
2012-06-19,38.99
2012-06-21,38.99
2012-06-22,38.99
2012-06-22,38.99
2012-06-23,38.99
2012-06-23,38.99
2012-07-05,38.99
2012-07-10,38.99
2012-07-14,38.99
2012-07-16,38.99
2012-07-19,38.99
2012-07-21,38.99
2012-07-22,38.99
2012-07-22,38.99
2012-07-26,38.99
2012-07-27,38.99
2012-07-28,38.99
2012-07-28,38.99
2012-07-30,35.24
2012-07-30,38.99
2012-07-31,38.99
2012-08-02,38.99
2012-08-07,38.99
2012-08-08,38.99
2012-08-08,38.99
2012-08-10,38.99
2012-08-10,38.99
2012-08-11,38.99
2012-08-12,38.99
2012-08-14,38.6
2012-08-15,38.99
2012-08-15,38.48
2012-08-16,38.99
2012-08-17,38.99
2012-08-18,38.99
2012-08-18,38.99
2012-08-19,38.99
2012-08-21,38.99
2012-08-23,38.99
2012-08-25,38.99
2012-08-25,38.99
2012-08-27,38.99
2012-08-27,38.99
2012-08-28,38.99
2012-08-29,38.99
2012-08-29,38.99
2012-08-31,38.99
2012-08-31,38.99
2012-09-01,38.99
2012-09-02,38.99
2012-09-02,38.99
2012-09-03,38.99
2012-09-03,38.99
2012-09-04,38.99
2012-09-05,38.99
2012-09-10,38.99
2012-09-12,38.5
2012-09-14,38.5
2012-09-14,38.5
2012-09-15,38.5
2012-09-22,38.5
2012-09-22,39.42
2012-09-23,38.99
2012-09-23,39.42
2012-09-24,42.99
2012-09-24,39.42
2012-09-24,37.99
2012-09-25,37.99
2012-09-26,37.99
2012-09-27,37.61
2012-09-28,37.61
2012-09-28,37.61
2012-09-29,37.61
2012-09-29,37.99
2012-10-04,37.99
2012-10-11,37.99
2012-10-17,34.24
2012-10-18,37.49
2012-10-19,37.49
2012-10-25,37.49
2012-11-03,37.49
2012-11-05,43.92
2012-11-07,37.49
2012-11-07,44.95
2012-11-07,37.49
2012-11-08,37.49
2012-11-09,44.95
2012-11-10,37.49
2012-11-10,37.49
2012-11-19,44.95
2012-11-19,44.95
2012-11-20,38.99
2012-11-20,38.99
2012-11-21,44.95
2012-11-22,44.95
2012-11-23,37.49
2012-11-29,37.49
2012-11-30,37.49
2012-12-06,37.49
2012-12-18,44.95
2012-12-19,43.95
2012-12-20,44.45
2012-12-21,44.46
2012-12-22,44.95
2012-12-23,44.14
2012-12-23,44.14
2012-12-24,43.95
2012-12-25,43.95
2012-12-28,44.95
2012-12-28,44.95
2012-12-29,44.95
2012-12-31,39.99
2013-01-01,39.99
2013-01-09,38.99
2013-01-14,38.99
2013-01-18,36
2013-01-19,36
2013-01-20,38.99
2013-01-21,38.99
2013-01-22,38.99
2013-02-07,38.99
2013-02-15,38.99
2013-02-21,39.03
