Time,Price
2014-06-09,8.65
2014-06-16,8.55
2014-06-26,8.18
2014-06-26,8.19
2014-07-02,8.18
2014-07-04,8.15
2014-07-08,8.18
2014-07-10,8.15
2014-07-12,8.18
2014-07-26,8.19
2014-07-28,8.09
2014-08-06,7.99
2014-08-10,7.98
2014-08-12,8.09
2014-08-14,7.99
2014-08-18,7.97
2014-08-21,7.95
2014-08-25,7.97
2014-08-31,7.88
2014-09-13,7.83
2014-09-21,7.69
2014-09-21,7.69
2014-09-23,7.49
2014-09-24,7.59
2014-09-25,7.49
2014-10-23,7.56
2014-10-26,7.47
2014-10-30,7.49
2014-11-05,7.47
2014-11-14,7.46
2014-11-14,7.47
2014-11-16,7.49
2014-11-20,7.47
2014-12-10,7.98
2014-12-14,7.97
2014-12-15,7.98
2014-12-17,7.49
2014-12-17,7.97
2014-12-17,7.99
2014-12-17,7.49
2015-04-15,7.49
2015-04-28,7.49
2015-04-29,7.49
2015-05-03,7.49
2015-05-11,7.49
2015-05-18,7.49
2015-05-31,7.49
2015-06-07,7.49
2015-06-08,7.49
2015-06-10,7.49
2015-06-13,7.49
2015-06-16,7.49
2015-06-23,7.49
2015-06-26,7.49
2015-07-31,9.73
2015-08-07,12.95
2015-08-15,9.95
2015-08-21,9.47
2015-08-23,9.87
2015-08-23,9.88
2015-08-25,9.39
2015-08-30,9.38
2015-09-03,9.39
2015-09-17,9.37
2015-09-21,9.36
2015-09-29,9.25
2015-10-11,9.02
2015-10-12,9.20
2015-10-15,8.95
2015-11-02,8.65
2015-11-07,8.69
2015-11-13,8.64
2015-11-13,8.54
2015-11-16,8.59
2015-11-16,8.58
2015-11-17,8.95
2015-11-17,8.85
2015-11-19,8.70
2015-12-05,8.95
2015-12-16,10.45
2016-01-01,9.85
2016-01-04,11.95
2016-01-06,9.85
2016-01-09,9.24
2016-01-11,8.90
2016-01-18,8.85
2016-01-23,8.99
2016-01-24,10.47
2016-02-02,10.45
2016-02-07,9.99
2016-02-12,9.85
2016-02-16,8.50
2016-02-21,8.44
2016-02-25,8.47
2016-03-16,8.39
2016-03-19,8.33
2016-03-20,8.18
2016-03-23,8.05
2016-04-04,8.45
2016-04-06,8.43
2016-04-17,8.16
2016-04-30,8.15
2016-05-09,7.99
2016-05-11,8.14
2016-05-15,8.16
2016-05-19,8.00
2016-05-21,8.14
2016-05-23,8.12
2016-06-07,7.69
2016-06-08,7.88
2016-07-17,8.09
2016-07-19,8.49
2016-07-23,8.55
2016-07-27,8.49
2016-08-07,8.00
2016-08-10,7.99
2016-08-29,8.49
2016-09-19,8.48
2016-10-09,8.09
2016-10-14,7.95
2016-10-22,8.09
2016-11-27,8.09
