Time,Price
2012-07-14,85.65
2012-08-01,74.4
2012-08-05,73.47
2012-08-06,75.18
2012-08-12,68.67
2012-08-13,73.33
2012-08-15,68.67
2012-08-20,73.33
2012-09-15,72.51
2012-09-20,73.94
2012-09-25,72.51
2012-09-26,73.94
2012-09-29,72.07
2012-10-02,72.03
2012-10-03,71.92
2012-10-06,72.51
2012-10-16,70.13
2012-10-20,70.13
2012-10-21,70.13
2012-11-06,70.13
2012-11-09,65.18
2012-11-11,65.18
2012-11-14,65.18
2012-11-16,65.65
2012-11-17,62.34
2012-11-17,62.34
2012-11-18,62.34
2012-11-23,62.34
2012-11-25,62.34
2012-11-28,62.34
2012-11-29,64.04
2012-11-29,65
2012-12-01,65
2012-12-21,63.28
2012-12-21,65.03
2012-12-22,65.03
2012-12-23,70.13
2012-12-31,66.73
2013-01-02,70.75
2013-01-03,66.5
2013-01-07,66.32
2013-01-10,66.32
2013-01-11,70.75
2013-01-12,66.55
2013-01-14,70.75
2013-01-15,66.5
2013-01-18,70.75
2013-01-19,66.45
2013-01-20,66.7
2013-01-22,66.7
2013-01-23,70.75
2013-01-24,70.75
2013-01-25,66.7
2013-01-26,66.55
2013-01-27,66.84
2013-01-28,66.97
2013-01-29,70.75
2013-01-30,65
2013-01-31,65
2013-02-08,70.75
2013-02-11,73.57
2013-02-15,73.57
2013-02-21,67.33
2013-02-28,66.97
2013-03-01,66.97
2013-03-08,65
2013-03-14,65
2013-03-26,65.89
2013-03-29,65.89
2013-03-31,65
2013-04-01,65
2013-04-05,65
2013-04-15,65
2013-04-17,65.89
2013-04-19,65
2013-04-22,65
2013-04-24,65
2013-04-24,65
2013-04-25,65
2013-04-26,65
2013-05-01,64.19
2013-05-02,64.19
2013-05-03,64.19
2013-05-09,64.19
2013-05-10,64.19
2013-05-15,69.33
2013-05-19,69.33
2013-05-23,69.33
2013-06-15,66.09
2013-06-28,73.6
2013-06-29,73.6
2013-06-30,66.09
2013-07-01,72.46
2013-07-01,73.6
2013-07-02,73.6
2013-07-03,66.09
2013-07-07,66.09
2013-07-07,66.09
2013-07-10,73.6
2013-07-10,73.6
2013-07-13,73.38
2013-07-13,73.6
2013-07-14,73.6
2013-07-18,73.6
2013-07-27,73.6
2013-07-28,69.33
2013-07-30,73.6
2013-07-31,69.33
2013-08-24,69.33
2013-08-30,69.33
2013-09-18,69.33
2013-09-22,69.33
2013-09-25,69.33
2013-09-28,69.33
2013-10-02,69.33
2013-10-04,69.33
2013-10-07,69.33
2013-10-08,69.33
2013-10-11,66.62
2013-10-14,67.64
2013-10-21,70.15
2013-11-13,73.03
2013-12-09,73.61
2013-12-09,74.66
2013-12-10,74.67
2013-12-10,74.66
2013-12-10,73.03
2013-12-11,73.03
2013-12-12,73.03
2013-12-13,74.67
2013-12-15,74.67
2013-12-16,74.67
2013-12-18,74.67
2013-12-21,73.21
2013-12-23,74.67
2013-12-24,74.67
2013-12-27,77.52
2013-12-28,74.56
2013-12-30,74.44
2013-12-31,73.21
2014-01-02,73.03
2014-01-03,73.03
2014-01-05,73.03
2014-01-09,73.03
2014-01-16,65.99
2014-01-18,65.99
2014-01-19,65.99
2014-01-29,65.99
2014-02-18,65.99
2014-11-09,65.99
2014-11-23,65.99
2014-11-24,52.79
2014-11-26,52.79
2014-12-08,65.99
2014-12-09,65.99
2015-07-19,65.98
2016-07-13,63.7
2016-07-14,64.01
2016-07-15,57.29
2016-07-15,64.01
2016-07-16,64.01
2016-07-17,64.01
2016-07-18,64.01
2016-11-26,64.01
2014-06-09,65.99
2014-06-17,65.99
2014-06-25,65.99
2014-07-03,65.99
2014-07-04,65.99
2014-09-28,65.51
2014-10-30,65.99
2015-05-17,65.99
2015-05-25,65.99
2015-05-26,65.99
2015-06-18,65.98
2015-07-15,65.98
2015-07-21,65.98
2015-08-30,65.63
2015-08-31,65.63
2015-11-08,60.49
2015-11-09,60.49
2015-11-20,60.49
2015-11-21,60.49
2015-11-21,60.49
2015-11-23,60.49
2015-11-23,60.49
2015-11-24,60.49
2015-11-26,60.49
2015-11-26,60.49
2015-11-28,60.49
2015-11-28,60.49
2015-11-30,60.49
2015-11-30,60.49
2015-12-01,60.49
2015-12-03,60.49
2015-12-04,60.49
2015-12-05,60.49
2015-12-05,60.49
2015-12-07,60.49
2015-12-07,60.49
2015-12-08,60.49
2015-12-10,60.49
2015-12-10,60.49
2015-12-12,60.49
2015-12-12,60.49
2015-12-14,60.49
2015-12-14,60.49
2015-12-15,60.49
2015-12-16,60.49
2015-12-17,60.49
2015-12-19,60.49
2015-12-19,60.49
2015-12-21,60.49
2015-12-21,60.49
2015-12-22,60.49
2015-12-22,60.49
2015-12-23,64.01
2015-12-24,64.01
2015-12-24,64.01
2015-12-26,64.01
2015-12-26,64.01
2015-12-28,64.01
2015-12-28,64.01
2015-12-29,64.01
2015-12-31,64.01
2016-01-01,64.01
2016-01-02,64.01
2016-01-02,64.01
2016-01-04,64.01
2016-01-04,64.01
2016-01-05,64.01
2016-01-07,64.01
2016-01-07,64.01
2016-01-09,64.01
2016-01-09,64.01
2016-01-11,64.01
2016-01-11,64.01
2016-01-12,64.01
2016-01-12,64.01
2016-01-14,64.01
2016-01-15,64.01
2016-01-16,64.01
2016-01-16,64.01
2016-01-18,64.01
2016-01-18,64.01
2016-01-20,64.01
2016-01-21,64.01
2016-01-23,64.01
2016-01-23,64.01
2016-01-25,64.01
2016-01-25,64.01
2016-01-26,64.01
2016-01-26,64.01
2016-01-28,64.01
2016-01-28,64.01
2016-01-30,65.99
2016-01-30,65.99
2016-02-01,65.99
2016-02-01,65.99
2016-02-02,65.99
2016-02-04,65.99
2016-02-04,65.99
2016-02-06,65.99
2016-02-08,65.99
2016-02-08,65.99
2016-02-09,65.99
2016-02-11,65.99
2016-02-11,65.99
2016-02-13,65.99
2016-02-13,65.99
2016-02-15,65.99
2016-02-15,65.99
2016-02-16,65.99
2016-02-17,65.99
2016-02-18,65.99
2016-02-19,64.01
2016-02-20,64.01
2016-02-20,64.01
2016-02-22,64.01
2016-02-23,64.01
2016-02-23,64.01
2016-02-25,64.01
2016-02-25,64.01
2016-02-27,64.01
2016-02-27,64.01
2016-02-29,64.01
2016-02-29,64.01
2016-03-01,64.01
2016-03-03,64.01
2016-03-03,64.01
2016-03-05,64.01
2016-03-05,64.01
2016-03-07,64.01
2016-03-07,64.01
2016-03-08,64.01
2016-03-19,64.01
2016-03-23,64.01
2016-03-24,64.01
2016-03-25,64.01
2016-03-26,64.01
2016-03-28,64.01
2016-03-29,64.01
2016-03-30,64.01
2016-03-31,64.01
2016-04-01,64.01
2016-04-02,64.01
2016-04-03,64.01
2016-04-04,64.01
2016-04-05,64.01
2016-04-06,64.01
2016-04-07,64.01
2016-04-08,64.01
2016-04-09,64.01
2016-04-10,64.01
2016-04-10,60.81
2016-04-10,59.81
2016-04-29,64.01
2016-05-24,52.82
2016-06-03,64.01
2016-07-12,63.70
2016-07-12,63.70
2016-07-14,64.01
2016-11-26,65.99
2016-11-27,65.99
