Time,Price
2012-06-03,18
2012-06-04,20.38
2012-06-07,20.45
2012-06-08,20.45
2012-06-11,20.45
2012-06-13,20.45
2012-06-14,20.38
2012-06-17,20.45
2012-06-18,20.45
2012-06-20,20.45
2012-06-21,20.45
2012-06-22,20.45
2012-06-23,20.45
2012-06-25,20.45
2012-06-26,20.45
2012-06-26,20.45
2012-06-29,19.8
2012-06-29,19.8
2012-06-30,20.44
2012-06-30,19.45
2012-07-01,19.8
2012-07-01,19.45
2012-07-02,20.44
2012-07-02,19.42
2012-07-03,19.78
2012-07-03,20.42
2012-07-04,19.42
2012-07-04,19.42
2012-07-05,19.78
2012-07-06,19.78
2012-07-06,19.42
2012-07-07,20.42
2012-07-07,19.42
2012-07-08,19.78
2012-07-09,20.42
2012-07-10,19.42
2012-07-11,19.78
2012-07-11,19.78
2012-07-12,17.57
2012-07-13,17.57
2012-07-16,17.37
2012-07-16,17.37
2012-07-18,17.37
2012-07-18,17.37
2012-07-18,17.57
2012-07-19,17.57
2012-07-20,17.57
2012-07-21,17.57
2012-07-23,17.57
2012-07-24,17.57
2012-07-25,17.57
2012-07-25,17.57
2012-07-26,17.57
2012-07-28,16.88
2012-07-28,16.88
2012-07-29,17.32
2012-07-30,17.32
2012-07-31,20.45
2012-08-01,17.04
2012-08-02,16.88
2012-08-03,17.32
2012-08-04,20.45
2012-08-05,17.04
2012-08-06,16.88
2012-08-07,17.02
2012-08-08,17.02
2012-08-09,20.45
2012-08-11,17.02
2012-08-12,17.02
2012-08-13,17.29
2012-08-13,17.29
2012-08-13,17.29
2012-08-14,16.87
2012-08-16,17.29
2012-08-17,17.02
2012-08-19,16.87
2012-08-20,17.02
2012-08-22,17.29
2012-08-23,16.87
2012-08-25,17.02
2012-08-28,20.45
2012-09-18,20.45
2012-09-21,20.45
2012-09-22,20.45
2012-09-22,20.45
2012-09-23,20.45
2012-09-24,20.45
2012-09-25,19.75
2012-09-25,19.75
2012-09-26,20.45
2012-09-26,20.45
2012-09-26,20.45
2012-09-28,19.75
2012-09-28,19.75
2012-09-29,19.75
2012-09-30,20.45
2012-10-02,20.45
2012-10-03,19.92
2012-10-05,19.75
2012-10-06,19.75
2012-10-07,19.75
2012-10-07,20.45
2012-10-16,20.45
2012-10-17,17.58
2012-10-18,17.56
2012-10-18,17.56
2012-10-19,17.57
2012-10-21,17.58
2012-10-23,17.59
2012-10-25,17.6
2012-10-28,17.61
2012-10-29,17.61
2012-10-31,17.59
2012-10-31,17.6
2012-11-01,17.6
2012-11-01,17.6
2012-11-02,17.6
2012-11-03,17.61
2012-11-04,17.63
2012-11-06,17.64
2012-11-07,17.64
2012-11-09,17.62
2012-11-10,17.6
2012-11-10,17.6
2012-11-11,17.58
2012-11-11,17.59
2012-11-12,17.59
2012-11-14,17.59
2012-11-15,17.59
2012-11-16,17.59
2012-11-17,17.59
2012-11-19,17.57
2012-11-20,17.57
2012-11-21,17.57
2012-11-24,17.55
2012-11-25,17.61
2012-11-26,17.61
2012-11-27,17.59
2012-11-28,17.59
2012-12-01,17.6
2012-12-02,17.6
2012-12-04,17.61
2012-12-05,17.61
2012-12-06,17.61
2012-12-06,18.56
2012-12-07,18.56
2012-12-09,18.54
2012-12-15,18.5
2012-12-15,18.48
2012-12-17,18.48
2012-12-18,18.5
2012-12-20,18.47
2012-12-21,18.47
2012-12-21,18.5
2012-12-22,18.5
2012-12-23,18.53
2012-12-23,18.53
2012-12-28,18.12
2012-12-31,18.12
2013-01-11,18.48
2013-01-12,18.46
2013-01-14,18.44
2013-01-15,18.44
2013-01-17,18.41
2013-01-17,18.41
2013-01-20,18.41
2013-01-21,18.38
2013-01-22,18.36
2013-01-23,18.36
2013-01-25,18.81
2013-01-26,19.33
2013-01-27,19.25
2013-01-28,18.87
2013-01-29,19.23
2013-01-30,19.03
2013-02-01,19.03
2013-02-01,19.03
2013-02-02,18.89
2013-02-07,18.56
2013-02-09,18.23
2013-02-10,18.04
2013-02-11,18.25
2013-02-12,18.42
2013-02-13,18.79
2013-02-14,18.79
2013-02-15,19
2013-02-15,19
2013-02-16,18.49
2013-02-16,18.49
2013-02-17,18.06
2013-02-17,18.06
2013-02-20,18.13
2013-02-21,17.81
2013-02-22,18.83
2013-02-22,18.83
2013-02-23,18.72
2013-02-24,18.47
2013-02-25,18.31
2013-02-27,18.42
2013-02-28,18.37
2013-03-01,17.99
2013-03-01,17.99
2013-03-02,18.32
2013-03-03,17.66
2013-03-03,17.66
2013-03-04,17.3
2013-03-05,17.33
2013-03-06,18.98
2013-03-06,18.98
2013-03-07,18.81
2013-03-08,18.81
2013-03-09,19.13
2013-03-10,19.43
2013-03-11,19.24
2013-03-12,19.02
2013-03-13,18.81
2013-03-14,19.06
2013-03-18,17.75
2013-03-19,17.75
2013-03-20,18.42
2013-03-21,18.42
2013-03-22,18.55
2013-03-23,19.27
2013-03-23,19.27
2013-03-25,18.4
2013-03-26,18.11
2013-03-27,18.14
2013-03-29,18.2
2013-03-30,18.92
2013-03-31,19.15
2013-04-01,18.83
2013-04-01,18.83
2013-04-02,18.22
2013-04-03,18.73
2013-04-03,18.73
2013-04-04,18.92
2013-04-05,18.29
2013-04-05,18.29
2013-04-05,18.29
2013-04-06,18.37
2013-04-06,18.37
2013-04-07,17.88
2013-04-07,17.88
2013-04-08,17.66
2013-04-08,17.66
2013-04-10,18.44
2013-04-10,18.44
2013-04-11,18.79
2013-04-11,18.79
2013-04-12,18.79
2013-04-14,18.33
2013-04-14,18.33
2013-04-15,18.04
2013-04-16,17.45
2013-04-17,19.19
2013-04-17,19.19
2013-04-18,18.21
