Time,Price
2012-09-25,49.99
2012-10-07,31.68
2012-10-08,36.03
2012-10-09,35.95
2012-10-10,35.24
2012-10-11,35.12
2012-10-12,35.13
2012-10-15,35.02
2012-10-16,35.06
2012-10-18,35.09
2012-10-19,35.1
2012-10-21,35.01
2012-10-23,34.98
2012-10-25,34.96
2012-10-28,34.83
2012-10-29,33.97
2012-11-01,34.1
2012-11-02,34.16
2012-11-03,34.16
2012-11-03,34.62
2012-11-04,39.82
2012-11-06,43.27
2012-11-06,43.25
2012-11-09,43.35
2012-11-09,43.35
2012-11-11,43.41
2012-11-14,43.39
2012-11-17,43.44
2012-11-17,43.41
2012-11-18,43.48
2012-11-21,43.55
2012-11-24,32.9
2012-11-25,34.69
2012-11-28,35.35
2012-12-01,34.96
2012-12-02,34.93
2012-12-02,34.92
2012-12-03,34.92
2012-12-04,34.99
2012-12-05,35.01
2012-12-07,35.02
2012-12-07,34.99
2012-12-09,35.1
2012-12-10,35.09
2012-12-10,35.07
2012-12-15,34.97
2012-12-15,34.92
2012-12-17,34.92
2012-12-18,34.87
2012-12-18,34.86
2012-12-20,34.77
2012-12-21,43.46
2012-12-23,43.46
2012-12-24,43.46
2012-12-24,43.46
2012-12-26,43.46
2012-12-31,43.46
2013-01-02,43.46
2013-01-03,43.46
2013-01-05,49.4
2013-01-17,49.4
2013-01-21,49.4
2013-01-22,49.4
2013-01-23,49.4
2013-01-24,49.4
2013-01-25,43.46
2013-02-01,43.46
2013-02-11,43.46
2013-02-21,43.48
2013-02-22,49.99
2013-02-22,49.99
2013-02-28,49.99
2013-03-01,49.99
2013-03-02,49.99
2013-03-03,49.99
2013-03-05,49.99
2013-03-06,43.46
2013-03-22,43.46
2013-03-23,43.46
2013-03-24,43.46
2013-03-25,43.46
2013-03-26,43.46
2013-03-28,43.46
2013-03-29,43.46
2013-03-30,43.46
2013-04-07,43.46
2013-04-11,43.46
2013-04-12,38.2
2013-04-25,36.01
2013-04-27,36.7
2013-04-28,38.2
2013-05-03,38.2
2013-05-08,38.2
2013-05-14,38.2
2013-05-15,38.2
2013-05-23,38.2
2013-05-23,38.2
2013-06-06,38.2
2013-06-08,38.2
2013-06-16,38.2
2013-06-28,38.2
2013-06-29,38.2
2013-07-02,38.2
2013-07-03,35.83
2013-07-06,34.33
2013-07-07,34.33
2013-07-08,35.83
2013-07-09,41.96
2013-07-10,40.92
2013-07-11,40.92
2013-07-12,44.58
2013-07-13,43.63
2013-07-14,43.63
2013-07-15,41.66
2013-07-16,40.86
2013-07-17,41
2013-07-19,40.71
2013-07-21,41.27
2013-07-22,38.56
2013-07-23,35.83
2013-07-25,43.27
2013-07-26,42.21
