Time,Price
2012-11-21,129.99
2012-11-24,128.98
2012-11-30,107.28
2012-12-02,103.39
2012-12-05,97.36
2012-12-07,99
2012-12-10,99
2012-12-11,103.39
2012-12-29,101.49
2013-01-01,106.98
2013-01-03,108.09
2013-01-05,129.99
2013-01-07,139
2013-01-19,139
2013-01-31,139
2013-02-18,129.99
2013-03-17,127.49
2013-03-23,128.74
2013-03-24,126.29
2013-03-25,127.53
2013-03-26,126.29
2013-03-26,126.29
2013-03-27,126.29
2013-03-28,127.53
2013-03-28,127.53
2013-03-30,127.13
2013-03-31,127.13
2013-04-02,127.13
2013-04-03,125.89
2013-04-06,125.51
2013-04-08,124.29
2013-04-11,129.99
2013-04-12,119
2013-04-24,129.99
2013-05-05,99
2013-05-12,103.24
2013-05-13,106.49
2013-06-05,99.99
2013-06-08,99
2013-06-12,99
2013-07-25,99
2013-08-03,99.99
2013-08-10,99.99
2013-09-17,99
2013-10-21,79.99
2013-10-22,79.99
2013-10-23,89.99
2013-10-26,99
2013-10-29,99
2013-11-02,99
2014-01-12,99
2014-01-22,99
2014-02-18,89
2014-03-06,89
2014-05-26,95.18
2014-07-30,89
2014-09-14,79
2014-09-16,79
2014-09-24,79
2014-09-29,79
2014-10-03,79
2014-10-09,79
2014-10-14,79
2014-10-15,79
2014-10-24,79
2014-10-26,79
2014-10-31,79
2014-11-11,79
2014-11-12,79
2014-11-17,79
2014-11-20,76.62
2014-11-21,75.49
2014-11-21,75.24
2014-11-22,75.27
2014-11-23,79
2014-11-28,79
2014-12-01,76.62
2014-12-02,76.67
2014-12-02,79
2014-12-03,79
2014-12-04,79
2014-12-05,79
2014-12-07,79
2014-12-08,79
2014-12-08,79
2014-12-10,79
2014-12-13,79
2014-12-14,79
2014-12-15,79
2014-12-17,79
2014-12-17,79.99
2014-12-21,79.99
2014-12-21,79.99
2014-12-25,76.8
2014-12-26,79.99
2014-12-29,79.99
2014-12-30,79.99
2014-12-30,79.99
2015-01-04,89.95
2015-02-15,89.95
2015-02-20,89.95
2015-02-28,89.95
2015-03-10,89.95
2015-03-13,89.95
2015-03-30,89.95
2015-05-13,108.52
2015-05-27,109.95
2015-06-18,109.95
2015-07-17,123.99
2015-08-10,123.99
2015-09-07,123.99
2015-09-30,122.77
2015-11-21,119.99
2016-04-16,117.22
2016-09-18,112.99
2016-09-19,112.99
2016-09-19,112.99
2016-09-20,112.99
2016-11-03,105.63
2016-11-14,105.13
2016-11-22,89.99
2016-11-23,89.99
2016-11-26,89.99
2014-06-09,89.00
2014-07-06,89.00
2014-09-11,79.00
2014-09-11,79.00
2014-09-22,79.00
2014-09-25,95.00
2014-09-26,95.00
2014-09-26,79.00
2014-10-02,79.00
2014-10-14,79.00
2014-11-21,75.49
2014-11-21,75.24
2014-11-22,75.27
2014-11-24,79.00
2014-12-02,76.67
2014-12-03,79.00
2014-12-09,79.99
2014-12-09,79.00
2014-12-13,79.00
2014-12-17,79.99
2014-12-23,76.61
2014-12-29,79.99
2015-02-01,89.95
2015-02-19,79.00
2015-02-28,89.95
2015-04-02,89.95
2015-08-06,89.95
2015-08-25,89.95
2015-09-01,123.99
2015-09-27,122.77
2015-11-13,119.99
2015-11-28,119.00
2015-11-29,115.99
2015-12-18,114.77
2016-01-05,114.77
2016-03-02,119.99
2016-04-10,108.84
2016-04-30,119.99
2016-06-18,103.99
2016-07-18,119.99
2016-07-30,114.99
2016-09-15,112.99
2016-09-16,120.58
2016-09-16,112.99
2016-09-17,120.58
2016-09-17,112.99
2016-09-18,120.58
2016-09-18,112.99
2016-10-11,99.99
2016-10-13,93.09
2016-11-15,105.13
2016-11-26,89.99
2016-11-27,89.99
