Time,Price
2013-08-07,21.51
2013-08-22,19.99
2013-08-29,19.99
2013-09-04,21.57
2013-09-14,17.92
2013-09-21,21.44
2013-09-24,20.65
2013-09-27,20.26
2013-09-30,21.66
2013-11-27,18.23
2013-11-30,18.23
2013-12-05,18.29
2013-12-11,18.29
2013-12-14,17.45
2013-12-16,16.2
2013-12-17,16.2
2013-12-23,18
2014-01-01,18.17
2014-01-09,18.23
2014-09-23,17.57
2014-10-26,14.57
2014-11-06,15.98
2014-12-07,15.98
2014-12-30,15.98
2015-02-20,10.99
2015-03-13,10.99
2015-03-18,10.99
2015-03-26,10.99
2015-03-29,10.99
2015-04-02,10.99
2015-04-30,10.99
2015-05-17,10.99
2015-05-26,10.99
2015-05-29,10.99
2015-06-05,10.99
2015-06-18,9.89
2015-06-22,10.99
2015-06-26,10.99
2015-06-29,8.99
2015-07-15,8.99
2015-07-19,8.99
2015-08-03,10.99
2015-08-11,18.38
2015-11-19,18.49
2016-02-20,15.79
2016-05-15,17
2016-05-26,15.54
2016-05-29,15.4
2016-06-01,15.43
2016-11-03,15.88
2016-11-26,15.88
