Time,Price
2015-07-04,11.18
2015-08-04,10.23
2015-09-25,7.25
2015-10-02,7.79
2015-10-05,8.49
2015-11-21,9.66
2016-02-27,10.66
2016-03-30,10.66
2016-05-13,11.18
2016-06-03,11.18
2016-09-19,10.49
2016-11-26,10.49
2014-06-09,9.94
2014-07-06,7.00
2014-07-08,9.94
2014-09-20,9.94
2015-03-13,11.18
2015-03-17,10.25
2015-03-18,10.31
2015-03-19,10.11
2015-03-21,11.18
2015-03-23,10.11
2015-12-17,9.66
2016-01-26,10.93
2016-01-27,10.91
2016-04-16,11.18
2016-07-19,10.76
2016-09-27,10.49
2016-11-26,11.45
2016-11-27,11.45
