Time,Price
2013-01-14,45.98
2013-01-19,46.05
2013-01-31,43.57
2013-03-04,41.78
2013-03-13,41.39
2013-03-18,41.78
2013-03-25,41.78
2013-04-08,41.39
2013-04-13,41.78
2013-04-29,42.66
2013-05-13,42.55
2013-05-26,42.55
2013-06-26,40.75
2013-07-06,40.75
2013-07-22,42.55
2013-09-03,43.17
2013-09-22,42.55
2013-09-28,42.55
2013-10-13,42.55
2013-10-21,42.79
2013-11-04,41.92
2013-11-10,39.81
2013-11-30,38.8
2013-12-06,38.8
2013-12-18,42.37
2013-12-23,42.37
2013-12-29,44.36
2014-01-15,41.93
2014-01-22,43.75
2014-02-12,43.75
