Time,Price
2016-05-24,96.51
2016-05-24,96.5
2016-05-25,96.48
2016-05-26,96.48
2016-05-26,96.48
2016-05-29,96.47
2016-05-30,96.46
2016-05-31,96.46
2016-05-31,96.46
2016-06-02,96.46
2016-06-02,96.46
2016-06-02,96.46
2016-06-04,96.45
2016-06-05,96.45
2016-06-06,96.45
2016-06-07,96.45
2016-06-08,96.44
2016-06-10,94.55
2016-06-10,94.55
2016-06-12,94.55
2016-06-13,96.5
2016-06-14,96.5
2016-06-16,96.5
2016-06-16,95.03
2016-06-17,95.03
2016-06-19,95.03
2016-06-21,95.03
2016-06-21,95.03
2016-06-24,95.03
2016-06-27,95.03
2016-07-02,95.03
2016-07-07,95.03
2016-07-10,95.03
2016-07-14,95.03
2016-07-15,95.03
2016-07-22,95.03
2016-07-23,71.06
2016-07-25,71.06
2016-07-26,71.06
2016-07-27,71.06
2016-07-28,71.06
2016-07-29,71.06
