Time,Price
2014-06-09,14.11
2014-06-10,13.99
2014-06-20,14.49
2014-07-28,16.50
2014-07-30,15.39
2014-08-05,15.39
2014-08-08,14.35
2014-08-18,14.35
2014-08-25,15.35
2014-09-22,16.35
2014-10-07,16.35
2014-12-14,17.35
2014-12-18,16.99
2015-01-11,14.59
2015-01-19,15.90
2015-02-02,14.35
2015-02-09,15.89
2015-02-26,15.89
2015-03-25,14.55
2015-03-26,14.54
2015-04-01,14.88
2015-04-02,14.87
2015-04-06,14.88
2015-04-06,14.87
2015-05-11,13.69
2015-05-29,14.20
2015-06-07,13.00
2015-06-13,13.69
2015-06-30,12.58
2015-07-01,13.69
2015-07-05,12.58
2015-07-06,13.69
2015-07-10,14.99
2015-08-20,12.69
2015-09-03,14.99
2015-09-16,16.99
2015-09-16,13.68
2015-09-22,14.97
2016-11-27,14.97
