Time,Price
2012-10-17,8.21
2012-10-21,8.65
2012-10-23,8.65
2012-10-25,8.65
2012-10-31,8.65
2012-11-18,8.73
2012-11-19,9.01
2012-11-19,9.08
2012-11-20,9.15
2012-11-20,9.22
2012-11-22,9.22
2012-11-23,9.36
2012-11-24,9.43
2012-11-26,9.5
2012-11-27,9.66
2012-11-28,9.74
2012-11-28,9.74
2012-11-29,9.99
2012-11-30,9.99
2012-11-30,9.99
2012-12-02,9.99
2012-12-04,7.99
2012-12-04,7.99
2012-12-05,7.99
2012-12-05,7.99
2012-12-16,8.99
2012-12-17,8.01
2013-01-17,8.02
2013-01-17,8.01
2013-01-19,8.02
2013-01-24,8.01
2013-01-26,8.02
2013-01-26,8.02
2013-01-28,8.05
2013-01-29,8.01
2013-01-30,8.05
2013-01-31,7.99
2013-01-31,7.99
2013-02-18,7.99
2013-02-19,7.99
2013-02-22,7.24
2013-02-23,7.21
2013-02-23,7.22
2013-02-24,7.21
2013-02-28,7.22
2013-03-01,7.27
2013-03-02,7.06
2013-03-05,7.02
2013-03-06,6.89
2013-03-07,6.94
2013-03-09,7.57
2013-03-09,7.63
2013-03-10,7.69
2013-03-10,7.69
2013-03-11,7.81
2013-03-12,7.87
2013-03-13,7.91
2013-03-17,7.99
2013-03-18,7.99
2013-03-19,7.99
2013-03-20,7.99
2013-03-20,7.99
2013-03-20,7.99
2013-03-21,7.99
2013-03-22,7.99
2013-03-23,7.99
2013-03-24,7.99
2013-03-25,7.99
2013-03-26,7.99
2013-03-27,7.99
2013-03-27,7.99
2013-03-29,7.31
2013-03-30,7.87
2013-03-31,7.93
2013-04-01,7.99
2013-04-01,8.38
2013-04-02,7.74
2013-04-03,7.74
2013-04-03,7.55
2013-04-04,7.32
2013-04-05,6.97
2013-04-06,7.1
2013-04-08,7.07
2013-04-09,7.02
2013-04-10,7.47
2013-04-11,7.59
2013-04-11,7.59
2013-04-12,7.59
2013-04-13,7.59
2013-04-14,7.76
2013-04-14,7.76
2013-04-15,7.77
2013-04-16,7.87
2013-04-17,7.87
2013-04-18,7.54
2013-04-18,7.54
2013-04-24,7.93
2013-05-13,7.25
2013-05-14,7.28
2013-05-14,7.37
2013-05-14,7.28
2013-05-15,7.25
2013-05-16,7.34
2013-05-17,7.37
2013-05-19,7.33
2013-05-19,8.13
2013-05-21,7.17
2013-05-23,7.37
2013-05-25,8.13
2013-06-01,8.13
2013-06-02,8.13
2013-06-06,8.13
2013-06-06,8.13
2013-06-08,8.13
2013-06-09,8.13
2013-06-25,8.13
2013-06-28,8.13
2013-07-26,8.13
2013-07-30,8.13
2013-08-07,7.75
2013-08-08,7.55
2013-08-10,8.05
2013-08-14,7.88
2013-08-25,8.3
2013-08-27,8.74
2013-09-15,8.74
2013-09-19,8.59
2013-09-21,7.99
2013-10-01,7.99
2013-10-04,7.99
2013-10-10,7.99
2013-10-21,6.39
2013-11-29,8.19
2013-12-02,7.95
2013-12-03,7.95
2013-12-05,7.95
2013-12-06,7.99
2013-12-12,7.82
2013-12-21,6.63
2013-12-23,7.99
2013-12-24,7.99
2013-12-27,7.99
2013-12-29,7.99
2013-12-30,7.99
2014-01-06,7.9
2014-02-19,7.99
2014-02-19,7.99
2014-02-26,7.99
2014-04-06,7.99
2014-04-15,7.7
2014-04-23,7.99
2014-05-12,7.99
2014-05-16,7.99
2014-05-20,7.99
2014-06-07,7.99
2014-06-13,7.99
2014-07-12,7.99
2014-07-13,7.99
2014-08-18,7.99
2014-08-26,9.98
2014-08-27,7.99
2014-10-04,6.39
2014-10-16,7.99
2014-10-27,6.39
2014-11-18,7.99
2014-11-19,7.99
2014-11-22,7.99
2014-11-26,7.99
2014-11-29,5.59
2014-11-30,7.99
2014-12-09,6.39
2014-12-22,7.99
2014-12-23,7.99
2014-12-31,7.99
2015-01-05,6.79
2015-05-18,7.37
2015-05-21,7.7
2015-05-22,7.61
2015-05-26,7.99
2015-06-09,7.99
2015-06-10,7.99
2015-07-06,7.61
2015-07-12,7.99
2015-07-28,7.69
2015-08-03,7.99
2015-08-24,7.99
2015-08-29,6.99
2015-09-02,7.99
2015-09-03,6.99
2015-09-06,7.99
2015-09-17,7.99
2015-09-27,5.59
2015-11-05,7.99
2015-12-20,6.49
2015-12-24,7.99
2016-01-05,7.97
2016-01-12,7.99
2016-02-03,7.98
2016-02-21,7.99
2016-02-29,7.99
2016-04-07,7.95
2016-05-26,7.95
2016-05-29,7.94
2016-09-21,6.59
2016-10-26,6.24
2016-10-29,6.24
2016-10-31,6.24
2016-10-31,6.24
2016-11-01,6.24
2016-11-03,6.24
2016-11-04,6.24
2016-11-05,6.24
2016-11-10,6.24
2016-11-11,6.24
2016-11-14,6.24
2016-11-14,6.24
2016-11-17,6.24
2016-11-18,6.24
2016-11-20,6.24
2016-11-22,6.24
2016-11-24,6.24
2014-06-09,7.99
2016-08-29,6.59
2016-11-26,6.24
2016-11-27,6.24
