Time,Price
2012-06-01,21.95
2012-06-07,21.95
2012-06-08,21.95
2012-06-10,21.43
2012-06-11,21.69
2012-06-11,21.95
2012-06-13,21.95
2012-06-13,21.95
2012-06-15,21.95
2012-06-16,21.95
2012-06-17,21.95
2012-06-17,21.95
2012-06-18,21.95
2012-06-19,21.95
2012-06-20,22.24
2012-06-20,22.24
2012-06-21,22.7
2012-06-22,22.7
2012-06-22,22.7
2012-06-23,22.7
2012-06-23,22.02
2012-06-24,21.95
2012-06-25,21.95
2012-06-26,21.95
2012-06-28,21.95
2012-06-28,18.82
2012-06-29,21.95
2012-06-29,18.82
2012-06-29,18.82
2012-06-29,18.82
2012-06-29,21.95
2012-07-01,21.95
2012-07-01,21.93
2012-07-02,21.92
2012-07-02,21.91
2012-07-02,21.91
2012-07-03,21.9
2012-07-03,21.43
2012-07-04,20.38
2012-07-05,20.38
2012-07-05,21.33
2012-07-06,21.32
2012-07-06,21.31
2012-07-06,21.3
2012-07-07,21.29
2012-07-09,21.28
2012-07-10,21.27
2012-07-10,21.55
2012-07-11,21.95
2012-07-11,21.83
2012-07-11,22.11
2012-07-11,22.7
2012-07-12,21.95
2012-07-13,21.95
2012-07-14,21.9
2012-07-16,21.95
2012-07-16,21.95
2012-07-16,21.95
2012-07-18,21.95
2012-07-20,21.95
2012-07-23,21.95
2012-07-24,21.95
2012-07-27,21.95
2012-07-30,21.95
2012-07-31,21.95
2012-08-02,21.29
2012-08-02,21.29
2012-08-03,21.95
2012-08-06,21.95
2012-08-07,21.95
2012-08-11,24
2012-08-12,24
2012-08-13,24
2012-08-14,24
2012-08-14,24
2012-08-15,24
2012-08-15,24
2012-08-15,24
2012-08-16,24
2012-08-17,22.99
2012-08-17,22.99
2012-08-18,22.99
2012-08-18,22.99
2012-08-19,22.99
2012-08-20,24
2012-08-20,24
2012-08-24,23.52
2012-08-24,20.75
2012-08-25,20.75
2012-08-26,19.71
2012-08-27,20.75
2012-08-27,20.75
2012-08-27,20.75
2012-08-29,20.75
2012-08-29,20.75
2012-08-29,20.6
2012-08-30,20.51
2012-08-31,20.51
2012-08-31,20.51
2012-09-02,20.97
2012-09-04,22.57
2012-09-11,23.46
2012-09-11,22.99
2012-09-11,22.99
2012-09-12,22.57
2012-09-12,22.57
2012-09-13,22.57
2012-09-19,20.76
2012-09-19,20.76
2012-09-19,22.57
2012-09-20,22.57
2012-09-20,19.1
2012-09-20,22.57
2012-09-21,22.57
2012-09-22,22.57
2012-09-27,20.84
2012-09-28,18.97
2012-09-28,18.97
2012-09-28,19.05
2012-09-29,19
2012-09-29,19.05
2012-09-29,20.84
2012-10-02,20.79
2012-10-04,20
2012-10-06,20
2012-10-07,18.5
2012-10-08,18.5
2012-10-09,17.92
2012-10-10,20
2012-10-14,19.54
2012-10-15,19.54
2012-10-16,21.95
2012-10-16,18.47
2012-10-17,18.47
2012-10-18,19.35
2012-10-18,19.35
2012-10-23,19.81
2012-10-25,19.81
2012-10-25,19.81
2012-10-25,21.95
2012-10-30,21.95
2012-10-31,21.95
2012-11-03,21.95
2012-11-05,21.95
2012-11-08,18.6
2012-11-09,21.5
2012-11-10,21.5
2012-11-12,21.5
2012-11-12,21.95
2012-11-13,21.5
2012-11-14,21.95
2012-11-15,21.95
2012-11-15,21.95
2012-11-15,18.15
2012-11-15,18.15
2012-11-16,18.15
2012-11-17,21.9
2012-11-17,17.7
2012-11-17,21.9
2012-11-20,21.9
2012-11-24,21.88
2012-11-24,21.87
2012-11-24,21.86
2012-11-25,21.83
2012-11-25,21.82
2012-11-25,21.79
2012-11-26,21.78
2012-11-26,21.77
2012-11-27,21.9
2012-11-28,24.44
2012-11-28,24.64
2012-11-28,24.74
2012-11-29,24.94
2012-11-29,25.04
2012-11-29,24.25
2012-11-29,21.9
2012-12-01,21.9
2012-12-02,22.57
2012-12-03,21.9
2012-12-03,24.75
2012-12-03,21.9
2012-12-04,24.75
2012-12-04,21.9
2012-12-05,21.65
2012-12-05,21.35
2012-12-05,21.9
2012-12-05,21.65
2012-12-06,21.9
2012-12-09,24
2012-12-10,23.7
2012-12-10,24
2012-12-10,21.9
2012-12-13,24.99
2012-12-14,26.99
2012-12-15,26.99
2012-12-16,26.99
2012-12-17,26.99
2012-12-19,26.99
2012-12-19,26.99
2012-12-21,26.99
2012-12-22,26.99
2012-12-22,26.99
2012-12-24,26.99
2012-12-25,26.99
2012-12-26,26.99
2012-12-26,26.99
2012-12-31,26.99
2013-01-06,26.99
2013-01-09,26.99
2013-01-11,26.99
2013-01-13,26.99
2013-01-15,26.99
2013-01-15,24.99
2013-01-16,24.93
2013-01-17,24.46
2013-01-17,20.69
2013-01-19,21.9
2013-01-20,21.89
2013-01-21,21.87
2013-01-21,21.87
2013-01-21,21.82
2013-01-22,21.81
2013-01-22,21.8
2013-01-23,21.75
2013-01-23,21.74
2013-01-23,21.73
2013-01-24,21.69
2013-01-24,21.68
2013-01-24,21.67
2013-01-25,18.74
2013-01-26,20.61
2013-01-26,20.61
2013-01-26,21.05
2013-01-27,21.87
2013-01-27,21.86
2013-01-27,21.83
2013-01-28,21.79
2013-01-28,21.78
2013-01-28,21.74
2013-01-29,21.9
2013-01-31,18.88
2013-01-31,21.33
2013-02-01,21.9
2013-02-08,22.99
2013-02-08,22.99
2013-02-09,21.9
2013-02-10,19.57
2013-02-10,20.87
2013-02-11,20.8
2013-02-11,20.98
2013-02-12,21.16
2013-02-12,21.9
2013-02-15,21.89
2013-02-15,20.71
2013-02-15,20.12
2013-02-16,19.82
2013-02-16,20.59
2013-02-16,21.7
2013-02-17,21.69
2013-02-17,21.68
2013-02-17,21.9
2013-02-18,21.9
2013-02-18,21.3
2013-02-18,21.9
2013-02-19,20.97
2013-02-19,20.67
2013-02-20,18.19
2013-02-20,19.87
2013-02-21,19.57
2013-02-22,19.27
2013-02-22,19.57
2013-02-23,20.3
2013-02-28,20.3
2013-03-02,20.59
2013-03-02,20.57
2013-03-03,20.51
2013-03-03,20.47
2013-03-04,20.44
2013-03-05,20.3
2013-03-06,20.3
2013-03-06,20.3
2013-03-07,20.3
2013-03-09,19.7
2013-03-09,17.9
2013-03-09,17.89
