Time,Price
2012-06-02,33.84
2012-06-06,33.84
2012-06-07,35.25
2012-06-10,35.26
2012-06-13,35.36
2012-06-14,35.26
2012-06-17,31.99
2012-06-19,31.99
2012-06-19,31.99
2012-06-21,32.98
2012-06-23,34.35
2012-06-23,34.35
2012-06-25,31.66
2012-06-28,31.32
2012-06-28,31.66
2012-06-29,31.66
2012-06-29,31.66
2012-07-02,31.99
2012-07-04,31.99
2012-07-05,31.99
2012-07-11,35.25
2012-07-12,35.25
2012-07-13,35.25
2012-07-13,27.45
2012-07-14,27.45
2012-07-14,35.25
2012-07-16,35.25
2012-07-17,35.25
2012-07-17,35.25
2012-07-18,30.99
2012-07-19,35.25
2012-07-19,35.25
2012-07-20,35.25
2012-07-20,35.25
2012-07-21,35.25
2012-07-22,35.25
2012-07-23,35.25
2012-07-23,35.25
2012-07-24,35.25
2012-07-24,35.25
2012-07-25,35.25
2012-07-26,35.25
2012-07-26,32.98
2012-07-26,32.98
2012-07-27,35.25
2012-07-27,35.15
2012-07-28,35.15
2012-07-28,35.15
2012-07-30,35.15
2012-07-30,35.49
2012-07-31,32.52
2012-08-01,32.52
2012-08-02,32.52
2012-08-03,32.98
2012-08-04,33.61
2012-08-07,36.23
2012-08-09,36.23
2012-08-10,36.23
2012-08-11,36.23
2012-08-12,36.23
2012-08-13,36.23
2012-08-15,36.17
2012-08-15,36.07
2012-08-16,36.23
2012-08-31,36.29
2012-09-01,36.29
2012-09-02,36.29
2012-09-03,36.29
2012-09-04,36.29
2012-09-05,36.29
2012-09-10,34.87
2012-09-11,34.88
2012-09-12,36.29
2012-09-13,34.5
2012-09-14,34.78
2012-09-15,34.07
2012-09-19,34.14
2012-09-19,34.36
2012-09-20,34.67
2012-09-21,34.99
2012-09-22,35.31
2012-09-23,34.08
2012-09-24,33.99
2012-10-02,32.43
2012-10-03,32.82
2012-10-05,33.99
2012-10-05,32.74
2012-10-06,33.3
2012-10-07,33.99
2012-10-08,33.99
2012-10-09,33.19
2012-10-10,33.25
2012-10-11,33.4
2012-10-16,32.85
2012-10-17,32.85
2012-10-18,33.99
2012-10-18,33.99
2012-10-19,33.99
2012-10-23,33.22
2012-10-24,32.87
2012-10-25,33.4
2012-10-26,33.4
2012-10-28,33.61
2012-10-29,31.36
2012-10-31,30.63
2012-11-01,33.29
2012-11-02,33.61
2012-11-04,32.85
2012-11-06,33.61
2012-11-06,31.96
2012-11-07,32.51
2012-11-09,32.66
2012-11-10,33.61
2012-11-11,33.61
2012-11-12,33.61
2012-11-12,32.54
2012-11-12,32.54
2012-11-12,32.54
2012-11-12,32.54
2012-11-13,32.54
2012-11-13,32.06
2012-11-13,32.06
2012-11-14,32.06
2012-11-15,32.41
