Time,Price
2012-06-01,12.88
2012-06-04,12.88
2012-06-05,12.88
2012-06-07,12.89
2012-06-08,12.83
2012-06-08,12.42
2012-06-09,12.32
2012-06-10,12.42
2012-06-11,12.42
2012-06-13,12.47
2012-06-13,12.47
2012-06-14,12.88
2012-06-16,12.88
2012-06-19,12.89
2012-06-21,12.74
2012-06-22,12.89
2012-06-29,12.89
2012-07-04,12.89
2012-07-05,12.89
2012-07-06,12.89
2012-07-07,12.89
2012-07-14,12.89
2012-07-15,12.89
2012-07-17,12.89
2012-07-17,12.89
2012-07-18,12.89
2012-07-19,12.05
2012-07-20,12.88
2012-07-25,12.88
2012-07-26,12.88
2012-07-27,12.88
2012-07-28,12.88
2012-07-29,12.88
2012-07-31,12.89
2012-07-31,12.88
2012-08-02,15.4
2012-08-03,15.3
2012-08-04,12.88
2012-08-04,11.62
2012-08-05,12.88
2012-08-06,12.88
2012-08-08,12.88
2012-08-10,12.88
2012-08-10,12.88
2012-08-11,12.88
2012-08-12,12.88
2012-08-14,15.22
2012-08-14,15.3
2012-08-14,12.88
2012-08-24,12.89
2012-08-27,12.89
2012-08-28,12.89
2012-08-30,12.89
2012-08-31,12.89
2012-09-13,12.89
2012-09-14,12.89
2012-09-14,12.89
2012-09-18,12.89
2012-09-22,12.89
2012-09-25,12.89
2012-10-04,12.89
2012-10-07,12.89
2012-10-12,11.77
2012-10-14,12.88
2012-10-15,12.88
2012-10-17,12.62
2012-10-17,12.88
2012-10-18,12.88
2012-10-18,12.88
2012-10-20,12.88
2012-10-21,12.88
2012-10-23,12.88
2012-10-25,12.84
2012-10-26,12.76
2012-10-26,12.72
2012-10-26,12.8
2012-10-26,12.8
2012-10-27,12.76
2012-10-28,12.59
2012-10-29,12.88
2012-11-02,14.26
2012-11-03,15
2012-11-03,12.88
2012-11-05,15.02
2012-11-06,12.88
2012-11-06,12.88
2012-11-08,12.88
2012-11-08,15.02
2012-11-09,12.88
2012-11-10,12.88
2012-11-10,12.88
2012-11-11,12.88
2012-11-11,12.88
2012-11-12,12.88
2012-11-12,15.02
2012-11-12,15.02
2012-11-13,12.88
2012-11-13,12.88
2012-11-14,15.12
2012-11-14,14.52
2012-11-15,14.52
2012-11-15,15.13
2012-11-16,15.13
2012-11-16,16
2012-11-17,16
2012-11-17,16
2012-11-18,13.76
2012-11-18,13.76
2012-11-20,13.87
2012-11-21,13.87
2012-11-22,13.87
2012-11-22,10.41
2012-11-22,10.41
2012-11-23,10.41
2012-11-25,15.56
2012-11-28,15.7
2012-11-28,15.56
2012-11-29,15.56
2012-11-29,16.12
2012-11-29,16.13
2012-11-30,16.06
2012-12-01,15.52
2012-12-01,14.87
2012-12-03,16.89
2012-12-03,16.89
2012-12-03,16.89
2012-12-04,16.99
2012-12-05,16.99
2012-12-05,16.63
2012-12-06,16.99
2012-12-06,16.14
2012-12-07,16.99
2012-12-08,16.99
2012-12-09,16.89
2012-12-09,16.89
2012-12-14,15.84
2012-12-15,16.4
2012-12-15,16.54
2012-12-16,16.13
2012-12-16,14.78
2012-12-17,13.77
2012-12-18,13.54
2013-01-03,16.99
2013-01-03,16.3
2013-01-03,16.3
2013-01-05,16.3
2013-01-09,15.64
2013-01-11,16.98
2013-01-12,16.99
2013-01-12,15.64
2013-01-12,16.99
2013-01-15,16.43
2013-01-20,16.3
2013-01-25,16.3
2013-02-01,16.4
2016-11-25,16.99
2016-11-26,16.99
