Time,Price
2012-06-01,15.12
2012-06-17,15.41
2012-06-25,15.15
2012-06-26,15.12
2012-06-29,15.15
2012-07-01,15.41
2012-07-03,14.76
2012-07-04,14.44
2012-07-04,14.23
2012-07-10,17.2
2012-07-10,17.33
2012-07-15,17.31
2012-07-16,17.33
2012-07-18,17.31
2012-07-19,17.31
2012-07-20,17.33
2012-07-22,16.13
2012-07-22,15.79
2012-07-22,14.48
2012-07-23,14.23
2012-07-26,13.2
2012-07-26,14.11
2012-07-31,14.11
2012-07-31,17.18
2012-08-01,17.18
2012-08-01,16.13
2012-08-02,14.48
2012-08-02,13.55
2012-08-03,13.49
2012-08-04,13.33
2012-08-05,13.49
2012-08-06,13.33
2012-08-09,13.49
2012-08-09,13.33
2012-08-10,13.49
2012-08-10,13.49
2012-08-11,17.1
2012-08-11,17.33
2012-08-13,17.33
2012-08-15,17.33
2012-08-16,19.3
2012-08-16,19.25
2012-08-17,15.78
2012-08-17,15.09
2012-08-17,17.78
2012-08-18,17.96
2012-08-18,18
2012-08-18,18
2012-08-19,18
2012-08-19,18.01
2012-08-20,18
2012-08-20,18
2012-08-21,17.91
2012-08-21,17.91
2012-08-22,18
2012-08-22,18.16
2012-08-22,18.16
2012-08-22,18.01
2012-08-22,18.01
2012-08-23,18
2012-08-23,18.16
2012-08-24,18.16
2012-08-25,18.16
2012-08-26,18.16
2012-08-26,18.16
2012-10-16,20.99
2012-10-19,20.47
2012-10-19,18.76
2012-10-20,17.56
2012-10-21,14.53
2012-10-23,17.07
2012-10-23,16.79
2012-10-24,15.71
2012-10-25,16.13
2012-10-28,17.79
2012-10-29,18.16
2012-10-30,17.86
2012-10-30,17.8
2012-10-30,18.16
2012-10-31,17.8
2012-10-31,18.16
2012-11-01,17.86
2012-11-02,17.8
2012-11-02,18.16
2012-11-11,18.16
2012-11-13,18.16
2012-11-25,14.53
2012-11-25,14.36
2012-11-27,16.35
2012-11-28,16.49
2012-11-29,16.63
2012-11-30,16.78
2012-11-30,16.78
2012-12-01,16.93
2012-12-01,16.93
2012-12-02,17.08
2012-12-02,17.38
2012-12-02,17.69
2012-12-03,17.85
2012-12-03,18.01
2012-12-03,18.16
2012-12-04,18.16
2012-12-06,18.16
2012-12-09,15.19
2013-03-01,15.18
2013-03-01,15.12
2013-03-02,15.19
2013-03-19,19.98
2013-03-19,18.11
2013-03-19,18.32
2013-03-20,18.32
2013-03-20,18.43
2013-03-21,18.65
2013-03-25,20.99
2013-10-28,20.99
2013-11-01,20.18
2013-11-03,15.5
2013-11-07,14.45
2013-11-10,15.4
2013-11-13,15.27
2013-11-20,15.27
2013-11-27,15.27
2013-11-30,15.27
2013-12-03,16.74
2013-12-06,16.74
2013-12-06,16.74
2013-12-09,17.2
2013-12-12,15.99
2013-12-16,17.5
2013-12-16,17.5
2013-12-21,17.2
2013-12-30,16.33
2014-01-07,16.2
2014-01-13,17.2
2014-01-19,17.2
2014-01-22,17.2
2014-02-07,16.34
2014-02-07,16.34
2014-02-13,16.56
2014-02-16,17.2
2014-02-23,16.79
2014-02-25,16.79
2014-02-25,16.79
2014-02-26,16.75
2014-03-05,16.7
2014-03-08,16.79
2014-03-13,17.2
2014-05-05,16.55
2014-05-05,16.35
2014-05-09,13.32
2014-05-09,13.23
2014-05-13,17.11
2014-05-13,17.44
2014-05-17,17.3
2014-05-20,16.71
2014-05-26,16.71
2014-06-07,16.5
2014-06-07,16.21
2014-06-19,16.2
2014-07-28,16.49
2014-07-31,16.2
2014-08-04,16.49
2014-08-04,16.2
2014-08-19,15.99
2014-08-28,16.13
2014-08-28,16.2
2014-09-10,16.19
2014-09-22,18.41
2014-09-22,18.61
2014-09-26,19.2
2014-10-01,19.02
2014-10-01,19.12
2014-10-05,18.93
2014-10-05,19.18
2014-10-09,18.3
2014-10-13,18.76
2014-10-23,17.75
2014-10-24,17.19
2014-11-01,17.7
2014-11-07,17.69
2014-11-07,12.16
2014-11-11,17.34
2014-11-19,17.59
2014-11-23,15.95
2014-11-23,15.95
2014-11-27,15.95
2014-11-30,15.93
2014-12-04,15.89
2014-12-23,15.69
2014-12-23,15.49
2015-01-01,15.89
2015-11-03,16.28
2015-11-06,16.25
2015-11-11,15.99
2015-11-14,15.35
2016-01-29,15.99
2016-02-06,15.99
2016-02-11,15.97
2016-02-17,15.19
2016-02-22,16.84
2016-02-29,16.42
2016-03-15,16.22
2016-03-19,17.28
2016-03-23,17.28
2016-03-26,17.28
2016-03-29,17.28
2016-04-01,16.84
2016-04-01,15.93
2016-04-08,17.28
2016-05-17,20.99
2016-09-18,20.99
2016-11-24,20.99
