Time,Price
2012-06-01,28.38
2012-06-02,28.29
2012-06-03,28.28
2012-06-04,28.23
2012-06-04,28.19
2012-06-06,28.13
2012-06-07,28.08
2012-06-08,28.04
2012-06-08,28.04
2012-06-09,28.04
2012-06-10,28.39
2012-06-13,28.39
2012-06-13,28.35
2012-06-14,28.31
2012-06-15,28.27
2012-06-17,28.23
2012-06-18,28.39
2012-06-21,28.35
2012-06-22,28.31
2012-06-23,28.27
2012-06-25,28.19
2012-06-26,28.15
2012-06-26,28.15
2012-06-27,28.11
2012-06-28,28.11
2012-06-28,28.07
2012-06-29,28.03
2012-06-30,27.99
2012-07-01,28.21
2012-07-02,28.21
2012-07-03,28.39
2012-07-06,28.35
2012-07-06,28.35
2012-07-07,28.31
2012-07-08,28.27
2012-07-09,28.23
2012-07-10,28.19
2012-07-11,28.15
2012-07-12,28.15
2012-07-12,28.37
2012-07-13,28.39
2012-07-16,28.39
2012-07-18,28.39
2012-07-18,28.21
2012-07-23,28.21
2012-07-25,28.21
2012-07-27,28.21
2012-07-29,28.21
2012-07-30,28.48
2012-07-31,28.44
2012-08-04,28.66
2012-08-05,28.89
2012-08-06,28.72
2012-08-07,28.69
2012-08-07,28.62
2012-08-08,28.85
2012-08-09,29.02
2012-08-15,28.98
2012-08-18,29.02
2012-08-21,30.06
2012-08-25,32.75
2012-09-29,34.58
2012-10-02,33.08
2012-10-03,32.81
2012-10-04,33.34
2012-10-05,33.09
2012-10-05,33
2012-10-06,32.91
2012-10-07,32.44
2012-10-07,32.34
2012-10-08,32.19
2012-10-08,32.05
2012-10-08,32.11
2012-10-09,32.21
2012-10-09,32.12
2012-10-10,31.73
2012-10-10,31.78
2012-10-11,31.89
2012-10-11,31.76
2012-10-12,31.67
2012-10-16,31.31
2012-10-16,31.27
2012-10-16,31.22
2012-10-17,31.22
2012-10-17,31.03
2012-10-18,30.93
2012-10-18,29.56
2012-10-19,29.51
2012-10-24,29.06
2012-10-25,27.25
2012-10-26,29.07
2012-10-29,30.7
2012-10-31,29.07
2012-11-01,29.51
2012-11-01,29.73
2012-11-01,30.42
2012-11-02,30.7
2012-11-02,27.25
2012-11-03,29.07
2012-11-04,31.28
2012-11-06,30.77
2012-11-07,30.75
2012-11-07,30.75
2012-11-09,27.74
2012-11-09,27.74
2012-11-10,28
2012-11-10,31.82
2012-11-12,31.82
2012-11-13,31.28
2012-11-14,31.82
2012-11-20,31.02
2012-11-20,29.76
2012-11-22,30.09
2012-11-24,30.09
2012-11-24,31.82
2012-11-27,28.26
2012-11-28,29.88
2012-11-29,30.44
2012-11-29,31.3
2012-11-29,31.59
2012-11-30,32.49
2012-11-30,32.91
2012-12-01,33.33
2012-12-02,33.12
2012-12-03,34.79
2012-12-04,33.31
2016-11-26,33.31
2014-06-09,75.50
2014-06-12,73.99
2014-07-15,74.99
2014-08-02,55.24
2014-08-16,69.99
2014-09-02,69.62
2014-09-26,48.99
2014-10-03,44.09
2014-10-07,48.99
2014-10-22,44.39
2014-11-03,55.97
2014-11-03,54.95
2014-11-07,55.97
2014-11-15,54.95
2014-11-20,54.99
2014-12-18,69.49
2015-03-20,69.49
2015-03-30,69.49
2015-04-22,84.82
2015-04-22,84.89
2015-06-21,75.00
2015-07-02,65.00
2015-07-22,55.87
2015-08-17,69.99
2015-10-13,69.89
2015-10-18,69.90
2015-11-08,49.99
2016-03-16,49.45
2016-03-20,50.94
2016-03-21,49.35
2016-03-22,48.75
2016-03-22,48.85
2016-03-24,47.55
2016-03-30,47.25
2016-04-07,43.15
2016-05-22,44.99
2016-06-05,48.99
2016-06-08,41.04
2016-08-06,38.27
2016-08-23,39.62
2016-10-30,45.54
2016-11-27,45.54
