Time,Price
2012-05-31,21.99
2012-06-11,20.96
2012-06-18,21.99
2012-06-27,15.99
2012-07-04,21.94
2012-07-24,21.94
2012-07-24,21.33
2012-07-25,21.94
2012-08-06,21.99
2012-08-26,20.13
2012-09-29,21.99
2012-10-04,21.99
2012-10-23,21.99
2012-11-02,21.99
2012-11-03,21.99
2012-11-08,21.99
2012-11-10,21.77
2012-11-10,21.99
2012-11-13,21.99
2012-11-16,20.9
2012-11-19,18.69
2012-12-11,21.99
2012-12-16,20.45
2012-12-21,21.99
2013-01-24,21.99
2013-07-09,21.99
2013-07-12,21.99
2013-07-15,20.37
2013-07-18,21.99
2013-07-21,21.99
2013-09-23,21.99
2013-10-05,21.99
2013-10-12,21.99
2013-11-21,21.99
2013-12-07,21.99
2013-12-13,21.99
2014-01-04,21.99
2014-01-28,21.99
2014-02-04,21.99
2014-02-08,21.99
2014-02-20,21.99
2014-02-21,21.99
2014-02-25,21.99
2014-03-06,21.99
2014-03-11,21.99
2014-03-14,21.99
2014-04-06,21.99
2014-04-12,21.77
2014-04-22,21.99
2014-05-17,21.99
2014-05-22,21.99
2014-05-23,21.99
2014-06-08,21.99
2014-06-21,21.99
2014-06-24,21.99
2014-07-25,21.99
2014-07-31,21.99
2014-08-28,19.2
2014-08-29,19.2
2014-08-31,21.99
2014-09-04,21.99
2014-09-11,21.99
2014-09-13,21.99
2014-09-15,21.99
2014-09-27,21.99
2014-10-06,21.99
2014-10-24,21.99
2014-10-26,21.99
2014-11-03,21.99
2014-11-05,21.99
2014-11-07,21.99
2014-11-09,21.99
2014-11-11,21.99
2014-11-12,21.99
2014-11-20,21.99
2014-11-20,21.99
2014-11-21,21.99
2014-11-23,21.99
2014-11-25,21.99
2014-11-27,21.99
2014-11-27,21.99
2014-11-29,21.99
2015-03-31,21.99
2015-04-04,21.99
2015-04-11,21.99
2015-05-09,21.99
2015-05-12,21.99
2015-05-16,21.99
2015-05-19,21.99
2015-05-22,21.99
2015-05-28,21.99
2015-05-31,21.99
2015-06-03,21.99
2015-06-04,21.99
2015-06-07,21.99
2015-06-10,21.99
2015-06-10,21.99
2015-06-14,21.99
2015-06-17,21.99
2015-06-20,21.99
2015-06-21,21.99
2015-06-24,21.99
2015-06-24,21.99
2015-06-27,21.99
2015-06-28,21.99
2015-07-04,21.99
2015-07-07,21.99
2015-07-09,21.99
2015-07-10,21.99
2015-07-13,21.99
2015-07-17,21.99
2015-07-18,21.99
2015-07-21,21.99
2015-07-24,21.99
2015-07-25,21.99
2015-08-11,21.99
2015-08-20,21.99
2015-08-26,21.99
2015-09-26,21.99
2015-11-03,21.99
2015-11-10,21.99
2015-11-14,21.99
2015-11-21,21.99
2015-11-24,21.99
2015-11-28,19.99
2015-11-28,20.15
2015-12-02,21.99
2015-12-16,21.99
2015-12-17,21.99
2015-12-17,21.99
2016-01-15,21.99
2016-02-22,21.99
2016-02-29,21.99
2016-04-15,21.99
2016-05-13,21.99
