Time,Price
2012-06-12,21.27
2012-07-01,23.99
2012-07-03,18.77
2012-07-05,23.99
2012-07-06,23.99
2012-07-11,23.99
2012-07-11,21.81
2012-07-12,22.89
2012-07-12,23.99
2012-07-18,21.27
2012-07-20,22.05
2012-07-21,22.45
2012-07-21,23.07
2012-07-22,23.49
2012-07-22,23.99
2012-07-30,23.77
2012-08-05,23.99
2012-08-10,23.85
2012-08-11,23.16
2012-09-18,23.99
2012-09-21,23.73
2012-09-22,23.16
2012-10-05,23.16
2012-10-07,22.9
2012-10-08,23.16
2012-10-10,23.16
2012-10-12,23.16
2012-10-18,22.41
2012-10-19,22.19
2012-10-23,20.71
2012-10-28,21.68
2012-10-29,21.68
2012-10-30,22.39
2012-11-04,22.59
2012-11-06,23.16
2012-11-07,21.55
2012-11-09,21.39
2012-11-09,21.55
2012-11-14,20.77
2012-11-15,20.77
2012-11-15,22.16
2012-11-16,22.19
2012-11-17,20.69
2012-11-28,19.62
2012-11-29,19.62
2012-12-01,20.77
2012-12-02,20.96
2012-12-02,18.73
2012-12-03,19.62
2012-12-04,20.96
2012-12-05,21.82
2012-12-05,22.15
2012-12-06,22.15
2012-12-07,22.15
2012-12-07,22.59
2012-12-09,21.65
2012-12-10,21.55
2012-12-10,19.24
2012-12-12,17.07
2012-12-15,17.76
2012-12-16,17.55
2012-12-17,17.56
2012-12-18,16.66
2012-12-19,16.29
2012-12-19,16.18
2012-12-20,17.71
2012-12-21,19.17
2012-12-22,21.14
2012-12-23,21.14
2012-12-28,21.14
2013-01-02,22.15
2013-01-11,22.15
2013-01-14,22.15
2013-01-15,22.96
2013-01-16,20.45
2013-01-23,22.15
2013-01-30,22.96
2013-02-08,23.99
2013-02-15,23.11
2013-02-25,20.45
2013-03-06,22.15
2013-03-08,22.15
2013-03-10,22.15
2013-03-11,21.34
2013-03-13,22.15
2013-03-18,21.91
2013-03-25,20.45
2013-04-02,21.91
2013-05-01,21.47
2013-05-01,21.31
2013-05-01,21.23
2013-05-02,21.07
2013-05-02,21.07
2013-05-03,21.07
2013-05-03,21.66
2013-05-04,21.47
