Time,Price
2012-06-02,19.88
2012-06-10,18.19
2012-06-17,19.88
2012-06-19,18.27
2012-06-19,18.26
2012-06-20,19.88
2012-07-08,18.19
2012-07-15,19.88
2012-07-18,19.88
2012-07-18,18.23
2012-07-19,19.88
2012-07-19,19.88
2012-07-20,14.91
2012-07-22,19.88
2012-07-23,19.88
2012-08-04,19.88
2012-08-08,19.88
2012-08-08,19.88
2012-08-09,19.88
2012-08-11,19.88
2012-08-12,19.88
2012-08-12,19.88
2012-08-13,19.88
2012-08-17,17.89
2012-08-17,19.88
2012-08-18,19.88
2012-08-19,18.19
2012-08-20,18.19
2012-08-23,18.19
2012-08-27,19.88
2012-08-30,19.88
2012-09-02,19.88
2012-09-03,19.88
2012-09-10,17.48
2012-09-11,19.88
2012-09-14,19.88
2012-09-15,19.89
2012-09-28,19.89
2012-10-19,19.89
2012-10-23,19.89
2012-10-30,19.89
2012-11-06,19.89
2012-11-06,17.15
2012-11-07,19.88
2012-11-10,19.88
2012-11-12,19.88
2012-11-13,19.88
2012-11-14,19.88
2012-11-14,19.88
2012-11-15,19.88
2012-11-15,19.88
2012-11-16,18.95
2012-11-23,19.89
2012-12-02,19.82
2012-12-05,19.18
2012-12-07,19.16
2012-12-08,19.16
2012-12-10,18.19
2012-12-10,18.19
2012-12-10,18.19
2012-12-10,18.19
2012-12-11,18.19
2012-12-13,19.16
2012-12-14,19.16
2012-12-14,19.16
2012-12-16,19.16
2012-12-16,19.16
2012-12-17,19.18
2012-12-20,19.99
2012-12-20,19.99
2012-12-21,19.99
2012-12-22,19.99
2013-01-02,16.19
2013-01-04,16.19
2013-01-07,19.99
2013-01-10,19.88
2013-01-15,19.84
2013-01-16,19.88
2013-01-20,19.88
2013-01-21,19.88
2013-01-21,19.88
2013-01-22,16.35
2013-01-22,16.35
2013-01-23,16.35
2013-01-23,19.88
2013-01-31,19.88
2013-02-12,19.88
2013-02-12,19.88
2013-02-16,19.88
2013-02-18,19.88
2013-02-18,19.88
2013-02-19,18.35
2013-02-20,19.27
2013-02-20,19.88
2013-02-24,18.35
2013-02-28,18.35
2013-03-03,18.51
2013-03-05,17.29
2013-03-06,19.88
2013-03-26,17.44
2013-03-29,17.56
2013-03-30,19.88
2013-04-05,17.56
2013-04-06,19.88
2013-04-10,19.35
2013-04-13,19.88
2013-04-14,18.35
2013-04-18,16.44
2013-04-28,19.54
2013-04-28,19.88
2013-04-29,18.98
2013-05-01,16.44
2013-05-02,18.98
2013-05-07,18.98
2013-05-08,18.98
2013-05-11,18.68
2013-05-11,18.5
2013-05-12,18.51
2013-05-12,18.35
2013-05-18,18.35
2013-05-19,18.52
2013-05-21,18.51
2013-05-31,18.62
2013-06-01,18.98
2013-06-04,18.98
2013-06-04,18.98
2013-06-05,18.26
2013-06-07,18.98
2013-06-07,18.98
2013-06-07,18.98
2013-06-08,18.98
2013-06-09,18.98
2013-06-10,18.98
2013-07-18,18.98
2013-07-27,18.98
2013-07-30,18.98
2013-07-31,18.98
2013-08-02,18.98
2013-08-06,18.52
2013-08-09,18.52
2013-08-12,18.56
2013-08-12,18.98
2013-08-28,18.98
2013-08-31,18.98
2013-09-01,18.98
2013-09-03,18.98
2013-09-13,15
2013-09-16,15
2013-09-22,15
2013-09-28,15
2013-09-30,18.98
2013-10-08,18.98
2013-10-13,18.98
2013-10-16,15.99
2013-10-20,13.99
2013-10-20,13.99
2013-10-26,13.99
2013-10-29,13.99
2013-11-04,13.99
2013-11-21,13.99
2013-11-22,13.99
2013-11-24,11.99
2013-11-24,13.04
2013-11-25,13.04
2013-11-28,15
2013-11-30,11.97
2013-12-03,11.99
2013-12-04,14.99
2013-12-04,14.58
2013-12-05,14.99
2013-12-07,14.58
2013-12-10,14.58
2013-12-13,14.58
2013-12-14,14.99
2013-12-16,19.99
2013-12-21,19.99
2013-12-22,19.99
2013-12-28,19.99
2013-12-29,19.99
2013-12-31,19.99
2014-01-01,15
2014-01-03,19.99
2014-01-16,19.88
2014-01-19,19.88
2014-01-20,19.88
2014-01-22,19.88
2014-01-28,19.71
2014-01-29,19.71
2014-01-31,19.52
2014-02-04,19.52
2014-02-05,19.52
2014-02-07,19.52
2014-02-07,19.52
2014-02-08,19.52
2014-02-10,14.99
2014-02-13,19.52
2014-02-14,14.99
2014-02-17,19.71
2014-02-20,19.74
2014-02-21,19.99
2014-02-23,19.88
2014-02-24,19.74
2014-02-27,19.74
2014-03-02,19.74
2014-03-05,19.74
2014-03-06,19.74
2014-10-02,19.88
2014-11-04,14.99
2014-11-24,14.99
2014-11-24,14.99
2014-11-27,14.99
2014-11-28,14.99
2014-12-01,14.99
2014-12-05,14.99
2014-12-05,14.99
2015-08-22,15
2015-09-04,15.59
2015-09-08,15
2015-09-09,15
2015-09-15,15
2015-09-19,15
2015-09-26,15
2015-11-04,14.99
2015-11-11,14.99
2015-11-15,14.99
2015-11-22,14.99
2015-11-25,14.83
2015-12-02,14.83
2015-12-10,18.98
2015-12-14,16.99
2016-01-03,16.99
2016-01-08,16.99
2016-01-31,14.99
2016-02-01,14.99
2016-02-14,14.89
2016-02-27,13
2016-03-16,14.99
2016-03-30,14.52
2016-04-09,14.99
2016-05-10,13
2016-05-31,11.47
2016-06-01,10.85
2016-06-04,10.85
2016-09-19,13
2016-11-26,13
