Time,Price
2012-06-02,34.97
2012-06-03,34.97
2012-06-05,34.5
2012-06-08,34.13
2012-06-13,33.11
2012-06-15,33.11
2012-06-16,33.11
2012-06-17,34.97
2012-06-19,34.97
2012-06-19,34.97
2012-06-22,31.59
2012-06-28,31.59
2012-06-29,33.98
2012-06-29,31.59
2012-07-13,33.98
2012-07-17,33.69
2012-07-21,33.26
2012-07-22,33.69
2012-07-23,33.34
2012-07-24,33.69
2012-07-25,33.34
2012-08-01,33.26
2012-08-02,30.26
2012-08-03,33.26
2012-08-04,33.31
2012-08-06,33.34
2012-08-09,33.07
2012-08-09,33.34
2012-08-17,33.69
2012-08-17,33.34
2012-08-19,29.46
2012-08-24,29.46
2012-08-25,29.46
2012-08-27,29.49
2012-08-28,29.49
2012-08-29,29.49
2012-08-31,29.49
2012-09-11,29.49
2012-09-12,29.49
2012-09-13,29.49
2012-09-28,29.08
2012-09-28,29.49
2012-10-02,29.49
2012-10-02,29.49
2012-10-04,29.49
2012-10-05,29.49
2012-10-06,29.49
2012-10-11,29.49
2012-10-14,30.68
2012-10-16,34.15
2012-10-16,34.15
2012-10-18,33.3
2012-10-25,33.39
2012-10-29,33.39
2012-11-07,34.15
2012-11-10,33.39
2012-11-12,33.39
2012-11-13,33.39
2012-11-13,34.15
2012-11-15,33.39
2012-11-21,25.99
2012-11-25,33.39
2012-11-27,34.99
2012-12-02,34.99
2012-12-03,23.49
2012-12-04,34.99
2012-12-07,28.38
2012-12-09,28.38
2012-12-11,32.6
2012-12-12,34.97
2012-12-14,29.97
2012-12-15,29.26
2012-12-17,29.97
2012-12-17,28.99
2012-12-19,24.64
2012-12-20,29.97
2012-12-20,29.97
2012-12-26,34.97
2012-12-26,33.8
2012-12-28,33.72
2012-12-31,33.75
2013-01-01,33.67
2013-01-05,31.03
2013-01-06,33.75
2013-01-09,33.67
2013-01-11,33.75
2013-01-12,32.83
2013-01-16,33.1
2013-01-17,32.25
2013-01-18,32.01
2013-01-19,31.76
2013-01-20,31.52
2013-01-21,31.64
2013-01-24,30.55
2013-01-31,29.93
2013-02-01,30.14
2013-02-02,29.1
2013-02-08,27.24
2013-02-08,26.77
2013-02-09,26.73
2013-02-12,30.12
2013-02-13,29.93
2013-02-14,28.51
2013-02-17,28.51
2013-02-22,26.51
2013-02-25,22.49
2013-02-28,22.49
2013-02-28,22.49
2013-03-04,26.51
2013-03-05,28.88
2013-03-07,28.88
2013-03-11,29.36
2013-03-13,29.36
2013-03-14,29.36
2013-03-17,28.49
2013-03-18,22.49
2013-03-25,31.94
2013-03-26,28.88
2013-03-29,28.88
2013-03-29,28.88
2013-04-05,28.88
2013-04-06,28.88
2013-04-06,28.88
2013-04-06,28.88
2013-04-12,28.88
2013-04-16,28.88
2013-04-17,28.88
2013-04-18,30.83
2013-04-22,30.82
2013-04-24,30.83
2013-04-24,30.83
2013-04-25,30.83
2013-05-01,30.82
2013-05-02,28.99
2013-05-06,28.99
2013-05-07,28.99
2013-05-10,28.99
2013-05-11,28.99
2013-05-16,28.99
2013-05-16,28.99
2013-05-17,28.88
2013-05-17,28.87
2013-05-18,26.95
2013-05-20,26.9
2013-05-21,28.88
2013-05-25,28.99
2013-05-26,28.88
2013-05-28,23.49
2013-05-28,23.49
2013-05-29,23.49
2013-05-30,23.49
2013-06-02,27.6
2013-06-03,26.48
2013-06-04,23.49
2013-06-05,23.49
2013-06-07,23.49
2013-06-07,23.49
2013-06-10,23.49
2013-06-10,23.49
2013-06-21,23.49
2013-06-27,23.49
2013-06-27,23.49
2013-07-19,23.49
2013-07-25,23.49
2013-07-28,23.49
2013-09-01,29.45
2013-09-04,29.77
2013-09-06,29.77
2013-10-17,32.62
2013-10-20,32.62
2013-10-23,32.62
2013-10-26,32.62
2013-11-02,32.62
2013-11-04,29.99
2013-12-04,32.59
