Time,Price
2012-06-02,16.28
2012-06-07,16.41
2012-06-08,16.41
2012-06-11,16.41
2012-06-13,16.41
2012-06-16,16.41
2012-06-21,16.41
2012-06-23,17.06
2012-06-23,16.96
2012-06-25,17.14
2012-06-26,16.73
2012-06-27,16.33
2012-06-27,16.67
2012-06-28,16.26
2012-06-28,17.33
2012-06-29,16.41
2012-06-29,16.85
2012-06-30,16.48
2012-06-30,16.13
2012-07-01,17.4
2012-07-02,16.89
2012-07-02,16.16
2012-07-03,17.4
2012-07-04,16.16
2012-07-04,16.16
2012-07-05,16.07
2012-07-07,16.07
2012-07-13,16.8
2012-07-13,17.31
2012-07-13,16.8
2012-07-14,16.44
2012-07-15,17.31
2012-07-16,16.44
2012-07-16,17.31
2012-07-17,16.8
2012-07-18,16.09
2012-07-18,16.44
2012-07-19,16.09
2012-07-20,16.8
2012-07-20,16.8
2012-07-21,16.09
2012-07-22,16.47
2012-07-22,16.12
2012-07-23,16.09
2012-07-23,16.8
2012-07-24,16.09
2012-07-24,16.8
2012-07-25,16.36
2012-07-25,16.36
2012-07-26,16.86
2012-07-27,16.86
2012-07-28,17.23
2012-07-28,16.62
2012-07-29,16.79
2012-07-29,16.39
2012-07-30,16.37
2012-07-31,16.35
2012-08-01,16.33
2012-08-02,16.31
2012-08-03,16.07
2012-08-04,17.59
2012-08-05,16.07
2012-08-06,16.19
2012-08-07,17.59
2012-08-09,16.18
2012-08-12,17.59
2012-08-13,17.59
2012-08-15,16.72
2012-08-16,17.21
2012-08-17,16.07
2012-08-18,16.19
2012-08-19,16.07
2012-08-19,16.07
2012-08-20,17.21
2012-08-21,17.59
2012-08-22,17.07
2012-08-24,16.35
2012-08-25,16.32
2012-08-26,16.07
2012-08-28,16.07
2012-08-30,16.71
2012-08-31,16.35
2012-09-01,17.58
2012-09-02,17.59
2012-09-03,17.07
2012-09-12,16.53
2012-09-14,16.14
2012-09-14,16.4
2012-09-20,18.2
2012-09-21,18.77
2012-09-22,18.93
2012-09-23,18.93
2012-09-28,18.99
2012-09-29,19.16
2012-10-02,18.96
2012-10-03,18.96
2012-10-05,18.96
2012-10-06,18.96
2012-10-06,18.96
2012-10-08,18.96
2012-10-09,18.96
2012-10-10,18.96
2012-10-16,18.96
2012-10-24,16.67
2012-10-29,17.64
2012-10-30,17.79
2012-10-31,17.94
2012-11-01,16.97
2012-11-02,17.75
2012-11-04,17.9
2012-11-06,19.16
2012-11-11,19.16
2012-11-12,19.16
2012-11-14,19.16
2012-11-16,19.16
2012-11-19,19.16
2012-11-21,19.12
2012-11-22,19.12
2012-11-24,19.16
2012-11-27,18.39
2012-11-29,19.16
2012-11-29,19.28
2012-12-01,19.28
2012-12-02,19.28
2012-12-03,19.28
2012-12-03,19.28
2012-12-06,19.28
2012-12-07,18.69
2012-12-07,18.1
2012-12-08,17.5
2012-12-08,16.9
2012-12-09,19.28
2012-12-11,19.17
2012-12-15,19.16
2012-12-17,19.16
2012-12-18,15.33
2012-12-20,18.24
2012-12-20,18.24
2012-12-20,18.76
2012-12-21,18.6
2012-12-22,18.43
2012-12-22,18.43
2012-12-22,18.95
2012-12-23,18.46
2013-01-06,19.99
2013-01-09,17.7
2013-01-10,19.41
2013-01-12,18.79
2013-01-13,18.12
2013-01-14,19.99
2013-01-29,19.99
2013-01-30,19.99
2013-01-31,19.99
2013-02-01,19.99
2013-02-07,19.99
2013-02-08,19.99
2013-02-10,17.15
2013-02-12,19.99
2013-02-13,19.99
2013-02-14,19.99
2013-02-23,19.99
2013-02-25,19.99
2013-03-04,19.99
2013-03-20,19.99
2013-03-26,19.99
2013-04-12,19.99
2013-04-17,15.42
2013-04-22,19.99
2013-04-23,19.99
2013-06-09,19.99
2013-06-17,19.99
2013-06-26,19.99
2013-06-30,17.7
2013-07-03,19.99
2013-07-18,16.01
2013-07-27,19.99
2013-07-30,13.37
2013-08-02,19.99
2013-09-03,19.99
2013-09-19,11.99
2013-09-20,18.92
2013-09-20,19.99
2013-09-21,19.99
2013-09-25,19.99
2013-10-02,19.99
2013-10-08,19.99
2013-10-12,19.86
2013-10-19,19.86
2013-10-23,19.86
2013-10-23,19.86
2013-10-26,19.99
2013-10-29,19.99
2013-11-01,19.99
2013-11-04,19.99
2013-11-07,20.21
2013-11-20,23.45
2013-11-24,23.94
2013-11-27,24.98
2013-11-30,24.98
2013-12-03,24.98
2013-12-06,24.98
2013-12-13,24.98
2013-12-16,24.98
2013-12-21,24.98
2013-12-24,24.98
2013-12-28,24.98
2013-12-31,24.98
2014-01-07,24.98
2014-01-16,24.98
2014-01-22,24.97
2014-01-31,20.5
2014-02-07,20.5
2014-03-05,20.51
2014-03-09,17.88
2014-03-11,16.99
2014-04-24,20.31
2014-05-03,19.21
2014-05-09,19.21
2014-05-15,19.21
2014-05-17,19.21
2014-05-19,19.21
2014-05-24,19.21
2014-07-11,19.21
2014-08-19,19.21
2014-08-31,19.72
2014-09-03,19.73
2014-09-15,19.06
2014-09-24,19.06
2014-09-27,19.06
2014-09-29,19.06
2014-10-01,19.06
2014-10-13,20.71
2014-10-15,21.21
2014-11-03,22.83
