Time,Price
2012-06-19,18.01
2012-07-27,18.23
2012-08-09,18.56
2012-08-10,18.56
2012-08-12,18.56
2012-08-13,18.56
2012-08-16,18.56
2012-08-16,18.56
2012-09-25,17.02
2012-10-12,17.02
2012-10-15,18.37
2012-10-18,18.37
2012-10-25,18.37
2012-11-09,18.56
2012-11-10,18.56
2012-11-11,18.56
2012-11-12,18.56
2012-11-14,18.56
2012-11-16,18.56
2012-11-24,18.16
2012-11-27,18.56
2012-11-29,18.56
2012-12-02,18.56
2012-12-12,18.56
2012-12-15,18.56
2012-12-15,18.56
2012-12-16,18.56
2012-12-19,18.56
2012-12-22,18.56
2012-12-22,18.56
2012-12-23,18.56
2012-12-24,18.56
2012-12-24,18.56
2013-01-05,18.56
2013-01-20,18.56
2013-01-21,22.7
2013-01-22,22.7
2013-01-23,23.64
2013-01-24,23.64
2013-01-25,24.99
2013-01-28,24.99
2013-02-09,24.99
2013-02-12,18.56
2013-02-13,24.99
2013-02-15,24.99
2013-02-16,24.99
2013-02-18,24.92
2013-02-21,24.92
2013-02-22,24.99
2013-02-28,18.56
2013-03-10,17.02
2013-03-10,16.3
2013-03-11,15.61
2013-03-13,15.85
2013-03-13,15.85
2013-03-13,18.56
2013-03-14,18.56
2013-03-18,18.56
2013-03-31,18.42
2013-04-02,18.42
2013-04-04,18.42
2013-04-05,16.79
2013-04-05,16.46
2013-04-08,16.46
2013-04-08,18.53
2013-04-11,18.42
2013-05-02,18.41
2013-05-06,18.42
2013-05-09,18.52
2013-05-09,18.51
2013-05-10,18.52
2013-05-11,18.3
2013-05-12,18.2
2013-05-13,18.07
2013-05-13,17.33
2013-05-14,16.58
2013-05-16,16.01
2013-05-22,18.19
2013-05-23,18.52
2013-05-25,18.51
2013-05-26,18.52
2013-05-28,18.4
2013-05-30,18.41
2013-05-31,18.08
2013-06-01,18.03
2013-06-02,17.94
2013-06-03,17.01
2013-06-05,17.93
2013-06-08,18.42
2013-07-28,18.42
2013-08-10,23.72
2013-08-22,23.78
2013-08-29,23.9
2013-09-07,20.3
2013-09-14,20.3
2013-09-20,20.34
2013-09-25,21.4
2013-09-30,20.34
2013-10-02,20.34
2013-10-19,21.4
2013-10-25,20.34
2013-10-26,21.4
2013-10-29,20.78
2013-11-01,19.03
2013-11-04,19.03
2013-11-07,17.91
2013-11-10,19.03
2013-11-11,17.87
2013-11-22,17.77
2013-11-24,17.98
2013-11-25,19.03
2013-11-26,19.03
2013-11-27,18.87
2013-12-03,18.79
2013-12-04,18.71
2013-12-06,18.55
2013-12-09,18.55
2013-12-10,18.39
2013-12-12,17.68
2013-12-15,24.48
2013-12-16,22.57
2013-12-21,24.99
2013-12-24,24.35
2013-12-30,16.46
2014-02-07,24.78
2014-02-14,20.77
2014-02-17,18.44
2014-02-20,18.86
2014-02-23,20.81
2014-02-27,20.81
2014-03-02,10.22
2014-03-13,24.99
2014-03-16,21.05
2014-03-17,19.88
2014-04-25,20.36
2014-05-02,19.88
2014-06-03,19.72
2014-06-24,17.53
2014-07-29,17.21
2014-09-23,19.24
2014-10-02,19.67
2014-11-04,19.82
2014-11-19,18.61
2014-11-20,15.51
2014-11-24,21.91
2014-11-26,21.64
2014-11-27,21.38
2014-11-30,21.21
2014-12-01,21.85
2014-12-04,22.5
2014-12-04,22.4
2014-12-23,21.09
2014-12-31,21.09
2015-01-26,22.5
2015-01-27,22.18
2015-02-14,21.02
2015-02-17,20.46
2015-02-23,18.06
2015-03-03,18.06
2015-04-08,18.01
2015-04-15,19.52
2015-04-25,18.15
2015-05-19,18.15
2015-05-28,18.15
2015-06-06,20.3
2015-08-12,16.85
2015-08-13,16.85
2015-08-21,16.85
2015-08-22,16.85
2015-08-30,16.85
2015-09-12,17.88
2015-09-14,18.79
2015-09-15,16.46
2015-09-17,17.88
2015-09-17,17.88
2015-09-19,18.25
2015-09-22,17.88
2015-09-26,17.23
2015-09-29,16.46
2015-11-04,16.42
2015-11-25,19.25
2015-11-28,19.2
2015-11-29,19.23
2015-12-01,19.19
2015-12-02,17.9
2015-12-10,19.38
2015-12-13,21.24
2015-12-14,21.26
2015-12-18,18.19
2015-12-21,20.55
2015-12-22,20.55
2016-01-01,20.51
2016-01-07,21.05
2016-01-14,20.58
2016-01-30,20.48
2016-02-14,19.97
2016-02-18,20.09
2016-02-27,20.15
2016-04-17,18.97
2016-04-26,17.9
2016-04-30,18.61
2016-05-10,18.54
2016-05-14,18.5
2016-05-24,18.44
2016-11-06,15.94
2016-11-08,15.94
2016-11-15,15.94
2016-11-18,15.94
2016-11-19,15.94
2016-11-19,15.94
2016-11-19,15.94
2016-11-19,15.94
2016-11-19,15.94
2016-11-20,15.94
2016-11-20,15.94
2016-11-20,21.71
2016-11-21,21.71
2016-11-22,21.71
2016-11-22,21.71
2016-11-24,21.71
2016-11-25,21.71
2016-11-26,21.71
2016-11-26,21.71
2016-11-26,21.71
2014-06-09,24.99
2014-10-31,19.21
2014-11-16,10.19
2014-11-17,22.29
2014-12-01,21.85
2014-12-11,21.09
2015-01-23,10.19
2015-01-23,20.87
2015-01-24,22.29
2015-04-07,18.01
2015-06-11,20.30
2015-07-29,18.13
2015-08-11,16.85
2015-10-27,16.42
2015-11-17,10.19
2015-11-20,16.42
2015-12-05,17.90
2015-12-09,19.38
2015-12-18,17.83
2016-01-17,21.05
2016-01-29,15.59
2016-04-14,18.97
2016-07-08,18.11
2016-07-12,18.77
2016-08-06,19.85
2016-10-23,19.08
2016-10-23,18.91
2016-10-24,18.93
2016-11-02,15.94
2016-11-17,13.69
2016-11-18,15.94
2016-11-20,20.14
2016-11-21,21.71
2016-11-27,21.71
