Time,Price
2012-09-11,20.99
2012-09-12,21.99
2012-09-13,21.99
2012-09-18,17.99
2014-06-09,45.99
2014-06-19,45.49
2014-06-21,45.99
2014-06-28,44.95
2014-07-06,45.99
2014-07-19,37.99
2014-07-20,45.99
2014-07-22,37.79
2014-07-23,45.99
2014-08-03,45.00
2014-08-03,45.99
2014-09-03,39.84
2014-09-03,45.99
2014-09-06,45.75
2014-09-07,45.99
2014-09-07,45.75
2014-09-08,45.99
2014-09-09,45.75
2014-09-11,45.99
2014-09-11,45.75
2014-09-12,45.99
2014-09-12,45.75
2014-09-13,45.99
2014-09-14,45.75
2014-09-15,45.99
2014-09-16,45.75
2014-09-16,44.99
2014-09-17,45.75
2014-09-18,45.99
2014-10-04,45.90
2014-10-04,45.99
2014-10-05,45.90
2014-10-06,45.99
2014-10-06,45.90
2014-10-06,45.99
2014-10-07,45.90
2014-10-07,39.99
2014-10-12,39.97
2014-10-12,39.99
2014-10-14,39.97
2014-10-14,39.99
2014-10-15,39.97
2014-10-15,48.94
2014-10-22,42.95
2014-10-22,49.99
2014-10-25,49.95
2014-10-25,50.49
2014-10-26,49.99
2014-11-12,55.00
2014-11-15,58.95
2014-11-17,58.93
2014-11-17,58.95
2014-11-25,58.00
2014-11-27,53.00
2014-11-27,53.00
2014-11-28,58.95
2014-11-29,58.39
2014-11-29,58.95
2014-11-30,58.39
2014-12-01,58.95
2014-12-01,58.39
2014-12-01,58.95
2014-12-03,58.86
2014-12-04,58.95
2014-12-04,54.99
2014-12-04,58.76
2014-12-05,58.95
2014-12-06,58.86
2014-12-06,58.88
2014-12-06,58.31
2014-12-07,58.95
2014-12-08,57.95
2014-12-09,47.99
2014-12-10,54.95
2014-12-18,55.99
2014-12-18,54.95
2014-12-18,44.99
2014-12-19,54.99
2014-12-19,54.94
2014-12-20,54.95
2014-12-20,54.94
2014-12-20,54.95
2014-12-21,54.94
2014-12-21,54.94
2014-12-21,54.95
2014-12-22,54.95
2014-12-22,49.93
2014-12-22,54.95
2014-12-23,54.95
2015-01-03,58.49
2015-01-05,58.95
2015-01-14,58.49
2015-01-14,58.95
2015-01-15,58.49
2015-01-16,58.95
2015-01-16,58.49
2015-01-21,52.12
2015-01-22,51.77
2015-01-22,51.69
2015-01-22,59.99
2015-01-23,52.12
2015-01-23,51.69
2015-01-26,49.99
2015-01-27,51.69
2015-01-28,51.77
2015-01-28,52.12
2015-01-29,64.95
2015-02-01,49.99
2015-02-04,64.95
2015-02-04,49.99
2015-02-06,64.95
2015-02-07,49.99
2015-02-08,64.95
2015-02-12,64.95
2015-02-13,59.87
2015-02-16,51.34
2015-02-18,55.77
2015-02-18,54.99
2015-02-18,55.77
2015-02-20,64.95
2015-02-25,55.77
2015-02-27,64.95
2015-02-28,55.95
2015-03-03,55.77
2015-03-05,68.95
2015-03-07,46.99
2015-03-07,68.95
2015-03-14,67.99
2015-03-14,68.95
2015-03-22,64.68
2015-03-23,59.95
2015-03-23,59.99
2015-03-24,59.97
2015-03-25,64.88
2015-03-25,59.95
2015-03-25,64.88
2015-03-26,59.95
2015-03-27,59.99
2015-03-29,64.88
2015-03-29,59.95
2015-03-29,64.88
2015-03-30,59.95
2015-03-30,68.95
2015-03-30,59.95
2015-04-01,59.99
2015-04-03,69.99
2015-04-13,59.99
2015-04-16,78.95
2015-04-16,86.99
2015-04-18,85.25
2015-04-18,85.31
2015-04-19,85.32
2015-04-19,85.30
2015-04-20,85.28
2015-04-20,85.32
2015-04-20,85.28
2015-04-21,85.26
2015-04-21,85.30
2015-04-22,85.26
2015-04-22,85.27
2015-04-22,86.99
2015-04-23,85.29
2015-04-23,85.28
2015-04-23,86.99
2015-04-24,85.34
2015-04-24,85.29
2015-04-25,84.32
2015-04-26,84.33
2015-04-26,84.30
2015-04-26,83.35
2015-04-27,84.99
2015-05-07,79.99
2015-05-09,80.94
2015-05-14,74.95
2015-05-14,70.95
2015-05-16,69.50
2015-05-16,70.95
2015-05-16,69.50
2015-05-16,70.95
2015-05-17,69.50
2015-05-17,70.95
2015-05-17,69.50
2015-05-18,70.95
2015-05-19,69.50
2015-05-20,70.95
2015-05-20,69.50
2015-05-21,70.95
2015-05-21,69.50
2015-05-22,70.95
2015-05-22,69.50
2015-05-23,70.95
2015-05-24,69.50
2015-05-24,70.95
2015-05-24,69.50
2015-05-25,70.95
2015-05-30,83.99
2015-05-30,69.99
2015-06-05,89.99
2015-06-26,99.99
2015-06-26,110.99
2015-06-29,99.99
2015-06-29,109.99
2015-06-30,79.77
2015-07-02,76.99
2015-07-02,75.99
2015-07-03,79.77
2015-07-04,75.99
2015-07-05,89.99
2015-07-11,110.99
2015-07-12,109.99
2015-07-12,110.99
2015-07-13,109.99
2015-07-13,110.99
