Time,Price
2012-06-03,18.22
2012-06-18,17.36
2012-06-19,17.11
2012-06-21,16.5
2012-06-22,17.73
2012-06-23,15.4
2012-08-10,15.34
2012-08-12,15.4
2012-08-13,15.34
2012-08-16,15.4
2012-08-18,15.34
2012-08-19,15.4
2012-08-21,15.34
2012-08-22,15.4
2012-08-27,15.2
2012-08-28,15.4
2012-09-10,15.2
2012-09-12,15.4
2012-10-16,15.02
2012-10-17,15.4
2012-11-24,15.13
2012-11-29,15.13
2012-12-05,15.13
2012-12-06,15.13
2012-12-07,15.13
2012-12-08,15.13
2012-12-10,15.13
2012-12-15,13.94
2012-12-16,13.73
2012-12-16,13.27
2012-12-18,15.4
2012-12-21,15.4
2013-01-06,15.2
2013-01-22,15.06
2013-01-23,14.74
2013-01-26,14.42
2013-01-27,14.42
2013-01-29,14.11
2013-01-30,14.11
2013-02-01,13.96
2013-02-07,15.4
2013-03-19,15.4
2013-03-20,15.69
2013-03-27,17.14
2013-03-29,16.62
2013-03-30,16.26
2013-03-31,16.14
2013-04-01,16.14
2013-05-02,16.13
2013-05-08,16.09
2013-05-09,15.98
2013-05-10,15.85
2013-05-11,15.73
2013-05-11,15.72
2013-05-12,15.59
2013-05-13,15.46
2013-05-14,13.31
2013-05-15,13.39
2013-05-25,16.12
2013-05-25,15.99
2013-05-26,15.85
2013-05-27,15.72
2013-05-28,15.58
2013-05-29,15.57
2013-05-29,15.43
2013-05-31,15.3
2013-05-31,14.27
2013-06-10,13.63
2013-06-11,16.14
2013-06-23,15.47
2013-07-03,15.2
2013-07-18,15.33
2013-07-20,15.36
2013-07-21,15.35
2013-07-23,15.34
2013-07-30,13.84
2013-08-06,13.63
2013-08-12,13.94
2013-09-03,13.63
2013-09-19,17.14
2013-09-22,17.21
2013-10-21,15.4
2013-10-26,15.4
2013-11-07,14.39
2013-11-09,15.4
2013-11-21,15.4
2014-09-11,19.99
2014-09-19,19.99
2014-10-24,13.03
2016-11-26,13.03
