Time,Price
2012-06-02,15.31
2012-06-04,15.12
2012-06-14,15.12
2012-06-22,15.08
2012-06-23,15.12
2012-06-26,15.12
2012-06-27,14.12
2012-06-28,14.12
2012-06-28,14.12
2012-06-29,14.12
2012-07-05,14.27
2012-07-06,15.12
2012-07-07,15.08
2012-07-11,14.12
2012-07-27,15.13
2012-07-28,15.13
2012-07-31,15.13
2012-08-03,15.13
2012-08-08,15.12
2012-08-09,15.13
2012-08-24,15.13
2012-09-02,14.98
2012-09-03,14.47
2012-09-04,15.13
2012-09-11,15.69
2012-09-11,15.81
2012-09-12,15.95
2012-09-15,15.45
2012-09-18,17.11
2012-09-21,16.99
2012-09-21,16.49
2012-09-22,16.13
2012-09-22,17.11
2012-10-04,17.64
2012-10-09,17.14
2012-10-11,17.14
2012-10-12,17.14
2012-10-16,18.14
2012-10-24,18.28
2012-10-29,17.94
2012-10-30,17.93
2012-10-31,17.92
2012-11-01,17.94
2012-11-01,18.43
2012-11-04,18.49
2012-11-06,17.99
2012-11-09,18.15
2012-11-11,17.99
2012-11-12,18.15
2012-11-13,18.99
2012-11-16,18.42
2012-11-17,18.99
2012-11-17,16.13
2012-11-18,15.7
2012-11-18,18.99
2012-11-19,13.99
2012-11-24,19.85
2012-11-25,18.82
2012-11-25,18.02
2012-11-27,17.94
2012-11-28,18.02
2012-11-30,17.61
2012-12-01,16.82
2012-12-01,18.02
2012-12-02,18.59
2012-12-03,18.35
2012-12-04,18.51
2012-12-04,18.59
2012-12-06,18.43
2012-12-06,14.27
2012-12-06,17.41
2012-12-07,17.72
2012-12-07,17.88
2012-12-08,18.36
2012-12-08,18.59
2012-12-09,18.59
2012-12-11,16.75
2012-12-13,19.85
2012-12-15,19.16
2012-12-16,19.85
2012-12-16,19.85
2012-12-20,19.99
2012-12-20,19.99
2012-12-25,18.62
2012-12-27,18.92
2013-01-03,19.99
2013-01-05,19.99
2013-01-09,19.85
2013-01-10,16.45
2013-01-11,18.48
2013-01-11,19.99
2013-01-19,19.99
2013-01-21,19.99
2013-01-22,19.99
2013-01-23,19.85
2013-01-24,19.99
2013-01-24,19.99
2013-01-25,19.99
2013-01-27,19.99
2013-01-29,19.53
2013-01-29,19.53
2013-01-30,19.99
2013-01-31,19.99
2013-02-01,19.41
2013-02-01,19.41
2013-02-02,19.49
2013-02-07,19.99
2013-02-07,18.15
2013-02-09,19.77
2013-02-10,19.99
2013-02-12,18.6
2013-02-12,16.92
2013-02-13,15.7
2013-02-15,19.56
2013-02-16,16.44
2013-02-16,15.7
2013-02-18,15.95
2013-02-19,19.14
2013-02-20,19.99
2013-02-20,19.99
2013-02-23,19.16
2013-03-01,19.16
2013-03-10,19.17
2013-03-10,19.99
2013-03-11,19.06
2013-03-12,19.06
2013-03-13,19.06
2013-03-17,19.16
2013-03-18,19.16
2013-03-19,19.06
2013-03-25,13.99
2013-03-27,13.99
2013-03-28,19.06
2013-03-28,19.06
2013-03-28,19.06
2013-03-29,18.23
2013-03-29,15.96
2013-03-30,15.95
2013-03-30,15.95
2013-03-30,15.95
2013-04-03,18.92
2013-04-03,18.36
2013-04-04,19.06
2013-04-10,19.06
2013-04-16,19.06
2013-04-18,18.97
2013-04-21,18.1
2013-04-22,16.94
2013-04-22,18.36
2013-04-24,16.94
2013-04-24,16.2
2013-04-24,15.96
2013-04-25,15.95
2013-04-26,18.92
2013-04-26,18.1
2013-04-27,15.95
2013-04-27,18.78
2013-04-28,16.08
2013-04-28,15.95
2013-04-29,19.06
2013-05-01,18.66
2013-05-02,18.66
2013-05-04,17.59
2013-05-04,16.59
2013-05-05,16.96
2013-05-05,16.1
2013-05-05,15.95
2013-05-06,18.25
2013-05-06,17.21
2013-05-07,15.95
2013-05-07,18.12
2013-05-08,15.98
2013-05-08,15.95
2013-05-09,15.95
2013-05-09,17.73
2013-05-10,16.84
2013-05-10,17.99
2013-05-11,16.84
2013-05-11,18.66
2013-05-19,18.15
2013-05-20,18.66
