Time,Price
2012-08-24,49.99
2012-08-29,42.34
2012-09-02,49.99
2012-09-11,49.99
2012-09-19,49.99
2012-09-21,44.97
2012-10-05,44.97
2012-10-07,44.97
2012-10-30,39.99
2012-11-01,39.97
2012-11-10,39.97
2012-11-12,39.97
2012-11-21,39.97
2012-11-21,39.99
2012-11-22,42.34
2012-11-24,49.99
2012-11-25,44.99
2012-11-29,44.99
2012-11-30,38.99
2012-12-05,38.99
2012-12-05,44.99
2012-12-07,39.99
2012-12-10,44.99
2012-12-11,44.99
2012-12-14,37.49
2012-12-15,33.74
2012-12-16,37.49
2012-12-16,44.99
2012-12-16,44.99
2012-12-16,44.99
2012-12-17,44.99
2012-12-17,44.99
2012-12-18,44.99
2012-12-21,44.97
2012-12-21,44.99
2012-12-22,44.97
2013-01-01,44.99
2013-01-11,44.99
2013-01-12,44.99
2013-01-12,44.99
2013-01-14,44.99
2013-01-15,44.97
2013-01-16,44.97
2013-01-23,44.97
2013-01-23,44.97
2013-01-31,44.97
2013-02-21,44.97
2013-02-22,44.97
2013-02-28,44.97
2013-03-01,44.97
2013-03-04,33.99
2013-03-09,33.99
2013-03-10,33.99
2013-03-11,30.37
2013-03-12,33.99
2013-03-13,24.99
2013-03-13,33.99
2013-03-14,39.1
2013-03-17,39.1
2013-03-18,35.74
2013-03-19,39.1
2013-03-22,39.1
2013-03-22,35.74
2013-03-23,39.1
2013-03-24,39.1
2013-03-25,30.37
2013-03-26,24.99
2013-03-27,35.74
2013-03-27,24.99
2013-03-29,35.74
2013-03-31,35.74
2013-03-31,39.19
2013-04-01,39.19
2013-04-02,44.97
2013-04-02,44.97
2013-04-03,44.97
2013-04-04,44.97
2013-04-05,44.97
2013-04-06,44.97
2013-04-16,37.49
2013-04-17,44.97
2013-04-18,42.49
2013-05-01,44.97
2013-05-03,44.97
2013-05-16,44.97
2013-05-26,44.97
2013-05-28,42
2013-06-02,42
2013-06-03,44.97
2013-06-03,44.97
2013-06-06,44.97
2013-06-06,44.97
2013-06-09,44.97
2013-06-09,44.97
2013-06-17,44.97
2013-06-20,44.97
2013-06-23,44.97
2013-06-26,44.97
2013-07-11,44.97
2013-07-13,44.97
2013-08-08,44.88
2013-08-10,44.79
2013-08-11,44.88
2013-08-13,44.74
2013-08-20,44.74
2013-08-24,40.83
2013-08-26,42.87
2013-08-28,40.83
2013-08-29,42.87
2013-08-30,40.83
2013-08-31,42.87
2013-09-01,42.87
2013-09-02,42.87
2013-09-03,39.9
2013-09-06,39.9
2013-09-08,42.93
2013-09-13,40.86
2013-09-14,40.83
2013-09-14,40.85
2013-09-15,42.79
2013-09-17,34.97
2013-09-25,34.97
2013-09-28,37.49
2013-09-30,44.88
2013-12-12,29.99
2013-12-17,39.88
2013-12-18,44.99
2013-12-20,39.88
2013-12-24,39.99
2013-12-26,45.14
2013-12-27,39.99
2014-01-02,39.88
2014-01-04,45.14
2014-01-06,45.14
2014-01-10,37.75
2014-01-17,35.14
2014-01-22,35.14
2014-02-01,39.88
2014-02-03,39.88
2014-02-04,39.88
2014-02-06,39.88
2014-02-06,39.88
2014-02-09,39.88
2014-02-10,49.99
2014-02-11,39.88
2014-02-15,39.99
2014-02-16,49.99
2014-02-18,49.99
2014-02-19,39.99
2014-02-22,49.99
2014-03-01,39.88
2014-03-07,39.99
2014-03-08,39.99
2014-03-10,39.99
2014-03-12,39.99
2014-06-20,39.99
2014-07-31,39.99
2014-08-04,39.99
2014-08-06,39.99
2014-08-18,39.99
2014-08-20,39.99
2014-08-27,39.99
2014-09-15,39.99
2015-01-21,41.84
2015-02-13,48.01
2015-02-17,48.01
2015-02-19,46.17
2015-02-20,49.99
2015-02-21,49.99
2015-02-22,49.99
2015-02-23,44.88
2015-02-23,49.99
2015-02-25,49.99
2015-02-25,49.99
2015-02-26,49.99
2015-03-02,47.81
2015-03-02,47.98
2015-03-09,47.98
2015-03-15,47.98
2015-03-20,47.98
2015-03-25,47.98
2015-03-31,47.48
2015-04-03,47.98
2015-04-14,47.98
2015-04-18,46.42
2015-04-21,47.98
2015-04-25,49.99
2015-05-02,49.99
2015-05-05,49.99
2015-05-07,49.99
2015-05-09,49.99
2015-05-12,49.99
2015-05-15,49.99
2015-05-18,49.99
2015-05-22,49.99
2015-05-27,49.99
2015-07-17,49.99
2015-07-29,49.99
2015-07-29,49.99
2015-08-01,49.99
2015-08-06,49.99
2015-08-22,49.99
2015-09-08,49.99
2015-09-09,49.99
2015-09-11,49.99
2015-09-15,49.99
2015-09-17,49.99
2015-09-23,49.99
