Time,Price
2012-07-21,39.99
2012-09-10,33.74
2012-09-18,39.99
2012-09-29,39.99
2012-10-02,39.99
2012-10-02,39.99
2012-10-05,39.99
2012-10-28,34.99
2012-11-11,34.99
2012-11-11,34.99
2012-11-15,34.97
2012-12-06,33.99
2012-12-09,34.97
2012-12-11,34.97
2012-12-23,39.99
2012-12-27,34.97
2012-12-28,34.97
2012-12-29,34.97
2012-12-30,39.99
2013-01-02,39.99
2013-01-03,34.97
2013-01-04,39.99
2013-01-05,39.99
2013-01-07,39.99
2013-01-09,39.99
2013-01-10,34.97
2013-01-12,34.97
2013-01-12,34.97
2013-01-13,34.97
2013-01-14,34.97
2013-01-15,34.97
2013-02-01,34.97
2013-02-07,31.48
2013-02-08,31.48
2013-02-11,31.48
2013-02-12,34.97
2013-02-13,34.97
2013-02-13,31.48
2013-02-15,31.48
2013-02-15,31.48
2013-02-16,31.48
2013-02-17,31.48
2013-02-18,31.48
2013-02-18,31.48
2013-02-19,31.48
2013-02-20,31.48
2013-02-22,34.97
2013-02-22,34.97
2013-02-23,34.97
2013-02-24,34.97
2013-02-27,34.97
2013-02-28,34.97
2013-03-01,34.97
2013-03-03,34.97
2013-03-04,31.49
2013-03-05,31.49
2013-03-06,31.49
2013-03-10,34.97
2013-03-10,34.97
2013-03-12,34.97
2013-03-13,31.49
2013-03-14,31.49
2013-03-17,31.49
2013-03-29,31.49
2013-03-31,31.49
2013-04-01,31.49
2013-04-01,31.49
2013-04-02,34.49
2013-04-04,34.49
2013-04-05,34.49
2013-04-12,34.49
2013-04-13,34.49
2013-04-13,34.49
2013-04-14,34.49
2013-04-15,34.49
2013-04-17,34.99
2013-04-18,34.99
2013-04-19,34.49
2013-04-22,34.49
2013-04-26,34.49
2013-04-27,34.49
2013-04-27,34.49
2013-04-28,34.49
2013-04-29,34.49
2013-05-01,26.24
2014-09-05,39.99
