Time,Price
2012-07-18,69.99
2012-07-31,69.99
2012-08-10,69.99
2012-08-16,69.99
2012-08-16,69.99
2012-08-19,69.99
2012-08-19,69.99
2012-08-20,69.99
2012-08-20,69.99
2012-09-11,69.99
2012-11-06,59.99
2012-11-07,59.99
2012-11-09,59.99
2012-11-09,59.97
2012-11-17,59.97
2012-11-18,59.97
2012-11-23,39.99
2012-11-24,49.99
2012-11-26,54.99
2012-11-27,49.99
2012-11-28,45.7
2012-11-28,49.99
2012-11-29,45.96
2012-11-29,49.99
2012-11-30,42.99
2012-12-03,49.99
2012-12-07,49.97
2012-12-07,42.97
2012-12-08,39.99
2012-12-09,44.99
2012-12-10,49.97
2012-12-11,44.97
2012-12-14,39.99
2012-12-14,42.99
2012-12-18,39.99
2012-12-18,44.97
2012-12-19,44.97
2012-12-19,44.97
2012-12-19,39.97
2012-12-19,39.97
2012-12-20,39.97
2012-12-26,49.52
2012-12-26,47.51
2012-12-26,47.5
2012-12-27,47.51
2012-12-28,53.07
2012-12-28,47.5
2012-12-28,52.74
2012-12-29,52.74
2012-12-29,56.57
2012-12-31,49.97
2013-01-03,49.97
2013-01-04,49.97
2013-01-06,49.97
2013-01-10,49.99
2013-01-11,49.99
2013-01-11,49.99
2013-01-11,49.99
2013-01-12,49.99
2013-01-12,49.99
2013-01-16,49.99
2013-01-17,49.99
2013-01-17,49.99
2013-01-18,55.65
2013-01-22,56.82
2013-01-24,57.09
2013-01-26,54.64
2013-01-27,54.37
2013-01-28,55.07
2013-01-29,55.28
2013-01-30,55.88
2013-02-01,55.62
2013-02-02,55.23
2013-02-08,56.06
2013-02-09,55.55
2013-02-09,55.55
2013-02-09,55.55
2013-02-12,55.32
2013-02-15,55.32
2013-02-16,55.22
2013-02-17,55.73
2013-02-17,55.73
2013-02-18,55.73
2013-02-19,55.73
2013-02-20,55.53
2013-02-21,55.51
2013-02-22,55.71
2013-02-23,55.52
2013-02-24,55.32
2013-02-28,55.68
2013-02-28,55.68
2013-03-01,55
2013-03-01,54.69
2013-03-02,55.79
2013-03-03,55.58
2013-03-03,54.99
2013-03-07,54.5
2013-03-09,54.59
2013-03-09,54.59
2013-03-10,54.99
2013-03-17,54.99
2013-03-17,55.99
2013-03-19,55.99
2013-03-19,39.99
2013-03-20,39.99
2013-03-21,39.99
2013-03-22,39.99
2013-03-24,54.99
2013-03-25,53.51
2013-03-26,47.98
2013-03-26,54.99
2013-03-26,54.99
2013-03-28,54.99
2013-03-29,54.99
2013-03-29,54.99
2013-03-30,54.99
2013-03-31,55.99
2013-03-31,55.99
2013-04-01,55.99
2013-04-01,55.99
2013-04-03,55.99
2013-04-04,55.99
2013-04-04,55.99
2013-04-05,55.99
2013-04-05,55.99
2013-04-08,55.99
2013-04-12,55.99
2013-04-12,55.99
2013-04-15,55
2013-04-15,55
2013-04-17,55
2013-04-17,54
2013-04-22,54
2013-04-23,47.98
2013-05-02,47.98
